,Name,Address/Phone,Email,Web,Contact,Studio Equip,Musical Equip,Lighting,Stages,Additional locations,Cartage,FX,Technical Services,Lighting Equip,FX Equip,Cartage Equip,Special Services,Note,Basic Rate,Tech Services,Services,Musical Equipment,Video,Tech services,Rooms,Equipment,Fax
11,PRO AUDIO REPAIRS," 3150 18th St. 101  San Francisco, CA 94110  415-401-7828  ",office@proavresource.com ,proaudiorepairs.com,,,,,,,,,,,,,,,,,,,,,,,
12,STUDIO INSTRUMENT RENTALS," 1215 Fairfax Ave.  San Francisco, CA 94124  415-957-9400 Fax 415-957-9470  ",sfinfo@sir-usa.com ,sir-usa.com   nia/southern ,,,,,,,,,,,,,,,,,,,,,,,
13,4WALL ENTERTAINAMENT," 5435 W. San Fernando Rd.  Los Angeles, CA 90039  818-252-7481  ",,4wall.com,,,,,,,,,,,,,,,,,,,,,,,
14,ABSOLUTE RENTALS," 2633 N. San Fernando Blvd.  Burbank, CA 91504  818-842-2828, 310-560-2373  ",info@absolute.live ,absoluterentals.com ,,yes ,yes ,yes ,yes ,,yes,,,,,,,,,,,,,,,,
15,ADVANCED MUSICAL ELECTRONICS," 8665 Venice Blvd.  Los Angeles, CA 90034  310-559-3157  ",mail@advancedmusical.com ,advancedmusical.com,,,,,,,,,,,,,,,,,,,,,,,
16,AMETRON PRO-AUDIO/VIDEO," SALES & RENTALS  10919 Vanowen St  North Hollywood, CA 91605  323-462-1200  ",info@ametron.com ,ametron.com,,,,,,,,,,,,,,,,,,,,,,,
17,AMP SHOP/BASSEXCHANGE," 4870 Lankershim Blvd.  North Hollywood, CA 91601  818-386-5500  ",sales@bassexchange.com ,facebook.com/bassexchange,,,,,,,,,,,,,,,,,,,,,,,
18,ASTRO AUDIO VIDEO LIGHTING," 6615 San Fernando Rd.  Glendale, CA 91201  818-549-9915  ",,astroavl.com ,,yes ,yes ,yes ,yes ,,no,yes ,,,,,,,,,,,,,,,
19,"AUDIO DESIGN AND SERVICE, INC."," 2625 N. Ontario St.  Burbank, CA 91504  818-754-0467  ",info@audiodesign-service.com ,audiodesign-service.com,,,,,,,,,,,,,,,,,,,,,,,
20,AUDIO PERCEPTION INC.," Los Angeles, CA  818-693-0134  ",Info@audioperception.com ,audioperception.com ,,Yes ,No ,,,,,,Yes ,No ,No Stages Equip : No  ,"No Special Services : Studio design, install, acoustics and wir-  ing. Custom cables patch bays and panels. Audio and DAW  tech support, upgrades, and instruction. ",,,,,,,,,,,
21,AUDIO RENTS INC.," 824 N. Hollywood Way  Burbank, CA 91505  323-874-1000  ",info@audiorents.com ,audiorents.com ,,yes ,no ,no ,no ,,no,yes ,,,,,,,,,,,,,,,
22,AUDIO REPAIR SPECIALISTS," 22520 Ventura Blvd.  Woodland Hills, Ca 91364  818-346-3762  ",,arsrepair.com,,,,,,,,,,,,,,,,,,,,,,,
23,BERTRANDS MUSIC," 1570 Cherokee Street  San Marcos, CA 92078  858-780-1812  ",,bertrandmusic.com ,,yes ,yes ,no ,no ," 12222 Poway Rd., Ste. C  Poway, CA 92064  858-668-3244  910 E. Highland Ave.  San Bernardino, CA 92404  1-800-696-5338  23851 Via Fabricante 202  Mission Viejo, CA 92691  949-455-4163  145 Vista Ave.  Pasadena, CA 91107  626-793-4730  2618 W. Burbank Blvd.  Burbank, CA 848-9665  1217 N. Hacienda Blvd.  La Puente, CA 91744  626-917-9300  1570 Cherokee St.  San Marcos, CA 92078  760-744-3669 ",no ,no ,,,,,,,,,,,,,,,
24,BRETT ALLEN STUDIO RENTAL," North Hollywood, CA  323-318-0430 323-253-2277  ",brettallen@earthlink.net ,brettallenstudiorental.com,,no,yes ,No ,no ,,yes ,no ,,,,,"The most extensive collection of guitars, amps, effects and tuners in L.A. Finest in studio guitar tech  service, intonation and setup specialist. ",,,,,,,,,,
25,"BROADCAST STORE, INC."," 21822 Lassen Street Unit H  Chatsworth, CA 91311  818-998-9100  ",sales@broadcaststore.com ,broadcaststore.com ,,,,,,,,,,,,,,pickups by appt. only,,,,,,,,,
26,CAPITAL AUDIO RENTAL," Burbank, CA  818-953-9099  ",info@capitalaudiorental.com ,capitalaudiorental.com ,,yes ,yes ,no ,no ,,no,no ,,,,,,,,,,,,,,,
27,CENTER STAGING," 3400 Winona Ave  Burbank, CA 91504  818-559-4333  ",adam@centerstaging.com ,centerstaging.com ,Adam Hasper ,,,,,,,,,,,,,,call for rates,,,,,,,,
28,"DIGITRON ELECTRONICS, INC."," 7801 Telegraph Rd., Ste. D  Montebello, CA 90640  323-887-0777  ",repairs@digitronelectronics.com ,digitronelectronics.com,,,,,,,,,,,,,,,,,,,,,,,
29,DRUM DOCTORS," 520 Commercial St.  Glendale, CA 91203  818-244-8123  ",thedrumdoctors@gmail.com ,drumdoctors.com ,,no ,yes ,no ,no ,,yes,no ,,,,,,,,,,,,,,,
30,DRUM PARADISE," 11803 Vose St.  North Hollywood, CA 91605  818-762-7878  ",info@drumparadise-la.com ,drumparadise-la.com/contact ,,no ,yes ,no ,no ,,yes,no ,,,,,,,,,,,,,,,
31,"FRET HOUSE, THE"," 309 N. Citrus Ave.  Covina, CA 91723  626-339-7020, 800-BET-FRET  ",email@frethouse.com ,frethouse.com ,,no ,yes ,no ,no ,,no,no ,,,,,,,,,,,,,,,
32,FUTARA ELECTRONICS COMPANY," 665 S. Manchester  Anaheim, CA 92802  714-535-6201  ",service@futara.com ,futara.com,,,,,,,,,,,,,,,,,,,,,,,
33,GARDS MUSIC," 848 S. Grand Ave.  Glendora, CA 91740  626-963-0263  ",info@gardsmusic.com ,stores.musicarts.com/ca/glendora/music-store-2608. html  ,,yes ,yes ,no ,no ," 350 S. Mountain Ave.  Upland, CA 91786  909-946-4789  11837 E. Foothill Blvd  Rancho Cucamonga, CA 91730  909-481-1515 ",no ,no ,,,,,,,,,,,,,,,
34,GPS ELECTRONICS," 13045 Tom White Way, Ste. I  Norwalk, CA 90650  562-802-0840 Fax 562-802-0846  ",gpselectro@yahoo.com,gps-electronics.net/services.html,,,,,,,,,,,,,,,,,,,,,,,
35,GROOVEWORKS," 5536 Atlantic Ave.  Long Beach, CA 90805  (310) 403-5104  ",info@grooveworksstudios.com ,grooveworksstudios.com ,Rodney,,,,,,,,,,,,,,,,,,,,,,
36,"GUITAR CONNECTION, THE"," 633 Rose Ave.  Venice, CA 90291  310-396-3009  ",theguitarconnection633@gmail.com ,theguitarconnection.com ,,no ,yes ,no ,no ,,no,no ,,,,,,,,,,,,,,,
37,"GUITAR MERCHANT, THE"," 22807 Saticoy Street  West Hills, CA 91304  818-884-5905  ",theguitarmerchant@yahoo.com ,guitarmerchant.com,,,,,,,,,,,,,,,,,,,,,,,
38,HOLLYWOOD SOUND SYSTEMS," 6908 Tujunga Ave  North Hollywood, CA 91605  323-466-2416  ",mfrenchik@fastmail.net ,thehookstudios.com,Mike  ,yes ,no ,no ,no ,,no ,no ,,,,,,,,no,,,,,,,
39,INSTRUMENTAL MUSIC INC.," 1501 E. Thousand Oaks Blvd.  Thousand Oaks, CA 91360  805- 419-5055  ",TO@instmusic.com ,instrumentalmusic.com ,,no ,yes ,no ,no ,,no,no ,,,,,,,,,,,,,,,
40,JAN-AL CASE RENTALS," 3339 Union Pacific Ave.  Los Angeles, CA 90023  (800) 735-2625 323-260-7212  ",arlene@janalcase.com ,janalcase.com ,,yes ,yes ,yes ,yes ,,yes,yes ,,,,,,,,,,,,,,,
41,KEYBOARD CONCEPTS," 5539 Van Nuys Blvd.  Sherman Oaks, CA 91401  818-787-0201, 800-22-PIANO  Fax 818-787-1219  ",,keyboardconcepts.com ,,no ,yes ,no ,no ," 3704 E. Colorado Blvd.  Pasadena, Ca 91107  626-583-9126  3232 Santa Monica Blvd.  Santa Monica, CA 90404  310-586-5588  18285 Euclid Ave.  Fountain Valley, CA 92708  Tustin, CA 92782  714-544-0088 ",no ,no ,,,,,,,,,,,,,,,
42,LA FX RECORDING SERVICES," 5634 Cleon Ave.  North Hollywood, CA 91601  818-769-5239  ",info@lafx.com ,lafx.com ,Dan Vicari ,yes ,no ,no ,no ,,no,no ,,,,,,,,,,,,,,,
43,L.A. SOUND COMPANY INC.," 9001 Canoga Ave.  Canoga Park, CA 91304  818-772-9200  ",,,,yes ,no ,no ,no ,,no,no ,,,,,,,,,,,,,,,
44,LON COHEN STUDIO RENTALS," North Hollywood, CA  818-762-1195 Fax 818-762-1196  ",sales@loncohen.com ,loncohen.com ,,,,,,,,,,,,,,,call for rates ,,"We rent top of the line backline (guitars, basses, amps, keyboards and drums) which can be heard on  records from Aerosmith to ZZ Top and can be seen on  television from Conan to Lopez. We also offer cartage,  temp. controlled storage, and world class guitar, bass and  amp repair. ",,,,,,
45,MATES REHEARSAL & CARTAGE," 5412 Cleon Ave.  North Hollywood, CA 91601  818-779-0009  ",monterey@mccune.com,mccune.com ,,yes ,no ,yes ,no ," San Francisco HQ  101 Utah Ave.  San Francisco, CA 94080  800-899-7686, 650-873-1111  ",no ,no ,,,,,,,,,,,,,,,
46,"MORNINGSTAR PRODUCTIONS, LLC"," 41213 Sandalwood Cir.  Murrieta, CA 92562  888-409-4810, 951-677-4443  ",,msmp.com ,,no ,yes ,yes ,yes ,,no,yes ,,,,,,,,,,,,,,,
47,MUSICIANS CHOICE STUDIOS," 3820 Hoke Ave  Culver City, CA 90232  310-836-8998  ",,musicianschoicestudios.com ,,yes ,yes ,yes ,no ,,yes,no ,,,,,,,,,,,,,,,
48,MUSIC MAKER RETAIL STORE," 5701 E. Santa Ana Canyon Rd., Ste. J  Anaheim, CA 92807  714-974-0830  ",mminfo@musicmakerinc.com ,musicmakerinc.com ,,no ,yes ,no ,no ,,no,no ,,,,,,,,,,,,,,,
49,NIGHTINGALE STUDIOS," 156 W. Providencia Ave.  Burbank, CA 91502  818-562-6660  ",nightingalestudiobooking@gmail.com ,nightingalestudios.com ,,yes ,yes ,no ,no ,,no,no ,,,,,,,,,,,,,,,
50,NORTHSTAR MOVING," 19401 Business Center Dr.  Northridge, CA 91324  800-275-7767  ",info@Northstarmoving.com ,northstarmoving.com ,,,,,,,yes,,,,,,,,,,,,,,,,
51,PACIFIC COAST ENTERTAINMENT," 7601 Woodwind Drive  Huntington Beach, CA 92647  714-841-6455, 619-331-3560, 866-335-4723  ",info@gopce.com ,gopce.com ,,yes ,yes ,yes ,yes ,,yes,yes ,,,,,,,,,,,,,,,
52,PETES MUSIC AND GUITAR SHOP," 28780 Old Town Front St.  #A-4  Temecula, CA  951-308-1688  ",petesmusic@yahoo.com ,petesmusic.com ,,yes ,yes ,no ,no ," 29800 Bradley Rd., #107  Manifee, CA  951-301-8088 ",no ,no ,,,,,,,,,,,,,,,
53,PRO PIANO," Los Angeles, CA  warehouse only (not open to the public)  917-715-2860, 800-367-7777  ",ricard@propiano.com ,propiano.com ,,no ,yes ,no ,,,yes,,,,,,,,,,,,,,,,
54,SAN DIEGO SOUND AND MUSIC REPAIR," 6555 El Cajon Blvd.  San Diego, CA 92115-2705  619-582-8511  ",audiodoctor.sd@gmail.com ,sdsmr.com,,,,,,,,,,,,,,,,,,,,,,,
55,SANTA MONICA MUSIC CENTER," 1901 Santa Monica Blvd.  Santa Monica, CA 90404  310-453-1928  ",studio@santamonicamusic.com ,santamonicamusic.com ,,yes ,yes ,no ,no ," Culver City Music Center  10862 Washington Blvd.  Culver City, CA 90232  310-202-6874 ",no ,no ,,,,,,,,,,,,,,,
56,SINGER MUSIC," 1217 N. Hacienda Blvd.  La Puente, CA 91744  626-917-9300  ",,,,yes ,yes ,no ,no ,,no,no ,,,,,,,,,,,,,,,
57,SMARTSOURCE RENTALS," 4928 W. Rosecrans Ave.  Hawthorne, CA 90250  310-417-3544, 844-333-6440  ",info@smartsourcerentals.com ,smartsourcerentals.com ,,,,,," Los Alamitos, Beverly Hills, San Diego, Culver City, Las  Vegas, Tempe, South San Francisco ",,,,,,,,,,,,,,,,,
58,SOCAL PRODUCTIONS," 9330 Laurel Canyon Blvd.  Arleta, CA 91331  818-565-3333  ",rentals@socalps.com ,socalps.com ,,Yes ,,No ,No ,,No,No ,,,,,,,,,,No ,Yes ,,,,
59,SOUND CHECK AUDIO," Los Angeles, CA 90036  323-939-7777  ",info@soundcheckaudio.com ,soundcheckaudio.com ,,no ,yes ,yes ,no ,,yes *By appointment only ,yes ,,,,,,,,,,,,,,,
60,SOUND-TECH STUDIO," 24300 Country Rd.  Moreno Valley, CA 92557  951-243-6666  ",soundtechstudio@yahoo.com ,soundtechmusic.square.site ,Allan Johnson ,yes ,yes ,yes ,no ,,no,yes ,,,,,,,,,,,,,,,
61,SST," 17328 Ventura Blvd.   #1  Encino, CA 91316  818-907-7780  ",SST.shop@yahoo.com ,sstsynths.com ,,yes ,yes ,no ,no ,,yes,yes ,,,,,,,,,,,,,,,
62,STUDIO 116 CORP.," 13136 Saticoy St., Unit G  North Hollywood, CA 91605  323-274-0220  ",,wstudio116event.com ,,yes ,yes ,yes ,no ,,no ,no ,,,,,,,,,"We are an Event production company. We rent sound, lighting & projection for all kinds of events. ",,,,,,
63,STUDIO INSTRUMENT RENTALS," 6465 Sunset Blvd.  Los Angeles, CA 90028  323-957-5460  ",sfinfo@sir-usa.com ,sir-usa.com,Fred Rose ,yes ,yes ,yes ,yes ," 4620 Santa Fe St.  San Diego, CA 92109  858-274-1384 Fax 858-274-1906  ",yes ,yes ,,,,,,,,,,,,,,,
64,STUDIO WEST OF SAN DIEGO," 11021 Via Frontera, Ste. A  San Diego, CA 92127  858-592-9497  ",,studiowest.com ,,yes ,no ,no ,no ,,yes ,yes ,,,,,,,,,,,,yes,,,
65,THIRD ENCORE," 10917 Vanowen St.  North Hollywood, CA 91605  818-753-0148, 818-613-7518  ",john@3rdencore.com ,3rdencore.com ,John Hoik ,,,,,,,,,,,,,,,,"Full instrument and backline rental, featuring large selection of all major brands including Mesa Boogie,  Yamaha, DW, Roland, Tama, Orange, Vox, Sabian, Zildjian,  Ampeg, Korg and Marshall gear.  Private storage lockers,  cartage services.  ",,,,"six air-conditioned studios from 900-2,400sq. ft., each including a private production office and full monitor-  ing P.A.  Full-service, professional facility. Quiet, safe, clean  and very private. Great parking. Daily, weekly or monthly  lockout rates available.  ","All rooms come with Adamson / Lab Gruppen monitoring system.  Digico, Avid, Yamaha, Midas consoles  available. ",
66,TONY PINNICK AUDIO," P.O. Box 18382  Encino, CA 91416  818-815-1264  ",tonypinnickaudio@gmail.com ,tonypinnickaudio.com ,,Yes ,,,,,,,Yes ,,Yes ,,"Studio Recording Equipment Rentals. Over 20 years professional audio experience. Reputation  for exacting attention to detail with a specially hand-  picked assortment of classic vintage and modern Tube  Microphones, Condenser and Ribbon Microphones, Mic  Pre-Amps, Compressors, Limiters, EQs and much more! ",,,,,,,,,,
67,TREW AUDIO," 2243 N. Hollywood Way  Burbank, CA 91505  323-876-7525  ",info@trewaudio.com ,trewaudio.com,,,,,,,,,,,,,,,,,,,,,,,
68,VALLEY SOUND MUSIC TECHNOLOGIES," 5527 Cahuenga Blvd.  North Hollywood, CA 91601  818-755-2801  ","stretch@valleysoundla.com, zita@valleysoundla.com  ",valleysoundla.com,,,,,,,,,,,,,,,,,,,,,,,
69,VCI EVENT TECHNOLOGY," 25172 Arctic Ocean Dr.  #102  Lake Forest, CA 92630  714-772-2002  ",info@vcievents.com ,vcievents.com ,,yes ,yes ,yes ,yes ,,no,no ,,,,,,,,,,,,,,,
70,VIDEO RESOURCES," 1809 E. Dyer Rd., Ste. 307  Santa Ana, CA 92705  949-261-7266  ",dane@videoresources.com ,videoresources.com ,,yes ,no ,yes ,yes ,,no,no ,,,,,,,,,,,,,,,
71,VIRTUAL SOUNDS TECHNOLOGY," 11901 Goldring Road, Unit C  Arcadia, CA 91006  626-239-0044  ",sales@vstservice.com ,vstservice.com,,,,,,,,,,,,,,,,,,,,,,,
72,WEST L.A. STUDIO SERVICES," 2033 Pontius Ave.  Los Angeles, CA 90025  310-478-7917  ",westlastudios@me.com ,westlastudios.com ,,yes ,yes ,no ,no ,,no,no ,,,,,,,,,,,,,,,
73,CEAVCO AUDIO VISUAL," 4860 Ward Rd  Wheat Ridge, CO 80033  303-539-3500  ",solutions@ceavco.com ,ceavco.com,,,,,,,,,,,,,,,,,,,,,,,
74,FAV," Ford Audio-Video  4230 Carson St.  Denver, CO 80239  800-654-6744, 720-374-2345  ",sales@fordav.com ,fordav.com,,,,,,,,,,,,,,,,,,,,,,,
75,IMAGE AUDIOVISUALS," 2130 S. Dahlia St.  Denver, CO 80222  303-758-1818  ",sales@imageav.com ,imageav.com,,,,,,,,,,,,,,,,,,,,,,,
76,MP&E," 2931 S.Tejon St.,Suite B  Englewood, CO 80110  303-789-1010  ",denver@hdgear.tv ,hdgear.tv,,,,,,,,,,,,,,,,,,,,,,,
77,"SHAPED MUSIC, INC."," 1760 LaPorte Ave., Ste. 3  Fort Collins, CO 805241  970-221-2315  ",randyc@shapedmusic.com ,shapedmusic.com ,,,,,,,,,,,,,,,,,"Shaped Music, Inc. is your sound, lighting, and backline production company serving all of Colorado  including Denver, Boulder, Colorado Springs, Fort Collins,  Grand Junction, Telluride, Aspen, Vail, Steamboat Springs,  Keystone, Copper Mountain, and beyond. We also serve all  of Wyoming, Nebraska, Utah, and New Mexico.  *Note: National touring & festivals also available. Pro  Audio sales. ",,,,,,
78,SPECTRUM AUDIO VISUAL," 351 W. 45th Ave.  800-909-9792, 303-223-1828  ",info@spectrumav.com ,spectrumav.com,,,,,,,,,,,,,,,,,,,,,,,
79,S.S.S. PRODUCTIONS," 11165 Clarkson St.  Northglenn, CO 80233  303-875-5678  ",events@sssproductions.net ,sssproductions.net NNECTICUT,,,,,,,,,,,,,,,,,,,,,,,
80,M COMMUNICATIONS," 48 Union St.  Stamford, CT 06906  203-348-2100  ",sales@mcommunications.com ,mcommunications.com,,,,,,,,,,,,,,,,,,,,,,,
81,MIDDLETOWN MUSIC," 4380 Summit Bridge Rd.  Middletown, DE 19709  302-376-7600  ",sales@middletownmusic.com ,stores.musicarts.com/middletown-de,,,,,,,,,,,,,,,,,,,,,,,
82,BUDGET VIDEO RENTALS," 1825 N.E. 149th St.  Miami, FL 33181  800-772-1111, 305-945-8888  ",rentals@budgetvideo.com ,budgetvideo.com,,,,,,,,,,,,,,,,,,,,,,,
83,CP COMMUNICATIONS," 9965 18th Street N, Suite 2&3  St. Petersburg, FL 33716  800-762-4254  ",,cpcomms.com,,,,,,,,,,,,,,,,,,,,,,,
84,"GREAT SOUTHERN STUDIOS, THE"," 15221 N.E. 21st Ave.  Miami Beach, FL 33162  305-944-2464  ",info@gssmiami.com ,greatsouthernstudios.com,,,,,,,,,,,,,,,,,,,,,,,
85,MIDTOWN VIDEO," 4824 S.W. 74th Ct.  Miami, FL 33155  305-669-1117  ",info@midtownvideo.com ,"midtownvideo.com, facebook.com/midtownvideo",,,,,,,,,,,,,,,,,,,,,,,
86,PR GEAR," Video Equipment Rentals  8063 Beacon Lake Dr.  Orlando, FL 32809  800-794-1407, 407-582-0350  ",info@verrents.com ,verrents.com ,,,,,," 3300 Davie Rd, Suite 101  Davie, FL. 33314  954-723-2828 ",,,,,,,,,,,,,,,,,
87,PURE ENERGY ENTERTAINMENT," 4650 Coral Ridge Drive  Coral Springs, FL  33076  954-782-6989  Email: info@PureEnergy.net  ",,PureEnergy.net,,,,,,,,,,,,,,,,,,,,,,,
88,SMARTSOURCE RENTALS," 9401 Southridge Park Ct., Ste. 600  Orlando, FL 32819  844-333-6440, 407-582-9807  ",info@smartsourcerentals.com ,thesmartsource.com/locations/orlando,,,,,,,,,,,,,,,,,,,,,,,
89,STUDIO INSTRUMENT RENTALS," 12200 N.E. 14th Ave.  Miami, FL 33161  305-891-3350 Fax 305-891-3550  ",miinfo@sir-usa.com ,sir-usa.com,,,,,,,,,,,,,,,,,,,,,,,
90,TAI AUDIO," 5828 Old Winter Garden Rd.  Orlando, FL 32835  407-296-9959  ",info@taiaudio.com ,taiaudio.com,,,,,,,,,,,,,,,,,,,,,,,
91,WALL OF SOUND STUDIOS," 225 Carswell Ave.  Daytona Beach, FL  949-285-1774  ",sales@atlantasoundandlight.com ,atlantasoundandlight.com,,,,,," Las Vegas  702-371-0811    ATLANTA SOUND AND LIGHTING GEORGIA  1400 Vijay Dr.  Atlanta, GA  770-455-7695  ",,,,,,,,,,,,,,,,,
92,CONCERT AUDIO," Atlanta, GA  770-434-2437  ",andrew@concertaudio.com ,concertaudio.com,,,,,,,,,,,,,,,,,,,,,,,
93,LIGHTNINS," 2555 University Pkwy.  Lawrenceville, GA 30043  770-963-1234  ",,lightnin.net ,,,,,," 26-01 Ulmer Street  College Point, NY 11354 ",,,,,,,,,,,,,,,,,
94,ONE EVENT SERVICES," 6779 Crescent Dr.  Norcross, GA 30071  800-967-2419, 770-457-0966  ",info@onservices.com ,onservices.com,,,,,,,,,,,,,,,,,,,,,,,
95,PC&E ATLANTA," Production Consultants & Equipment  2235 DeFoor Hills Rd.  Atlanta, GA 30318  404-609-9001  ",marketing@pce-atlanta.com ,pce-atlanta.com,,,,,,,,,,,,,,,,,,,,,,,
96,PRG GEAR," Video Equipment Rentals  1389 Chattahoochee Ave.  Atlanta, GA 30318  800-794-1407, 770-300-0401  ",info@verrents.com ,prggear.com/location/atlanta,,,,,,,,,,,,,,,,,,,,,,,
97,SMARTSOURCE," 1850 MacArthur Blvd., N.W., Ste. A  Atlanta, GA 30318  404-352-0900, 844-333-6440  ",Hawaiisales@AVServs.com ,audiovisualhawaii.com *Services all Islands ,,,,,,,,,,,,,,,,,,,,,,,
98,HAWAII SOUND & VISION," P.O. Box 2267  Kailua-Kona, HI 96745  808-982-8330  ",aloha@hawaiisav.com ,hawaiisav.com,,,,,,,,,,,,,,,,,,,,,,,
99,MYSTICAL SOUNDS PRODUCTIONS," P.O. Box 22996  Honolulu, HI  96823  808-222-8833  ",mspdjs@gmail.com ,avchicago.com,,,,,,,,,,,,,,,,,,,,,,,
100,CHICAGO HD CORP.," 6710 N. Kostner Ave.  Lincolnwood, IL 60712  312-951-9610  ",,chicagohd.com,,,,,,,,,,,,,,,,,,,,,,,
101,DANCE ALL NIGHT! INC.," 1340 Woodland Ln.  Riverwoods, IL 60015  877-940-9788, 847-940-9788  ",bruce@danceallnight.com ,danceallnight.com ,,no ,no ,yes and Video Projection ,no ,,yes ,yes ,,,,,,,,,,,,yes,,,
102,MARQUEE EVENT RENTALS," 9480 W 55th Street  Carol Stream, IL 60188  630-871-9999  ",,marqueerents.com,,,,,,,,,,,,,,,,,,,,,,,
103,MCS," Midwest Conference Service  332 Commerce Dr.  Roselle, IL 60172  630-351-3976  ",info@mcsexpo.com ,mcsexpo.com,,,,,,,,,,,,,,,,,,,,,,,
104,NOVATOO AUDIO VISUAL," 120 Easy St., Unit 3  Carol Stream, IL 60188  630-871-2222  ",novatooinfo@sbcglobal.net ,novatoo.com ,"Tim Novak, rental sales Mgr.",,,,,,,,,,,,,,,,,,,,,,
105,SMARTSOURCE RENTALS," 2025 Glen Ellyn Rd.  Glendale Heights, IL 60139  630-588-0200, 844-333-6440  ",info@smartsourcerentals.com ,smartsourcerentals.com,,,,,,,,,,,,,,,,,,,,,,,
106,STUDIO INSTRUMENT RENTAL," 2835 N. Kedzie Ave.  Chicago, IL 60618  773-478-8500, 773-478-8555  ",chinfo@sir-usa.com ,sir-usa.com,,,,,,,,,,,,,,,,,,,,,,,
107,SWING CITY MUSIC," 1811 Vandalla  Collinsville, IL 62234  618-345-6700  ",swingcitymusic@ameritech.net ,swingcitymusic.com ,,,,,," 244 S. Buchanan  Edwardsville, IL 62025-2109  618-656-5656 ",,,,,,,,,,,,,,,,,
108,VER," Video Equipment Rentals  8401 W 47th St., Suite D  McCook, IL 60525  800-794-1407, 847-671-4966  ",info@verrents.com ,verrents.com,,,,,,,,,,,,,,,,,,,,,,,
109,ZACUTO," 401 W. Ontario, Ste. 100  Chicago, IL 60610  888-294-FILM (3456), 312-863-FILM (3456)  ",sales@zacuto.com ,zacuto.com,,,,,,,,,,,,,,,,,,,,,,,
110,STUDIO ONE INC," 25833 SR. 2  South Bend, IN 46619  800-888-9700, 574-232-9084  Fax 574-232-2220  ",info@conferencetech.com ,conferencetech.com ,,,,,," 333 SW 9th St., Suite N  Des Moines, IA  50309  515-280-9800 ",,,,,,,,,,,,,,,,,
111,RIEMAN MUSIC," 6501 Douglas Ave.  Urbandale, IA 50322  515-278-4685 800-372-6051  ",kansascity@lightson.com ,lightson.com   louisiana ,J.C. Wilson ,,,,," Des Moines - East  800-372-6051, 515-262-0365  Ames, IA 50010  800-234-4203, 515-233-4203  Mason City, IA 50401  800-397-4606, 641-423-6563  Fort Dodge  800-362-1627, 515-576-2189  Creston  800-947-9139, 641-782-5121    LIGHTS ON KANSAS CITY  KANSAS  1720 Merriam Ln.  Kansas City, KS 66106  800-229-5876, 913-362-6940  Fax 913-362-6958  ",,,,,,,,,,,,,,,,,
112,THE PINNACLE GROUP," Lafayette, LA  800-524-7462, 337-593-1149  ",info@avtechnik.com ,avtechnik.com,,,,,," Baton Rouge, LA  225-767-1148  Lake Charles  337-477-7469  Lafayette  337-767-1149    AV TECHNIK LLC. MAINE  176 Innovation Way  Scarborough, ME 04074  207-699-0115  ",,,,,,,,,,,,,,,,,
113,STARBIRD MUSIC," 500 Forest Ave.  Portland, ME 04101  207-775-2733, 207-828-0888  ",pianos@starbirdmusic.com ,4wall.com,,,,,,,,,,,,,,,,,,,,,,,
