Unnamed: 0,Name,Type,Address,Phone,Email,Fax,Web,Contact,Styles/Specialties,Services,Genres,Clients,Additional locations,How to Submit,Notes
11,ALIAS RECORDS,Indie Label,"838 E. High St. #290  Lexington, KY 40502",,accounts@aliasrecords.com ,,aliasrecords.com ,,"indie-rock, singer-songwriters, electronica  ",,,,,,
12,ALLIGATOR RECORDS,Indie Label,"New Material  P.O. Box 60234  Chicago, IL 60660",['773-973-7736'],info@allig.com ,,alligator.com *Demo Submission see website for details ,,,,,,,,
13,ALTERNATIVE TENTACLES,Indie Label,"P.O. Box 419092  San Francisco, CA 94141",['510-596-8981'],mail@alternativetentacles.com ,,alternativetentacles.com ,,"punk rock, spoken-word, underground  *Unsolicited material accepted ",,,,,,
14,AMATHUS MUSIC,Indie Label,"Attn: A&R  P.O. Box 611  Rockville Centre, NY  11571",,,,amathusmusic.com ,,dance music *We do not Accepts Demos ,,,,,,
15,AMERICAN EAGLE RECORDINGS,Indie Label,"12 Lake Forest Court West  St. Charles, MO 63301","['888-521-8146', '314-965-5648']",info@americaneaglerecordings.com ,,americaneaglerecordings.com,,,,,,,,
16,AMERICAN LAUNDROMAT RECORDS,Indie Label,"P.O. Box 85  Mystic, CT 06355",['860-460-8903'],americanlaundromat@hotmail.com ,,alr-music.com  *Not accepting demos  *Business inquires only,,,,,,,,
17,AMHERST RECORDS,Indie Label,"5221 Main St.  Ste 2  Williamsville, NY 14221",['716-883-9520'],info@amherstrecords.com ,,amherstrecords.com,,,,,,,,
18,ANTI-,Indie Label,"2798 Sunset Blvd.  Los Angeles, CA 90026",['213-413-7353'],publicity@epitaph.com ,,"anti.com, facebook.com/antirecords",,,,,,,,
19,API RECORDS,Indie Label,"P.O. Box 7041  Watchung, NJ 07069",,apirecords@verizon.net ,,apirecords.com,,,,,,,,
20,APPLESEED RECORDINGS,Indie Label,"Music Submissions Department  1416 Larch Lane  West Chester, PA 19380",,jim@appleseedmusic.com ,,appleseedmusic.com,,,,,,,,
21,ARCTIC SIREN PRODUCTIONS,Indie Label,"4105 Turnagain Blvd., Ste. L  Anchorage, AK 99517",['907-245-7311'],artcsirn@acsalaska.net ,,arcticsiren.com ,Peggy Monaghan,,,,,,,
22,ARKADIA LABEL GROUP/ VIEW INC.,Indie Label,"11 Reservoir Rd.  Saugerties, NY 12477",['845-246-9955'],Viewvid@aol.com ,,viewb2bonline.com,,,,,,,,
23,ASTHMATIC KITTY RECORDS,Indie Label,830 Glenwood Ave  Suite 510-414  Atlanta GA 30316  Email : info@asthmatickitty.com,,,,asthmatickitty.com ,,,,,"Mozarts Sister, OMBRE, Roberts & Lord ",,,
24,ASTRALWERKS RECORDS,Indie Label,"1750 Vine Street  Hollywood, CA",,astralwerks.astralwerks@gmail.com ,,"astralwerks.com, facebook.com/astralwerks ",,electronic/rock *No unsolicited material accepted ,,,,,,
25,ATTABOI MUSIC MAGAZINE,Indie Label,,,info@wildoatsrecords.net  ,,attaboi.online ,,popular music/  underground , Distribution : online ,,,,,
26,BAR-NONE RECORDS,Indie Label,"P.O. Box 1704  Hoboken, NJ 07030",['201-770-9090'],glenn@bar-none.com ,,bar-none.com ,"Glen Morrow, Owner ",,,,,,,
27,BARSUK RECORDS,Indie Label,"P.O. Box 22546  Seattle, WA 98122",,questions@barsuk.com ,,barsuk.com ,,,,,"Death Cab For Cutie, the Long Winters, Mates of State, Menomena, Nada Surf, Ra Ra Riot,  Phantogram, Ramona Falls, the Wooden Birds, David  Bazan, Maps & Atlases, Say Hi, Big Scary, Laura  Gibson, Pacific Air, Chris Walla  ",,,
28,BEC RECORDINGS,Indie Label,"P.O. Box 12698  Seattle, WA 98111",['206-691-9782'],licensing@toothandnail.com ,,"becrecordings.com, facebook.com/ becrecordingsmusic ",,,,,,,,
29,BEGGARS GROUP,Indie Label,"(Also XL Recordings, Rough Trade Records, Matador  Records, 4AD)  134 Grand St.  New York, NY 10013",['212-995-5882'],banquet@beggars.com ,,beggarsgroupusa.com ,"Matt Harmon, President ","indie-rock, pop, electronic ",,,"Vampire Weekend, Sonic Youth, Queens of the Stone Age, the National, Warpaint, the xx, Yo La  Tengo and the New Pornographers  ",,,
30,BIG DEAL RECORDS-,Indie Label,"15503 Ventura Blvd., Ste. 300  Encino, CA 91436",['818-922-0807'],Info@bigdealmusic.com ,,bigdealmusic.com ,,"pop, rock, R&B *No unsolicited material    ",,,,"   115 29th Ave. S.  Nashville, TN 37212  615-942-8328 ",,
31,BIG NOISE,Indie Label,"11 S. Angell St., Ste. 336  Providence, RI 02906",['401-274-4770'],al.bignoise@gmail.com ,,bignoisenow.com ,,,,,"Artists have included Christina Aguilera,  Red Hot Chili Peppers, The Beach Boys, Chicago,  Katharine McPhee, Dionne Warwick, Gregory Porter,  and Viola Davis  *Currently accepting demo submissions. *Please call or email first.  Al Gomes, A&R ",,,
32,BLACK DAHLIA MUSIC,Indie Label,"P.O. Box 631928  Highlands Ranch, CO 80163",['505-672-0333'],blackd@blackdahlia.com ,,blackdahlia.com,,,,,,,,
33,BLACKHEART RECORDS,Indie Label,"636 Broadway  New York, NY 10012",['212-353-9600'],blackheart@blackheart.com ,,blackheart.com ,,"all styles *Unsolicited material accepted, ATTN: A&R Dept. ",,,,,,
34,BLOODSHOT RECORDS,Indie Label,(see Exceleration Music),,,,,,,,,,,,
35,BLUE CANOE RECORDS,Indie Label,"Atlanta, GA & Tokyo Japan",,contactbcr@bluecanoerecords.com ,,bluecanoerecords.com,,,,,,,,
36,BOMP/ALIVE NATURALSOUND RECORDS,Indie Label,"919 Isabel, Unit G  Burbank, CA 91506",,label@alive-records.com  ,,alive-records.com/category/bomp ,Patrick Boissel ,,,,"the Black Keys, Two Gallants, Buffalo Killers, Brian Jonestown Massacre, Soledad Brothers, The  Warlocks, the Black Lips, SSM, Brimstone Howl,  Trainwreck Riders, Black Diamond Heavies, Bloody  Hollies  ",,,
37,BOOSWEET RECORDS,Indie Label,"P.O. Box 45256  Los Angeles, CA 90045",['310-613-3535'],,,boosweet.com ,,"jazz, jazz fusion, smooth jazz, R&B, pop, reggae, hip-hop, rap, rock, metal, guitar  instrumental, alternative  ",,,"Kiko Loureiro, Vernon Neilly",,,
38,BRIDGE NINE RECORDS,Indie Label,"282 Rantoul Street  Beverly, MA  01915",['978-532-0666'],info@bridge9.com ,,bridge9.com,,,,,,,,
39,BURNSIDE RECORDS,Indie Label,"6635 N. Baltimore Ave, Ste 226  Portland, OR 97203   ext. 202",['503-231-0876'],skip@bdcdistribution.com ,,burnsidedistribution.com,,,,,,,,
40,CANYON RECORDS,Indie Label,"P.O. Box 61564  Phoenix, AZ 85052",['800-268-1141'],canyon@canyonrecords.com ,,canyonrecords.com,,,,,,,,
41,CELESTIAL HARMONIES,Indie Label,"Division of Mayflower Music Corp  P.O. Box 30122  Tucson, AZ  85751","['520-326-4400', '520-326-3333']",celestial@harmonies.com ,,harmonies.com,,,,,,,,
42,CENTURY MEDIA,Indie Label,"The Century Family  c/o Sony Music International  25 Madison Ave.  New York, NY 10010",,centurymedia@musictoday.com ,,"centurymedia.com, facebook.com/ centurymedia  *Unsolicited material accepted, see web for details ",,,,,,,,
43,CEXTON RECORDS,Indie Label,"P.O. Box 80187  Rancho Santa Margarita, CA 92688  Offices in CA and NYC",['949-766-1384'],johncexton@aol.com ,,cexton.com ,"John Anello, Jr. ","jazz, big band, swing and Italian- American artists  ",,,"Johnny Mandolin, Larry Luger, Chiz Harris w/ Conte Candoli, Doc Anello Trio, Tom Kubis Big  Band, Jack Wood, Beach Front Property, Doc Anello  & the Swing Machine Big Band, James L Dean Big  Band, Reissues of Sinatra, Martin, Andante Duo  Italian Music, Marie Anello Opera CD, Otaku in Crime  Japanese Anime music  ",,,
44,CLEOPATRA RECORDS,Indie Label,"11041 Santa Monica Blvd., PMB 703  Los Angeles, CA 90025","['310-477-4000', '310-312-5653']",,,cleorecs.com/home ,"Brian Perera, Tim Yasui ","gothic, rock, metal, rap, R&B, dance, classics, soundtracks  *Music Submissions accepted ",,,,,,
45,CLICKPOP RECORDS,Indie Label,"P.O. Box 5765  Bellingham, WA 98227",,dave@clickpoprecords.com ,,clickpoprecords.com,,,,,,,,
46,CLOSED SESSIONS,Indie Label,"Chicago, IL",,alex@closedsessions.com  ,,closedsessions.com ,,,,,"Jamila Woods, Kweku Colins, Webster X ",,,
47,CMH RECORDS,Indie Label,"2898 Rowena Ave., #201  Los Angeles, CA 90039",['800-373-8073'],info@cmhrecords.com ,,cmhrecords.com ,,"country, bluegrass, electric, childrens, Christmas ",,,,,,
48,COMMUNION RECORDS,Indie Label,London & Brooklyn,,info@communionmusic.com ,,communionmusic.co.uk  ,,,,,"Michael Kiwanuka, Gotye, Tennis",,,
49,COMPASS RECORDS,Indie Label,"916 19th Ave. S.  Nashville, TN 37212","['800-757-2277', '615-320-7672']",info@compassrecords.com ,615-320-7378 ,compassrecords.com,,,,,,,,
50,CONCORD RECORDS,Indie Label,"5750 Wilshire Blvd. #450  Los Angeles, CA 90036",['310-385-4455'],submissions@concordmusicgroup.com ,,concordmusicgroup.com ,,,,,"Action Bronson, Andrew Bird, Arianna Neikrug, August Burns Red, Barenaked Ladies ",,,
51,CROSSROADS ENTERTAINMENT,Indie Label,"50 Fisk Drive  Arden, NC 28704",['828-684-3066'],care@crossroadsmusic.com ,,"crossroadsmusic.com, facebook.com/ crossroadslabelgroup ",,,,,,,,
52,CURB RECORDS,Indie Label,"48 Music Sq. E.  Nashville, TN 37203",['615-321-5080'],licensing@curb.com ,,"curb.com, curb.com/licensing *No unsolicited material accepted ",,,,,,,,
53,DAEMON RECORDS,Indie Label,"P.O. Box 1207  Decatur, GA 30031",,hello@daemonrecords.com ,,daemonrecords.com,,,,,,,,
54,DANGERBIRD RECORDS,Indie Label,"3801 Sunset Blvd.  Los Angeles, CA 90026",['323-665-1144'],info@dangerbird.com ,,dangerbirdrecords.com ,,,,,"Juiceboxxx, *Repeat Repeat, A. Sinclair, Holly Miranda ",,,
55,DCD2 MUSIC,Indie Label,,,info@dcd2records.com ,,dcd2records.com,,,,,,,,
56,DEEP SOUTH RECORDS,Indie Label,"P.O. Box 17737  Raleigh, NC 27619",['919-844-1515'],hello@deepsouthentertainment.com ,,deepsouthentertainment.com   ,,,,,," P.O. Box 121975  Nashville, TN. 37212  615-953-4800 ",,
57,DELMARK RECORDS,Indie Label,"4121 N. Rockwell  Chicago, IL 60618",['773-539-5001'],delmark@delmark.com ,,delmark.com,,,,,,,,
58,DELOS PRODUCTIONS,Indie Label,"P.O. Box 343  Sonoma, CA 95476","['800-364-0645', '707-996-3844']",orders@delosmus.com ,,delosmusic.com ,,classical,,,,,,
59,DISCHORD RECORDS,Indie Label,"3819 Beecher St. N.W.  Washington, DC 20007",['703-351-7507'],dischord@dischord.com ,,dischord.com,,,,,,,,
60,"DMAR ENTERTAINMENT, INC.",Indie Label,"San Jose, CA",,dmarmusic@yahoo.com ,,dmarmusic.com ,,"smooth jazz, R&B, gospel *Accepts unsolicited material ",,,,,,
61,DOMO RECORDS,Indie Label,"11022 Santa Monica Blvd., #300  Los Angeles, CA 90025",['310-966-4414'],info@domocart.com ,,domomusicgroup.com ,Dino Malito ,"new age, world music, rock, soundtrack, ambient, electronic  *If you are interested In submitting your music to us,  please see our website ",,,,,,
62,DOMINO RECORDS,Indie Label,"P.O. Box 47029  London, UK SW18 1EG",,,,dominorecordco.com ,,,,,"Blood Orange, Arctic Monkeys, Animal Collective ",,,
63,DRAG CITY RECORDS,Indie Label,"P.O. Box 476867  Chicago, IL 60647",['312-455-1015'],press@dragcity.com ,312-455-1057 ,dragcity.com *No Longer accepts demos ,,,,,,,,
64,DSPB,Indie Label,"237 Cagua N.E.  Albuquerque, NM 87108",['505-266-8274'],dsbp@dsbp.cx ,,dsbp.cx,,,,,,,,
65,DUALTONE RECORDS,Indie Label,"3 McFerrin Ave.  Nashville, TN 37206",['615-320-0620'],info@dualtone.com ,,dualtone.com,,,,,,,,
66,ENTERTAINMENT ONE MUSIC US,Indie Label,"11-13 East 26  New York, NY 10010",,,,entertainmentone.com   ,,,,,," 2700 Pennsylvania Ave.  Suite 1000  Santa Monica, CA 90404    4201 Wilshire Blvd,  Suite 400  Los Angeles, CA 90010    Offices in Canada  Toronto, Montreal, Vancouver    Offices in London & Asia ",,
67,"EARWIG MUSIC COMPANY, INC.",Indie Label,"2054 W. Farwell Ave., Ste G  Chicago, IL 60645-4963",['773-262-0278'],info@earwigmusic.com ,,earwigmusic.com,,,,,,,,
68,EAST 2 WEST COLLECTIVE,Indie Label,"Los Angeles, CA 90025",['323-963-8050'],idevita@e2wcollective.com ,,muchandhousepr.com ,"Laura Ackermann, Senior Publicist",,,,,,,
69,ELTON AUDIO RECORDS,Indie Label,"Wayne, NJ",,contact@eltonaudio.com ,,eltonaudio.com   ,"Louis Elton, Owner",,"Distribution: Symphonic, Too Lost  *Accepts unsolicited material ",,,,,
70,EMPEROR JONES RECORDS,Indie Label,"P.O. Box 4730  Austin, TX 78765",,brutus@emperorjones.com ,,emperorjones.com,,,,,,,,
71,EPITAPH RECORDS,Indie Label,"2798 Sunset Blvd.  Los Angeles, CA 90026",['213-413-7353'],edie@epitaph.com ,,epitaph.com ,,"alt-rock, punk ",,,,,,
72,"ERASED TAPES RECORDS, LTD",Indie Label,174 Victoria Park Road  London E9 7HD Great Britain,,licensing@erasedtapes.com  ,,erasedtapes.com ,,,,,"Anne Muller, Bell Orchestre, Codes in the Clouds, Daniel Brandt, Greg Gives Peter  Space, etc. ",,,
73,ESTRUS LLC,Indie Label,"P.O. Box 2125  Bellingham, WA 98227",,website@estrus.com ,,estrus.com *No unsolicited material ,,,,,,,,
74,EQUAL VISION RECORDS,Indie Label,"P.O. Box 38202  Albany, NY 12203-8202","['518-458-8250', '518-458-1312']",info@equalvision.com ,,equalvision.com ,,"punk, hardcore, indie, emo, rock, pop, metal  *No physical demos. Email links to stream your  music (no downloads), with a biography ",,,,,,
75,EXCELERATION MUSIC,Indie Label,,,info@excmusic.com ,,excelerationmusic.com,,, Is a partnership of global music industry leaders who  invest in the future of independent music.  ,,,,,
76,FAT POSSUM RECORDS,Indie Label,"P.O. Box 1923  Oxford, MS 38655","['662-234-2828', '662-234-2899']",matthew@fatpossum.com ,,"fatpossum.com, facebook.com/ FatPossumRecords ",,,,,,,,
77,FAVORED NATIONS ENTERTAINMENT,Indie Label,"17328 Ventura Blvd., #165  Encino, CA 91316",['818-385-1989'],info@favorednations.com ,,favorednations.com ,,all styles welcome (Label is co-owned by Steve Vai) ,,,,,,
78,FEARLESS RECORDS,Indie Label,"5870 W. Jefferson Blvd., Ste. E  Los Angeles, CA 90016",,,,fearlessrecords.com ,,See website for details,,,,,,
79,FERVOR RECORDS,Indie Label,"1810 W. Northern Ave A-5  Box 186  Phoenix, AZ 85021",,info@fervor-records.com  ,,fervor-records.com *We do not accept unsolicited material ,,,,,,,,
80,FEVER RECORDS,Indie Label,"ATTN: Sal Abbatiello  P.O. Box 219  Yonkers, NY 10710",['914-725-0011'],fevermusic@aol.com ,,feverrecords.com,,,,,,,,
81,FIRST ACCESS ENTERTAINMENT,Indie Label,"6725 Sunset Blvd. Ste. #420  Los Angeles, CA 90028",,contact@faegrp.com  ,,faegrp.com ,,,,,facebook.com/firstaccessent ,,no unsolicited material,
82,FORMUSIC,Indie Label,"Rua Bernardino de Campos, 277  Indaiatuba - So Paulo  Brazil",,info@formusic.com.br ,,formusic.com.br ,Nando Machado ,Indie/Rock/Hard Rock/Pop/ Folk/Electronic ,,,"Arctic Monkeys, Queens of the  Stone Age, Radiohead, Tame Impala, Gavin James,  Passenger ",,,
83,FREDDIE RECORDS,Indie Label,"5979 S. Staples St.  Corpus Christi, TX 78413","['361-992-8411', '361-992-8428']",sales@freddierecords.com ,,freddiestore.com,,,,,,,,
84,G2 RECORDS,Indie Label,"14110 N. Dallas Pkwy.  Ste. 365  Dallas, TX 75254",['972-726-9203'],info@g2records.com ,,g2recordsandpublishing.com,,,,,,,,
85,"GET HIP, INC.",Indie Label,"1800 Columbus Ave.  Pittsburgh, PA 15233",['412-231-4766'],gregg@gethip.com ,,gethip.com,,,,,,,,
86,GHOSTLY INTERNATIONAL,Indie Label,"P.O. Box 220395  Brooklyn, NY 11222",,booking@ghostly.com  ,,ghostly.com ,,,,,"Mary Lattimore, Tadd Mullinex, Matthew Dear, Kllo, Tycho ",,,
87,GLASSNOTE RECORDS,Indie Label,"Demo Submissions  770 Lexington Ave., 16th Fl.  New York, NY 10065","['646-214-6000', '646-237-2711']",demos@glassnotemusic.com ,,glassnotemusic.com ,,,,,"Phoenix, the Temper Trap, Mumford and Sons, Two Door Cinema Club, Givers,  Oberhofer, Childish Gambino, Daughter, Little Green  Cars, Robert DeLong, Flight Facilities, Half Moon Run,  CHVRCHES, Foy Vance  ","   Los Angeles  2200 Colorado Avenue  Suite 200  Santa Monica, CA 90404  310-865-8620    London  10-11 Lower John St, Soho  London W1F 9EB  020-7183-6887    Toronto  2450 Victoria Park, Ste. 1  Toronto, Ontario  M2J 4A1  416-718-4424 ",,
88,HEADS UP INTERNATIONAL,Indie Label,"Concord Music Group  5750 Wilshire Blvd, Suite 450  Los Angeles, CA 90036",['310-385-4465'],submissions@concordmusic group.com ,,concordmusicgroup.com/labels/Heads-Up,,,,,,,,
89,HOPELESS RECORDS,Indie Label,"PO Box 495  Van Nuys, CA",['818-997-0444'],ar@hopelessrecords.com ,,hopelessrecords.com *See web FAQ for submission guidelines ,,,,,,,,
90,HOT TOMATO RECORDS  DEEP SOUTH ENTERTAINMENT  ,Indie Label,"P.O. Box 17737  Raleigh, NC 27619",['919-844-1515'],info@deepsouthentertainment.com ,,deepsouthentertainment.com   ,,,,,,"   Nashville  PO Box 121975  Nashville, TN 37212  615-953-4800 ",,
91,IDOL RECORDS,Indie Label,"P.O. Box 140344  Dallas, TX 75214",,info@idolrecords.com ,,idolrecords.com,,,,,,,,
92,INNOVATIVE LEISURE,Indie Label,"2658 Griffith Park Blvd,  #324  Los Angeles, CA 90039",,info@innovativeleisure.net ,,innovativeleisure.net ,"Nat Nelson, Jamie Strong & Hanni El Khatib ",,,,"BADBADNOTGOOD, Nosaj Thing, Rhye ",,,
93,INTEGRITY LABEL GROUP,Indie Label,"4050 Lee Vance Drive  Colorado Springs, CO 80918  1-",['888-888-4726'],customercare@integrityMusic.com ,,integritymusic.com ,David C. Cook *No unsolicited material    ,,,,,"   1646 Westgate Circle, Suite 106  Brentwood, TN 37027  888-888-4726 ",,
94,IPECAC RECORDINGS,Indie Label,,,info@ipecac.com ,,ipecac.com ,Greg Werckman ,,,,"Fantomas, Melvins, Northern State, Dalek, Skeleton Key, Peeping Tom, Dub Trio ",,,
95,JAGGO RECORDS,Indie Label,,['323-850-1819'],jaggo@jaggo.com ,,jaggo.com ,,"pop, rock, jazz, R&B, hip-hop, soul, World music  *Unsolicited material accepted ",,,,,,
96,JAGJAGUWAR,Indie Label,"213 S. Rogers St.  Bloomington, IN 47404",,"info@jagjaguwar.com Web : jagjaguwar.com, facebook.com/Jagjaguwar  ",,,"Darius Van Arman, Chris Swanson ",,,,"Bon Iver, Angel Olsen, Unknown Mortal Orchestra ",,,
97,JAZZ LINK ENTERPRISES,Indie Label,"3721 Columbia Dr.  Longmont, CO 80503",['303-776-1764'],hiblerjude@gmail.com ,,jazzlinkenterprises.com,,,,,,,,
98,JONKEY ENTERPRISES,Indie Label,"Sonic Safari Music  663 W. California Ave.  Glendale, CA 91203",['818-242-4034'],chuck@sonicsafarimusic.com ,,sonicsafarimusic.com ,Chuck Jonkey ,"environmental, world, traditional, ethnic  ",,,"Chuck Jonkey, Carl Malone *No unsolicited material ",,,
99,KEMADO RECORDS,Indie Label,"87 Guernsey St.  Brooklyn, NY 11222",,info@kemado.com ,,kemado.com ,,,,,the Sword,,,
100,KILL ROCK STARS,Indie Label,"819 SE 14th Loop  Suite 106  Battle Ground, WA 98604",,feedback@killrockstars.com ,,"killrockstars.com *Accepting demos from active, touring bands ",,,,,,,,
101,KOCH RECORDS,Indie Label,See E1 Music Group,,,,,,,,,,,,
102,KRANKY,Indie Label,"Chicago, IL",,krankyinfo@gmail.com ,,"kranky.net Notable Artists : Stars of the Lid, Grouper, Tim Hecker  Currently accepting demos ",,,,,,,,
103,K RECORDS,Indie Label,"P.O. Box 7154  Olympia, WA 98507",['360-786-1594'],promo@krecs.com ,,krecs.com ,,,,,"Karl Blau, Aries, Jason Anderson Currently not accepting demos ",,,
104,LAMON RECORDS CORPORATION,Indie Label,,,dave@lamonrecords.com ,,lamonrecords.com,,,,,,,,
105,LAZY BONES RECORDINGS,Indie Label,"10002 Aurora Ave. N., Ste. 36 PMB 317  Seattle, WA 98133  310- 281-6232",,scott@lazybones.com ,,lazybones.com *At this time we are not accepting demos    ,,,,,,"   Melbourne, Australia  (03) 9028 2200 ",,
106,LAZY S.O.B. RECORDINGS,Indie Label,"P.O. Box 4084  Austin, TX 78765",['512-480-0765'],staff@backstageentertainment.net Web : backstageentertainment.net ,,lazysob.com   LEG (Loggins Entertainment Group)  615-323-2200  ,,,,,,,,
107,LEVIATHAN RECORDS,Indie Label,"P.O. Box 745  Tyrone, GA 30290",['770-257-8697'],promotions@leviathanrecords.com ,,leviathanrecords.com,,,,,,,,
108,LITTLE FISH RECORDS,Indie Label,"Cleveland, OH 44119","['216-481-1634', '216-849-6478']",lkoval@msn.com ,,littlefishrecords.com ,Greg David,,,,,,,
109,LIZARD SUN ENTERTAINMENT,Indie Label,"1621 W. 25th St., Ste. 115  San Pedro, CA 90732",['310-505-3958'],floyd@lizardsunentertainment.com ,,morrisonland.com ,"Floyd Bocox, CEO & President ","country, pop, rock",,,,,,
110,LOCAL ACTION,Indie Label,London,,info@localactionrecords.co.uk ,,localactionrecords.co.uk ,,,,,"Deadboy, Jammz, DAWN",,,
111,LOVECAT MUSIC,Indie Label,"P.O. Box 548, Ansonia Sta.  New York, NY 10023",['646-304-7391'],lovecatmusic@gmail.com ,,lovecatmusic.com,,,,,,,,
112,LUAKA BOP,Indie Label,"195 Chrystie, 602B  New York, NY 10002",['212-624-1469'],iwasthinking@luakabop.com ,,luakabop.com ,,"pop, world *No unsolicited materials ",,,,,,
113,MACKAVENUE,Indie Label,"18530 Mack Ave., Unit 299  Grosse Pointe Farms, MI 48236",['888-640-6225'],info@mackavenue.com ,,mackavenue.com,,,,,,,,
114,MAGGIES MUSIC,Indie Label,"P.O. Box 490  Shady Side, MD 20764",['410-867-0642'],mail@maggiesmusic.com ,,maggiesmusic.com,,,,,,,,
115,"MALACO MUSIC GROUP, THE",Indie Label,"P.O. Box 9287  Jackson, MS 39286",['601-982-4522'],malaco@malaco.com demo@malaco.com  ,,malaco.com,,,,,,,,
116,MANIFESTO RECORDS,Indie Label,"104 West Anapamu Street  Suite K  Santa Barbara, CA 93101",['805-837-0100'],esc@manifesto.com ,,manifesto.com ,"Evan Cohen, Business Affairs ","rock, indie, Brit-pop, punk ",,,"Alice Cooper, Dead Kennedys, Tom Waits ",,,
117,MARSALIS MUSIC,Indie Label,"323 Broadway  Cambridge, MA 02139",['617-354-2736'],,,marsalismusic.com *Not accepting any artist submissions ,,,,,,,,
118,MASCOT LABEL GROUP,Indie Label,P.O. Box 231  2650 AE Berkel & Rodenrijs  The Netherlands,,Burman@mascotlabelgroup.com ,,Mascotlabelgroup.com ,Ed van Zijl  owner/A&R ,"Rock, metal, guitar, prog, blues rock, jam",,,,,,
119,MATADOR RECORDS,Indie Label,"134 Grand St.  New York, NY 10013","['703-915-1211', '212-995-5882']",miwaokumura@beggars.com ,,matadorrecords.com ,,all styles *Unsolicited material accepted ,,,,,,
120,MELLO MUSIC GROUP,Indie Label,"Tucson, AZ",,info@mellonmusicgroup.com Web : mellomusicgroup.com  ,,,,,,,"Oddisee, Open Miek Eagle, Apollo Brown ",,,
121,MERGE RECORDS,Indie Label,"Chapel Hill, NC",,merge@mergerecords.com ,,mergerecords.com ,,,,,"Arcade Fire, Barren Girls, Caribou, Divine Fits, Ex Hex, She & Him, Teenage Fanclub, M. Ward  and more. ",,,
122,METAL BLADE RECORDS,Indie Label,"5632 Van Nuys Blvd., #1301  Sherman Oaks, CA 91401",,metalblade@metalblade.com ,,"metalblade.com,  facebook.com/ metalbladerecords  ",,"heavy metal, progressive, rock *No unsolicited material    ",,,,"   Metal Blade Records GMGH  Marstallstrasse 14  73033 Goppingen, Germany ",,
123,METROPOLIS RECORDS,Indie Label,"P.O. Box 974  Media, PA 19063",['610-595-9940'],"demo@metropolis-records.com, facebook. com/MetropolisRecords  ",,metropolis-records.com *Not accepting demos at this time. ,,,,,,,,
124,MEXICAN SUMMER,Indie Label,"87 Guernsey St.  Brooklyn, NY11222",,info@mexicansummer.com ,,mexicansummer.com ,,,,,"Ariel Pink, Weyes Blood, Dungen",,,
125,MILAN ENTERTAINMENT,Indie Label,"Sherman Oaks, CA",,milanrecords@sonymusic.com ,,milanrecords.com ,,"soundtracks, electronic, world",,,,,,
