Unnamed: 0,Name,Address,Phone,Fax,Mailing,Email,Web,Contact,Additional locations,Degrees/Certificates Offered,Program and Facilities Description,Services,Duration,Basic Rate,Clients,Notes
19,ARIS TAKE ACADEMY,"Los Angeles, CA / Online",,,,awesome@aristakeacademy.com,aristakeacademy.com ,,,,,"Online education taught by working experts in the field covering sync licensing, social  media, streaming growth, digital marketing, booking  and touring, livestreaming, release strategy, royalty  collection, business management. Industryrepre-  sentation obtained for students. ",,"$697 - $1,997 per course    ",,
20,ARROWBEAR MUSIC CAMP,"P.O. Box 180  Running Springs, CA 92382","['909-867-2782', '562-225-7766']",,,info@arrowbear.com ,arrowbear.com ,,,,,"Since 1942 offering summer camp programs in band, orchestra, instrumental and  choral music.  ",,please call or see web for info,,
21,ART OF SINGING,"Studio City, CA",['818-980-2840'],,,Darlene@ArtofSinging.com ,"darlenekoldenhoven.com, artofsinging.com ","Darlene Koldenhoven Individualized programs include comprehensive training in voice  technique, vocal coaching, ear-training, stage/  audition/studio performance, sight-singing, and  specialized sonic therapy to enhance the potential  of the ear and voice. Private lessons in Los Angeles  or anywhere by Skype/Zoom. Author of Tune Your  Voice: Singing and Your Minds Musical Ear, a 94  page book with 7 instructional CDs or downloads  ($49.95) endorsed by faculty from Berklee, Juilliard,  NYU and more, available at TuneYourVoice.net or  in retail music stores. For more info on Darlene, see  her website.  ",,,,,30/45/60 min. lessons.,,,
22,ARTISTMAX,"1616 Butler Ave.  Los Angeles, CA 90025",,,,info@artistmax.org ,ArtistMax.org ,"Kan Caillat, Bridge Gardiner ",,,,"ArtistMax is a three-day intensive artist development weekend workshop series.  We feature celebrity mentors such as Ken Caillat  (Founder), Colbie Caillat, Christina Perri and John  Rzeznik from the Goo Goo Dolls. ArtistMax delves  into everything musicfrom Recording with Grammy  Winning Producers, Music Business Mentors, Vocal  Coaching, Branding, Image Consulting, Stage  Performance and Movement Coaching.  ",3 days ,Please visit our websites for details. Scholar- ships available.  ,,We bring in the best in the entertainment business from Beyonces image/movement coach  Aisha Francis to Peisha and Adriana McPhee who  are the vocal coaches on American Idol. 
23,AUDIO INSTITUTE OF AMERICA,"P.O. Box 15427  San Francisco, CA 94115",['415-752-0701'],,,audioinst@earthlink.net ,audioinstitute.com ,,,,,,,,,"Recording Engineer, Music Producer School"
24,AZUSA PACIFIC COLLEGE  OF THE ARTS  ,"Warren Music Center, Room 100  901 E Alosta Ave,  Azusa, CA 91702",['626-815-3848'],,,schoolofmusic@apu.edu ,apu.edu/music,"Kristie Hawkins, Director of Prospective Student Engagement  ",,,,,,,,
25,BARKERS MUSIC,"3125 McHenry Ave., Ste. F  Modesto, CA 95350",['209-526-0347'],,,info@barkersmusic.com ,barkersmusic.com ,,,,,,,please call for info,,
26,BELLFLOWER MUSIC CENTER,"17125 Bellflower Blvd.  Bellflower, CA 90706",['562-867-6715'],,,info@bellflowermusic.com ,bellflowermusic.com ,any customer service rep. ,,,,"private one-on-one lessons in drums, piano, violin, flute, clarinet, various saxophones,  trumpet, trombone and guitar, as well as rentals and  sales on various instruments  ",depending on individual student progress ,please call or see web for info,,
27,BLUE BEAR SCHOOL OF MUSIC,"Fort Mason Center, Bldg. D  2 Marina Blvd.  San Francisco, CA 94123",['415-673-3600'],,,contact@bluebearmusic.org ,bluebearmusic.org ,,,,,,,please call or see web for info,,
28,BOULEVARD MUSIC,"4316 Sepulveda Blvd.  Culver City, CA 90230",['310-398-2583'],,,,boulevardmusic.com ,Gary Mandell   ,,,,,,please call or see web for info ,,group instruction available
29,BRUBECK INSTITUTE FELLOWSHIP PROGRAM,"University of the Pacific  3601 Pacific Ave.  Stockton, CA 95211",['209-946-3196'],,,mriley1@pacific.edu ,brubeckinstitute.org ,,,,,The Brubeck Institutes Fellowship Pro- gram is an education program in jazz performance  for up to five musicians who have just graduated  from high school ,,please call or see web for info ,,
30,BRUBECK SUMMER JAZZ COLONY,"Brubeck Institute Fellowship  Program University of the Pacific  3601 Pacific Ave.  Stockton, CA 95211",['209-946-3196'],,,mriley1@pacific.edu ,brubeckinstitute.org ,,,,,The Brubeck Institutes Fellowship Pro- gram is an education program in jazz performance  for up to five musicians who have just graduated  from high school ,,please call or see web for info ,,
31,BURBANK MUSIC ACADEMY,"4107 W. Burbank Blvd.  Burbank, CA 91505  818-845-ROCK (7625)",,,,info@burbankmusicacademy.Com ,burbankmusicacademy.com ,,,,,"private lessons, band coaching for youth and adults, Rock and Roll Camp, rehearsal space  and more. ",,"As low as $32.00 per 1/2 private lesson, call or see our website for details.  ",,
32,CALAVERAS ARTS COUNCIL,"22 Main St.  San Andreas, CA",['209-754-1774'],,,goldrusharts18@gmail.com ,calaverasarts.org,,,,,,,,,
33,CALIFORNIA BAND AND MUSIC ACADEMY  (CABAMA)  ,"Lessons and Classes Offered on Zoom Los Angeles  and Ventura County, anywhere from Woodland Hills  to Santa Barbara including Malibu",['805-529-2348'],,,"fscottmoyer@earthlink.net, fscottmoyer.1@gmail.com  ",musicianscamp.org ,F. Scott Moyer ,,,,"Private (one-on-one) and class/group and band instruction are available for drums,  guitar (acoustic and electric), bass, keyboards,  brass, applied beginning-advanced music theory,  beginning-advanced songwriting, voice, percussion  and Band/Ensemble. Additional Special course  studies are available upon request: i.e. Classic Rock;  the Beatles; Latin rhythm studies.  Zoom classes of music and in all popular genres of music. I teach  and coach guitar, bass, drums, keyboards, vocals,  theory, reading, harmony, arranging, rhythm section,  band and song production, recording concepts  and more.  ",,,,"CABAMA, features a program called The Creative Arts Music Project, which is a year-round  after- school music program and summer camp  serving both the Los Angeles and Ventura counties  and offering 50 creative music courses "
34,CALIFORNIA POLYTECHNIC STATE UNIVERSITY,"Music Department  1 Grand Ave.  San Luis Obispo, CA 93407-0326",['805-756-2406'],,,music@calpoly.edu ,music.calpoly.edu ,,,,,Bachelor of Arts in Music,,,,
35,CALIFORNIA COLLEGE OF MUSIC,"42 S. Catalina Ave.  Pasadena, CA 91106",['626-577-1751'],,,info@ccmcollege.com ,ccmcollege.com ,,,Apprentice and Professional Certificate ,,"Music (Theory), Artist Development and Audio Engineering and Music Production  ","6 months apprentice, 1 year professional ",please call or see web for info ,,CCM mentors artists and engineers for the professional music industry. Its small intimate  environment allows for personal and customized  attention from Grammy award-winning and  seasoned faculty. 
36,"CALIFORNIA INSTITUTE OF THE ARTS,  SCHOOL OF MUSIC  ","24700 McBean Pkwy.  Valencia, CA 91355","['661-253-7816', '800-545-2787']",,,musicinfo@calarts.edu ,music.calarts.edu ,,,"B.F.A, M.F.A. ",,"Music composition, performance of all musical instruments, jazz, world music perfor-  mance, music technology: Interaction, Intelligence  and Design. Vocal performance, experimental  sound practices, musical arts program.  ","4 years for B.F.A., 2 years for graduate M.F.A. degree, 3 year program, D.M.A. (Doctorate of  Musical Arts) in Performer/Composer.  ",please call or see web for info ,,Fully accredited WASC and NASM college curriculum 
37,"CALIFORNIA STATE UNIVERSITY,  MONTEREY BAY  ","5108 Fourth Avenue  Marina, CA 93933",,,,,csumb.edu/mpa,,,,,,,,,
38,"CALIFORNIA STATE POLYTECHNIC UNIVERSITY,  POMONA  ","3801 W. Temple Ave.,  Bldg. 24-141  Pomona, CA 91768",['909-869-3548'],,,dfkopplin@cpp.edu ,cpp.edu/class/music/index.shtml ,"David Kopplin, Interim Department Chair ",,B.A.,,,,,,
39,"CALIFORNIA STATE UNIVERSITY, CHICO  MUTA  ","Performing Arts Center Room 106  Chico, CA  530-98-5152",,,,muta@csuchico.edu ,csuchico.edu/muta ,,,,,"B.A.s in General Music, Music Education, Music Industry with options of General Industry  and in Recording Arts. ",,,,
40,"CALIFORNIA STATE UNIVERSITY,  DOMINGUEZ HILLS  ","1000 E. Victoria Ave.  Carson, CA 90747    Contact : Scott Morris",['310-243-3543'],,,ssmorris@csudh.edu ,csudh.edu/music ,,,B.A. and Certificates ,,Audio Recording and Music Synthesis (ARMS)  ,4 years ,,,accredited undergraduate college curricu- lum; extension courses available 
41,"CALIFORNIA STATE UNIVERSITY, FULLERTON","P.O. Box 6850  Fullerton, CA 92834",['657-278-3511'],,,ragoldberg@fullerton.edu ,fullerton.edu/arts/music ,"Randall Goldberg, Interim Dir. of School of Music  ",,"B.A., B.M., M.A., M.M. ",,"A full complement of undergraduate and graduate degrees in performance, composi-  tion, music education, theory, history and piano  pedagogy.  ",4-5 years for B.A./B.M.; approx. 2 additional years for M.A./ M.M.  ,,,See website for more info. Many live student performance opportunities. 
42,"CALIFORNIA STATE UNIVERSITY, LONG BEACH","1250 N. Bellflower Blvd.  Long Beach, CA 90840-7101",['562-985-4781'],,,music@csulb.edu ,csulb.edu/colleges/cota/music ,Music Dept. Admissions ,,"B.A., B.M. in music, performance, composi- tion or education, M.A. music program, teaching  credentials    ",,"Varied, with an emphasis on orchestral instruments and music studies such  as history, education, new music and commercial  music business.  ",,please call or see web for info ,,requires audition and music theory test to determine placement 
43,"CALIFORNIA STATE UNIVERSITY,  LONG BEACH EXTENSION  ","6300 E. State University Dr., Ste. 104  Long Beach, CA 90815",['800-963-2250'],,,,ccpe.csulb.edu/ContinuingEd ,,,,,Extension courses in music studies and any music class. Classes are for students not  enrolled in the regular CSULB program.  ,varies ,please call or see web for info ,,University enrollment not required; day and evening classes 
44,"CALIFORNIA STATE UNIVERSITY, LOS ANGELES","5151 State University Dr.  Los Angeles, CA 90032",['323-343-3000'],,,,calstatela.edu/music ,,,B.A. ,,varied undergraduate music studies/ performance program  ,4 years ,please call or see web for info ,,university enrollment required
45,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE","18111 Nordhoff St.  Northridge, CA 91330    Contact : Dr. John Roscigno, Dept. Chair",['818-677-3181'],,,john.roscigno@csun.edu ,csun.edu/mike-curb-arts-media-communica- tion/music csun.edu  ,,,"B.A./B.M., M.A./M.M. ",,"A diverse music program. Majors include music business, jazz performance, classical perfor-  mance, music therapy, education  ","4 years for B.A./B.M., 2 additional years for M.A./M.M.  ",please call or see web for info ,,University enrollment required; Contact music department for audition dates. 
46,CAZADERO PERFORMING ARTS CAMP,"P.O. Box 5626  Berkeley, CA 94705",['360-921-5182'],,,info@cazfamilycamp.org ,cazfamilycamp.org/ ,,,,,"Since 1957, our camp has been providing the best in musical education and performances.  ",,please call or see web for info,,
47,CHAPMAN UNIVERSITY  CONSERVATORY OF MUSIC  ,"One University Dr.  Orange, CA 92866",['714-997-6815'],,,music@chapman.edu ,chapman.edu/copa ,,,"B.A. music, B.M. performance, B.M. music education, B.M. conducting, B.M. composition  ",,Conservatory level musical training within the context of a 4-year liberal arts university.  ,4-year undergraduate degree programs ,please call admissions and records,,
48,COAST MUSIC,"2417 N. Sepulveda Blvd,  Manhattan Beach, CA 90266",['310-372-4753'],,,coastmusicstaff@gmail.com ,coastmusicrocks.com ,,,,,,,please call for info ,all levels,
49,COGSWELL COLLEGE,"191 Baypointe Parkway  San Jose, CA 95134",['800-264-7955'],,,admissions@gogswell.com ,cogswell.edu ,,,,,Audio & Music Production,,,,
50,COLUMBIA COLLEGE HOLLYWOOD,"111 South Broadway  Suite 100  Mail Code 3531  Los Angeles, CA 90015",['800-785-0585'],,,info@columbiacollege.edu ,columbiacollege.edu,,,,,,,,,
51,CORNERSTONE MUSIC CONSERVATORY,"12121 W. Pico Blvd., Ste. 205  Los Angeles, CA 90064",['310-820-1620'],,,cornerstonemusician@gmail.com ,cornerstonemusicconservatory.org ,Ann Pittel ,,,,Private and group music instruction for ages 7 months to adult.  ,15 weeks to year-round ,Varies-call for brochures and rates ,,"specializing in expert music instruction, composition, theory, teen/ college-prep students,  special toddler programs, Harmony Road Piano  course for children (beginners grouped by age). "
52,CRAS MUSIC ACADEMY,"Professional Music Production Courses  2300 East Broadway Rd.  Tempe, AZ 85282","['888-930-1991', '480-858-0764']",,,,cras.edu ,,,,,"CRAS Music Academy offers four expan- sive music production courses through a unique  partnership with Westlake Recording Studios  (Rihanna, the Weeknd, Michael Jackson, Adele,  Imagine Dragons). These courses provide the  essential aspects of music production used daily by  industry professionals.  ",,,,"CRAS Music Academy teaches techniques that will make your music stand out from the rest.  Successful artists, producers and writers who work  at Westlake Recording Studios all know that well-  -produced song can make or break an opportunity  to monetize their music through song placements,  licenses or recording contracts.  "
53,1205 North Fiesta Blvd.,"Gilbert, AZ 85233",['480-858-9400'],,,,,,,,,,,,,
54,DREAM MUSIC STUDIOS,"Simi Valley, CA",['805-558-1760'],,,"dmsmusicrecruiter@gmail.com Web : dreammusicstudios.com  Basic Rate : TBD depending on length of time and  location  Services : Performance opportunities every four to  six months! Student centered learning and quality  programs. Lessons in piano, voice, guitar, bass,  drums, violin, viola, cello and more! Every lesson fo-  cuses on: Chords, Rhythm, Melody, Scales, Theory,  Music Notation, Playing by ear, Playing by heart,  Listening skills, Microphone technique, Playing in  various styles: classical, jazz, popular, and more,  Self confidence skills, Self awareness, Competition  opportunities for advanced students, Music history,  Performance practice ",,,,,,,,,,
55,EL CAMINO COLLEGE,"16007 Crenshaw Blvd.  Torrance, CA 90506",['310-532-3670'],,,,elcamino.edu/academics/areas-of-study/ music.aspx  ,"Polli Chambers-Salazar, Professor Music ",,A.A. ,,"a structured program of training in a variety of solo performance media,  large and small ensembles, music theory  and musicianship, basic vocal and keyboard skills  and the study of music history  ",Two years ,please call or see web for info,,
56,EUBANKS CONSERVATORY,"4543 Artesia Blvd, Suite B  Lawndale CA 90260",['424-350-7027'],,,,the-ecma.com ,,,certificate ,,music degree program with a focus on performance  ,varies ,please call for info,,
57,EVOLUTION MUSIC CONSERVATORY,"1740 Broadview Dr.  Glendale, CA 91208",['818-275-3773'],,,,evolutionmusicconservatory.com ,,,,,,,,,"Group lessons, rock band, private lessons, mommy and me "
58,FIVE STAR SCHOOL OF MUSIC,"314 E. Glenoaks Blvd.  Glendale, CA 91207",['818-502-1739'],,,elleniegalestian@gmail.com ,fivestarmusicanddance.com ,,,,,One-on-one and group musical instrument instruction.  ,Varies with individual programs ,please call or see web for info ,,"Classes taught in English, Spanish, Armenian and Tagalog (Filipino). "
59,FOOTHILL COLLEGE,"12345 El Monte Rd.  Los Altos Hills, CA 94022",['650-949-7016'],,,hermanron@fhda.edu ,foothill.edu/music ,"Ron Herman, Division Dean",,,,,,,,
60,GARNISH MUSIC PRODUCTION SCHOOL,"12435 Oxnard St.  North Hollywood, CA 91606",['323-348-1289'],,,,la.garnishmusicproduction.com ,," Brooklyn, NY, Miami, FL, Brentwood, TN,  London, Hong Kong, Berlin ",,,,,,,Learn to produce finished tracks fast from Grammy-winning instructors  
61,GILMORE MUSIC STORE,"1935 E. 7th St.  Long Beach, CA 90813",['562-542-0524'],,,gilmoremusicstore@gmail.com ,facebook.com/GilmoreMusicStore ,,,N/A ,,"Instruction in drums, classical-jazz-and rock guitar, bass guitar, woodwinds, flute, trumpet,  trombone, piano, violin, cello and voice.  ",30 min. to 60 min. ,call for rates ,,"24-track digital recording studio on site, beginner packages available. "
62,GLENDALE COMMUNITY COLLEGE,"Music Department  1500 N. Verdugo Rd.  Glendale, CA 91208",['818-240-1000'],,,pflueger@glendale.edu ,glendale.edu/music ,"Beth Pflueger, Music Department Chair ",,"certificate, A.A, A.S. ",,Comprehensive program focusing on preparing musicians for university  admissions with focus on choral or instr. perfor-  mance and music history/theory.  ,2 years for A.A/A.S. ,please call or see web for info ,,"most classes do not require an audition, but may require a prerequisite "
63,GLOBE AUDIO RECORDING AND PRODUCTION,"110 Caledonia St., Ste A  Sausalito, CA 94965",['415-777-2486'],,,info@globerecording.com ,soundhealingcenter.com/love/ audio,,,,,,,,,
64,GOLDEN WEST COLLEGE,"15744 Golden W. St.  Huntington Beach, CA 92647",['714-895-8772'],,,goldenwestcollege.edu/music/index.html ,goldenwestcollege.edu/music ,"Dr. Kay Nguyen, Dean ",,A.A.,,Music Education Preparation or Music Performance  ,,,,
65,GRAMMY CAMP,"Grammy Foundation  888 S. Figueroa Street  Los Angeles, CA 90017",['310-581-8668'],,,areyournext@grammy.com ,grammyintheschools.com ,,,,,"This program offers students a 17-day interactive residential summer music experience  that focuses on all aspects of commercial music,  with instruction by industry professionals in an  immersive creative environment with cutting-edge  technology in a state-of-the-art facility.  ",,please call or see web for info,,
66,"GUITAR MERCHANT, THE","22807 Saticoy St.  West Hills, CA 91304",['818-884-5905'],,,theguitarmerchant@yahoo.com ,guitarmerchant.com ,,,,,"music lessons all instruments, all ages, band jam programs, live venue -  shows nightly guitar sales and service ",,,,
67,GUITAR SHOWCASE/S.M.I.,"3058 S. Bascom Ave.  San Jose, CA 95124",['408-377-5864'],,,smi.admin@guitarshowcase.com ,guitarshowcase.com ,,,,,"guitar, bass, keyboards, drums, percussion, saxophone, flute,  mandolin, banjo group classes, private instruction,  monthly workshops  ",,Call or see web for info,,
68,HARRISON SCHOOL OF MUSIC,"P.O. Box 5068  West Hills, CA 91308",['818-887-8870'],,,sales@harrisonmusic.com ,harrisonmusic.com ,Mark Harrison ,,N/A ,,"keyboard, theory, ear training and composing/arranging, with an emphasis on jazz  and pop styles.  ",flexible scheduling ,please call or see web for info ,,The Harrison music education methods are used by thousands of students in over 20 countries  worldwide. 
69,HOLLYWOOD ACADEMY OF MUSIC & ARTS,"7469 Melrose Ave., Ste. 34  Hollywood, CA 90046",['323-651-2395'],,,,hollywoodacademyofmusicandarts.com ,,,,,"Hollywood Academy of Music offers private lessons for piano, keyboard, guitar, voice,  drums, violin, bass guitar, flute, clarinet, saxophone  and trumpet (other band instruments also available).  We also teach a group workshop called School of  Rock-Band 101 and Pre-school Music Classes.  ",,please call or see web for info ,,"Hollywood Academy of Music provides Hollywood, West Hollywood, Beverly Hills and sur-  rounding areas  of Los Angeles with personable and  highly qualified teachers for students of all ages. Our  positive, encouraging atmosphere and professional  studio environment aid in the development of musi-  cal abilities - and our convenient location makes it  feasible for students from all different areas of the  Los Angeles metro area to attend. "
70,"ICON COLLECTIVE, LLC","100 E. Tujunga Ave. #100  Burbank, CA 91502",['818-299-8013'],,,info@learn2produce.com ,iconcollective.edu ,,,,,"The nine-month Digital Music Produc- tion Course teaches artists/DJs and beatmakers  how to record, mix, master, market and sell their  music in todays new digital era. Blending creativity  with technology, Icon Collective has created a 21st  century approach for artists/producers seeking a  creative, artistic, successful lifestyle. ",,,,
71,INTERNATIONAL SCHOOL OF MUSIC,"416 E. Colorado St., Ste.A  Glendale, CA 91205",['818-548-7959'],,,contact@ISMGlendale.com ,ismglendale.com ,,,certificate ,,"classical; one-on-one instruction in piano, guitar (classical, jazz, flamingo), violin, flute,  viola, voice, percussion  ",,please call or see web for info,,
72,JOHN NOVELLOS CONTEMPORARY,KEYBOARDIST COURSE,['310-909-4007'],,,agoldmark@mac.com ,keysnovello.com ,Andy Goldmark ,,,,"complete one-on-one program for training the contemporary keyboardist, composer  and singer-songwriter  ",varies ,please call or see web for info ,,"all musical styles; piano, Hammond B3, improvisation, music sequencing and music theory "
73,LEARN PRO RECORDING,"Los Angeles, CA  (747) 207-2100",,,,Info@LearnProRecording.com ,learnprorecording.com ,,,,,Learn basic recording / Audio Engineer- ing / Music Production / Studio Business  ,Online lessons - At your own pace ,,,Learn from workingprofessional audio engineers / Producers / Studio Owner - Live one-  on-one remote coaching available. 
74,LONG BEACH CITY COLLEGE,"1305 E. Pacific Coast Hwy.  Long Beach, CA 90806",['562-938-4946'],,,acarreiro@lbcc.edu ,lbcc.edu/music ,"Anthony Carreiro, Dept. Head & Professor, Theater Arts  ",,A.A. and/or certificate ,,"Commercial Music Program, Radio and TV Program  ",2 years ,please call or see web for info,,
75,LONG BEACH SCHOOL OF MUSIC,"3840 Woodruff Ave., Ste. 109  Long Beach, CA 90808",['310-918-0439'],,,,longbeachschoolofmusic.com ,Mark Fitchett ,,,,"All styles instruction in guitar, bass, woodwinds, drums, voice and keyboards  ",varies ,please call or see web for info,,
76,LOS ANGELES CITY COLLEGE,"Department of Music  Herb Alpert Music Center  855 N. Vermont Ave.  Los Angeles, CA 90029  Music Department   Ext. 2880",['323-953-4000'],,,parkcj@lacitycollege.edu ,lacitycollege.edu/Departments/Music/ Department-Home  ,"Christine Park, Dept. Chair ",,"A.A. (Associate in Arts) or certificate in commercial vocal, instrumental,  piano, orchestration/ arranging, electronic music/  MIDI  ",,"Commercial and traditional music pro- gram to prepare students who wish to transfer to a  4-year university music program, or get their A.A.  degree or commercial music certificate in vocal  music, Instrumental music, piano, orchestration/  arranging and electronic music/MIDI.  The certificate program is intended for those wish-  ing to enter the recording or film industry.  The A.A. degree is intended for students who wish  to continue their education and seek a higher  degree.  ",approx. 2 years ,visit the site for info,,
77,LOS ANGELES HARBOR COLLEGE,"1111 Figueroa Pl.  Wilmington, CA 90744",['310-233-4429'],,,rainesjw@lahc.edu ,lahc.edu/classes/music/index.html ,music department ,,"A.A., Commercial music certificates ",,"traditional and commercial music courses offered including theory/musicianship,  MIDI/electronic music, songwriting and instru-  ments such as voice, guitar and keyboards  ",16-week semesters ,please call or see web for info ,,"courses taught by instructors in the field who bring practical, contemporary information to  the classroom; evening classes available. "
78,LOS ANGELES MUSIC ACADEMY COLLEGE OF,"MUSIC  300 S. Fair Oaks Ave.  Pasadena, CA 91105",['626-568-8850'],,,admissions@lacm.edu ,lacm.edu ,,,"Bachelor of Music in Music Performance, Music Production, or Composition, Bachelor of Arts  in Music Business after 3.5 years, Associate  of Arts Degree in Music Performance or Music  Production after 1.5 years or Diploma after 1 year  ",,"intense programs individualized for drums, guitar, bass, vocal and music production  disciplines, professional level  ","3.5, 1.5 and 1 year programs ",please call or see web for info ,,"fully accredited, financial aid available, emphasis on contemporary music production  and performance with daily ensemble workshops,  students accompanied by hired professional musi-  cians in an intimate environment "
79,LOS ANGELES MUSIC & ART SCHOOL,"3630 E. 3rd St.  Los Angeles, CA 90063",['323-262-7734'],,,stayintune@lamusart.org ,lamusart.org ,Admissions ,,,,"Individual instruction offered in piano, guitar, violin, woodwinds, drums and voice.  ",varies ,please call or see web for info ,,"a private, non-profit school; voice lessons taught in English and Spanish; financial aid  available "
