,Name,Type,Web,Services,Fee,Email,Phone,Features,Fees,Summary,Prizes,Categories,Contact
50,AIRGIGS,Music Review/Opinion/Feedback,airgigs.com ,"platform for hiring professional session musicians, vocalists and audio engineers online.  Songwriters, music producers, bands and  creatives can hire talent to enhance their existing  productions, or they can produce an entire song  from composition to mastering completely online. ",,help@airgigs.com ,,,,,,,
51,GIGMASTERS,Music Review/Opinion/Feedback,gigmasters.com ,"Event services booking platform. Hire local musicians, DJs, bands, photographers and  speakers for special event. ",,,866-342-9794  ,,,,,,
52,GIGSALAD,Music Review/Opinion/Feedback,gigsalad.com ,"Find and book everything from bands, musicians, and DJs to entertainers, speakers and  event services. ",,,,,,,,,
53,REVERBNATION,Music Review/Opinion/Feedback,reverbnation.com ,"Online platform that provides marketing tools and opportunities for musicians,  artists, and bands to manage their careers.  ","Free, Basic- $12.95/mo., Premium - $19.95/ mo. ",support@reverbnation.com ,,,,,,,
54,SONICBIDS,Music Review/Opinion/Feedback,,,,support@sonicbids.com,,,,,,,
55,SOUNDBETTER,Music Review/Opinion/Feedback,soundbetter.com,,,info@SoundBetter.com ,888-734-4358  ,,,,,,
56,ADAPTR,Song Submissions/Placements,adaptr.com ,An all in one platform to easily add hit music to your apps and digital experiences ,,,,,,,,,
57,MUSIC CONNECTION,Song Submissions/Placements,musicconnection.com,,,,,,,,,,
58,MUSIC GATEWAY,Song Submissions/Placements,musicgateway.com ,"Music industry marketplace where you find music industry jobs, receive daily job  postings worldwide, start collaborations, send  your demo submissions and more. ","Influencer - $22/mo., Adventurer - $7.50/ year, Game Changer - $37/mo.  ",support@musicgateway.com ,,,,,,,
59,MUSIC GORILLA,Song Submissions/Placements,musicgorilla.com ,"Submit your music to film, TV, songwriting and major label showcase  opportunities. Get heard by a wide range of  industry pros from music supervisors to internet  radio hosts to major label A&R.  ",Free to sign up.,info@musicgorilla.com ,201-796-8742  ,,,,,,
60,MUSIC OPPS,Song Submissions/Placements,musicopps.com ,Music opportunities for independent & unsigned artists ,,,,,,,,,
61,MUSIC XRAY,Song Submissions/Placements,musicxray.com ,"Submit your songs to music producers, publishers, supervisors and managers  for marketing, music licensing, label roster,  publishing, distribution and more. Your track  goes directly to the decision makers: no middle-  men, no prescreeners, just a direct link between  artist and Industry Professional. ","Submission fee set by the Industry Professional, and an additional $10.00 just for the  first submission of that song.  ",support@musicxray.com ,,,,,,,
62,SUBMITHUB,Song Submissions/Placements,submithub.com ,"Share songs with music bloggers, record labels, radio stations, Spotify playlisters  and YouTube or SoundCloud channels. ",,jason@submithub.com ,,,,,,,
63,TAXI,Song Submissions/Placements,taxi.com ,"Helps songwriters, artists, and film/ TV composers get their music to record labels,  music publishers, music supervisors and music  libraries ",,,818-222-2464  ,,,,,,
64,AIRBIT,Beat Selling Websites,airbit.com ,"Buy, sell and license tracks. Collaborate with other producers. Sell sound kits.  Customize your own beat store with the Infinity  Store feature.  ","Basic Free, Gold-$8.33/mo., Premium-16.66/mo",,,,,,,,
65,AUTO-BOUNCE,Beat Selling Websites,auto-bounce.com,,,,,,,,,,
66,BEATSTARS,Beat Selling Websites,beatstars.com ,"Post, sell and buy beats online. Create your own custom beat selling website with  themes and domain with the Pro Page plan. Earn  ad revenue when people stream your music on  SoundCloud and Audiomack. ","Free, Marketplace Plan - $9.99/mo., Pro Page Plan - $19.99/mo.  ",,,,,,,,
67,BOPPER,Beat Selling Websites,boppermusic.com ,"Ad music licensing platform,Bopper, has come to an agreement with all of the rights  holders it represents to pre-clear tracks for  use in brand content productions on Tik Tok,  YouTube, Instagram and Twitch. A safe and  easy way for brands to license music from  independent recording artists for immediate use  in digital advertising. ",,,,,,,,,
68,BRIDGER,Beat Selling Websites,bridgemusic.io ,Bring independent songwriters towards copyright by offering them an innovative  and easy solution to collect their royalties  generated on digital platforms. ,,,,,,,,,
69,PROD. BY FOUR,Beat Selling Websites,Proudbyfour.com ,Royalty-free beat library,,,,,,,,,
70,SOUNDCLICK,Beat Selling Websites,soundclick.com ,"Stream, download, buy and sell beats on a social media platform that includes photo  albums, video uploads, blogs and message boards. ",,support@soundclick.com ,,,,,,,
71,TRAKTRAIN,Beat Selling Websites,traktrain.com ,"Invitation only platform to sell, buy and listen to instrumentals. Paid creative assistance  and track mixing available. ",,,,,,,,,
72,GREAT AMERICAN SONG CONTEST,Song Competitions,greatamericansong.com ,,,info@greatamericansong.com ,,,,"Open to songwriters, lyricists & music composers worldwide. This annual event is  designed for amateur and semi-pro songwriters  only. Individuals who earn over $10,000 annually  from song publishing royalties are not eligible.  ","Grand Prize Winner receives $1,000 cash in addition to a free membership to TAXI ",,
74,INTERNATIONAL SONGWRITING COMPETITION ,Song Competitions,songwritingcompetition.com ,,$25.00 per song or category,,615-251-4441,,,"Annual song contest that provides opportunity for both aspiring and established  songwriters to have their songs heard in a  professional, international arena. 71 winners will  share in the cash and prizes.  ",,"AAA (Adult Album Alternative), AC (Adult Contemporary), Americana, Blues,  Childrens Music, Christian, Comedy/Novelty,  Country, EDM (Electronic Dance Music), Folk/  Singer-Songwriter, Instrumental, Jazz, Latin  Music, Lyrics Only, Music Video, Performance,  Pop/Top 40, R&B/Hip-Hop, Rock, Teen,  Unpublished, Unsigned Only, and World Music.  ",
76,JOHN LENNON SONGWRITING CONTEST ,Song Competitions,jlsc.com/about.php,,$30.00 per song,info@jlsc.com ,888-884-5572,,,"The JLSC is open year-round and  features two Sessions  with 72 Finalists, 24  Grand Prize Winners, 12 Lennon Award Winners  and 1 Song of the Year. The Contest is open  to amateur and professional songwriters who  submit entries in any one of 12 categories.  ",,,
77,LEE RITENOURS SIX STRING COMPETITION  ,Song Competitions,sixstringtheory.com ,,,ritsguitar@aol.com ,,,,"The Six String Theory Competition, hosted by Grammy - winning guitarist and  producer, Lee Ritenour, is a biennial competition  that accepts performer applications for guitar,  bass, piano/keyboards and drums, and offers  winners performance opportunities and  scholarships, as well as prizes from sponsors. ",,,
78,MUSIC CITY SONGSTAR,Song Competitions,musiccitysongstar.com ,,,mcss@musiccitysongstar.com ,,,,A songwriting competition for up- and-coming writers and musicians in all genres.  ,"The Grand Prize winner receives money, an invitation to perform their song at an  exclusive event and instruments. ",,
79,MUSIC CONNECTION,Song Competitions,musicconnection.com,,,,,,,,,,
80,NASHVILLE SONGWRITERS,Song Competitions,,,,,1710 Roy Acuff Pl ,,,,,,
81,"Nashville, TN 37203",Song Competitions,nashvillesongwriters.com,,,reception@nashvillesongwriters.com ,800-321-6008  ,,,,,,
82,SKIO MUSIC,Song Competitions,skiomusic.com ,,,,,,,"Download free stems and win official releases, collabs, plugins and more ",,,
83,SPLICE,Song Competitions,splice.com ,,Must sign up to Splice Sound for $7.99/mo. ,,,,,"Remix contests. Win official releases, collabs, plugins and more. ",,,
84,USA SONGWRITING COMPETITION,Song Competitions,songwriting.net ,,$35.00 per song,,,,,Open to all amateur and professional songwriters and anyone regardless  of nationality or origin.  ,"Winning songs receive radio airplay. Overall Grand Prize winner will receive $50,000  worth of cash, merchandise and services. Overall  2nd Prize winner will receive $9,000 worth  of merchandise. Overall 3rd Prize winner will  receive $6,500 worth of merchandise.  ","Songwriters can enter in 15 different song categories such as: Pop, Rock/Alt, Folk,  R&B, Hip-Hop, Jazz, Instrumental, etc.  ",
85,AIRBNB,On the Road: Lodging,airbnb.com ,"Find hosts with extra rooms, entire homes and unique accommodations. ",,,"415-800-5959, 855-424-7262  ",,,,,,
86,COUCH SURFING,On the Road: Lodging,couchsurfing.com ,"Arrange homestays, offer lodging and hospitality ",,support@couchsurfing.com ,,,,,,,
87,HOTEL TONIGHT,On the Road: Lodging,hoteltonight.com ,"Last minute hotel deals, discounted room rates ",,help@hoteltonight.com ,,,,,,,
88,INDIE ON THE MOVE,On the Road: Lodging,indieonthemove.com ,"Show & tour booking, Music Venues Database, QuickPitch Emailing, College &  University Show Booking Database, Bands  Directory, Show Availabilities, Classifieds  ","Free, Premium - $9.99/mo.",info@indieonthemove.com ,,,,,,,
89,PRICELINE,On the Road: Lodging,priceline.com ,"Discount rates for travel-related purchases including airline tickets, hotel stays,  cars, cruises ",,,877-477-5807  ,,,,,,
90,AIRTABLE,Artist Collaborations,airtable.com ,Shared database/spreadsheet ,"Free or paid membership ($10/mo, $24/mo.).",,,,,,,,
91,AUDDLY,Artist Collaborations,auddly.com ,Allows music creators to collect,,info@auddly.com ,,,,,,,
92,AUDIOBRIDGE,Artist Collaborations,audiobridgeapp.com ,"Mobile recording studio, tool for mobile music collaboration. Communicate  directly with your collaborators with dedicated  chat-rooms for every session. Keep track of your  entire history of edits in one place with both real-  time and delayed collaboration. ",,,,,,,,,
93,AVID,Artist Collaborations,avid.com ,"Provides information on alldigital solutions for capturing, creating, editing and  distributing digital media. ",,,,,,,,,
94,BANDHUG,Artist Collaborations,bandhug.com ,Bandhug is an international music platform that fosters collaboration between  musicians and the globe. ,,,,,,,,,
95,BANDLAB,Artist Collaborations,bandlab.com ,Social media network for musicians and fans with unlimited cloud based storage. ,,hello@bandlab.com ,,,,,,,
96,BANDMIX,Artist Collaborations,Bandmix.com ,Online classified network for connecting local musicians and bands.,Free or premier membership $12.95/$17.90mo ,,877-569-6118  ,,,,,,
97,BEATSTARS,Artist Collaborations,beatstars.com ,Digital production marketplace that allows music producers to license and sell beats  and give away free beats.  ,Free or Unlimited for $9.99/$19.99mo,,,,,,,,
98,BLEND,Artist Collaborations,blend.io ,"Makes the process of producing music interactive. The social platform helps music  producers share music projects in source format,  perfect for remixing, collaborating, learning from,  and gathering feedback from others in the  global community. ",,,,,,,,,
99,DOWNWRITE,Artist Collaborations,downwrite.com ,"Downwrite is a platform for the co-creation of music for fans and artists.  It allowsfans to bring a personal experience,  idea, or occasion into the creative realm of  an artist, who through their unique talent,  transforms the shared experience into music. ",,,,,,,,,
100,DROOBLE,Artist Collaborations,drooble.com ,"Social media network for musicians with promotional features, also allows users to  submit reviews of other users music for payment. ",,team@drooble.com ,,,,,,,
101,FRETTIE,Artist Collaborations,frettie.com ,"Connect with other songwriters from around the globe. Frettie is avaluable  songwriting community made up of students,  professionals and hit songwriters who are all ",,,,,,,,,
102,KOMPOZ,Artist Collaborations,kompoz.com/music ,"Social network platform for musicians, to share, collaborate, distribute music and  crowdsource production/ performers","Free or premier membership ($5/ mo., $10/  mo., $20/mo.). ",,,,,,,,
103,LEDO,Artist Collaborations,ledomusic.is ,A Collab-House platform for music makers and content creators to connect and  reach new audiences. ,,,,,,,,,
104,METAPOP,Artist Collaborations,metapop.com ,"Upload and share tracks, join communities, and enter competitions. ",,support@metapop.com ,,,,,,,
105,MUSIVERSAL,Artist Collaborations,musiversal.com ,"Access to world-class session musicians, vocalists, producers, and audio  engineers. ","$49/mo, $490/yearly ",,,,,,,,
106,MUSICIANS CONTACT,Artist Collaborations,musicianscontact.com ,"Connecting musicians and bands together for over 45 years, from club and casual  groups, to traveling bands, to concert and  recording acts. ",,info@musicianscontact.com ,818-888-7879  ,,,,,,
107,MUSIC LAUNCH HUB,Artist Collaborations,musiclaunchhub.com ,"Global music network where working musicians and the next wave of music  professionals, come together to better navigate  their future in music. ",,,,,,,,,
108,OFFTOP,Artist Collaborations,offtop.co ,"Mobile recording studio to rap and sing over beats. Explore library of fresh  instrumentals, record freestyle or written verses,  and share your rap or song with the world. ",,,,,,,,,
109,PROCOLLABS,Artist Collaborations,procollabs.com ,"online music collaboration service that gives you access to experienced and talented  songwriters, musicians, audio engineers, and  music producers from all around the world.  ","Free or premier membership ($20/mo., $50/ mo., $95/mo.). ",,,,,,,,
110,SHOWX,Artist Collaborations,showx.io ,"Mission-driven platform that creates a forum through which artists can network,  collaborate, co-promote and create with the goal  of empowering careers. ",,,,,,,,,
111,SONGSALIVE!,Artist Collaborations,songsalive.org ,"Largest global songwriters squad. A non-profit organization supporting, promoting  and educating songwriters and composers  worldwide. ",,,,,,,,,
112,SONGSPACE,Artist Collaborations,songspace.com ,"Helps music creators and publishers collaborate, pitch, track and share song projects  and playlists.  ","Creator - $8/mo., Business - $15/ mo.- Plus - $28/mo ",,,,,,,,
113,SONGTOWN,Artist Collaborations,songtown.com ,"A virtual music town where creative people gather to be encouraged,  educated and inspired. Writers of all genres,  from all over the world come to SongTown to  find other creative cowriters, to learn how to  improve their craft from #1 hit songwriters and  publishers, and to be mentored by successful  music industry pros.  ","Platinum Annual Plan $197 per year, Diamond Fast Track $649 per year, monthly  membership for $24.99/mo. ",,,,,,,,
114,SONGWRITER LINK,Artist Collaborations,songwriterlink.com ,Songwriting collaboration website that makes finding the perfect co-writer faster than  before. Its the only website that uses matching  engine technologythe same kind that dating  websites useto help find you exactly the type of  songwriters youre looking. ,,,,,,,,,
115,SOUNDATION,Artist Collaborations,Soundation.com ,This feature unlocks many unique opportunities for Plugin manufacturers and  sample pack and beat marketplaces to have a  slick way of showcasing their products and allow  site visitors to try them out. Producers and other  creators to engage their audience in a new way  by letting them actively listen to or remix their  creations. ,,,,,,,,,
116,SOUNDSTORMING,Artist Collaborations,soundstorming.com ,"Helps musicians to connect, collaborate and promote themselves using their  musical ideas, riffs and fragments. ",,,,,,,,,
117,SOUNDTRAP,Artist Collaborations,soundtrap.com ,"Online recording studio/DAW with collaborative features, plugins/ drumtracks,  autotune, other audio engineering features. Also  educational features  ","(Free, $7.99/mo., $11.99/mo., $13.99).",,,,,,,,
118,SPLICE,Artist Collaborations,splice.com ,"Musicians use Splice to find sounds,",,,,,,,,,
119,TUNEBLADES,Artist Collaborations,tuneblades.com ,"Empowers both professional and non-professionals to quickly resize and remix  songs To match any duration, remove vocals  from songs, and stream indefinitely for live  presentations or programs. ",,,,,,,,,
120,TULLY,Artist Collaborations,tullyapp.com ,"Recording artists and songwriters can play, write, and record song ideas all within one  application. Artists can share their projects with  their engineer before studio sessions, allowing  instant access to the audio file, lyric sheet,  and recording ideas. All your files are organized  and stored to the cloud, keeping all your creative  work safe in one location. ",,,,,,,,,
121,VAMPR,Artist Collaborations,vampr.me ,"App that helps you discover, connect and collaborate with fellow musicians, the music  industry and music lovers alike. ",,support@vampr.me ,,,,,,,
122,VOCALIZR,Artist Collaborations,vocalizr.com ,Created to connect professional singers and producers world-wide. Community  of producers looking for talent.  ,Free or Pro Membership ($9/mo).,,,,,,,,
123,CHARTMETRIC,Music Sales Tracking,chartmetric.io ,"Music data analytics company. They combine hundreds of thousands of real-time  data points across iTunes, Spotify, Youtube,  Google, Facebook, Twitter, and Instagram in  order to make sense of the increasingly complex  landscape of the music industry. ",,,,,,,,,
124,CRYPTO.COM,Music Sales Tracking,crypto.com ,"Cryptocurrency tracking app, and has recently expanded to covering and paying NFTs  for artists and audiences. ",,,,,,,,,
125,NEXT BIG SOUND,Music Sales Tracking,nextbigsound.com ,"Provides online music analytics and insights, tracking hundreds of thousands of  artists around the world. As part of Pandora, they  deliver powerful analytics tools used by music  makers, labels and marketers looking for data  and insights about artists and their fans. ",,,,,,,,,
126,MAYKI,Music Sales Tracking,mayk.it/songs, Virtual studio where you can create music on  demand with our team of producers. ,,,,,,,,,
127,SONGTRUST,Music Sales Tracking,songtrust.com ,"Worlds largest global royalty collection service, Songtrust streamlines the music  publishing administration of 1,000,000+ songs. ",,,,,,,,,
128,SOUNDCHARTS,Music Sales Tracking,soundcharts.com ,"A full-stack solution (database, desktop, mobile apps & API) that brings together  real-time and historical music consumption  data, (social, charts, playlist, airplay monitoring)  to improve project management, reporting and  artist scouting. ",,,,,,,,,
129,WIO PRO,Music Sales Tracking,wiopro.com ,"empowers entertainment stakeholders to track the airing of movies and television  episodes, vital information that drives the  payment of guild residuals, composer royalties  and profit participations. ",,,,,,,,,
130,ARIS TAKE ACADEMY,Music Sales Tracking,aristakeacademy.com ,"Multiple individual courses available, created by indie musician and music business  author Ari Herstand. Courses range from topics  such as managing tours to streaming and social  media growth. ",,,,,,,,,
131,BERKLEE COLLEGE OF MUSIC,Music Sales Tracking,berklee.edu ,Multiple online degree and certificate programs. Interactive 12-week courses. World-  renowned faculty and classmates. ,,,,,,,,,
132,FILM MUSIC INSTITUTE,Music Sales Tracking,filmmusicinstitute.com ,"Offers professional education courses designed specifically for film and television  music professionals that deliver practical skills  and focus on improving your musical and  music business skills. Training is detailed and  comprehensive, and our instructors are some of  the best in the business. Online courses can be  accessed from anywhere 24/7 so you can get  the training you need and the skills you want in  a setting on your terms, and including full access  to your instructors for any questions. ",,,,,,,,,
133,HIFI LABS,Music Sales Tracking,HifiLabs.co ,HIFI Labs Web3 Artist Cohort is a free virtual three-week immersive program that helps  connect emerging musicians with the resources  they need to further develop and launch their  next music project using Web3 tools. ,,,,,,,,,
134,LESSONS.COM,Music Sales Tracking,lessons.com,,,,,,,,,,
135,MELOPHY,Music Sales Tracking,melophy.com ,"Melophy is a teaching site by artists for artists to organize calendars, live lesson  streams to individual and groups of students, ",,,,,,,,,
136,DISCOGS,Music Credits Database,discogs.com ,Discover new music. Track your collection. Contribute to the database. ,,,,,,,,,
137,GENIUS,Music Credits Database,genius.com ,Wide collection of song lyrics and musical knowledge. ,,,,,,,,,
138,MUSICBRAINZ,Music Credits Database,musicbrainz.org ,"Open music encyclopedia that collects music metadata and makes it available to  the public. MusicBrainz captures information  about artists, their recorded works, and the  relationships between them. ",,,,,,,,,
139,BANDSINTOWN,Tour Dates Calendar,bandsintown.com ,Music website billed as a platform where artists and fans connect. The site allows  users to receive notifications about tours and  bands playing in the users area. It also has tools  for artists to manage tour dates. ,,support@bandsintown.com ,,,,,,,
