Unnamed: 0,Name,Address,Phone,Email,Web,Basic Rate,Format,Contact,Services,Clients,Additional location,Notes
21,25TH STREET RECORDING,"25th & Broadway   Oakland, CA",['510-788-4089'],info@25thstreetrecording.com,25thstreetrecording.com ,,,,,,,
22,ALIEN PRODUCTIONS STUDIOS,"4100 Wayside Ln., Ste. 120  Carmichael, CA 95608",['916-483-9988'],alienproductions11@gmail.com,jknorthrup.com,"$40/hr., $300/8hr. block  ",,Jeff Northrup,"digital recording, mixing, mastering and music production",,,
23,BLUE SEVEN AUDIO,"Central Fremont   Fremont, CA 94538",['650-766-7212'],csc@bluesevenaudio.com,facebook.com/bluesevenaudio,call for rates ,Pro Tools HD3,Chris,,,,
24,DIFFERENT FUR STUDIOS,"3470 19th St.   San Francisco, CA 94110",['415-628-4060'],differentfurinfo@gmail.com,differentfurstudios.com,please contact for rates ,"SSL 4048e, Protools 10, Studer A827",,,,,
25,THE DOCK STUDIO,"Sacramento, CA",['916-403-1018'],book@thedockstudio.com,thedockstudio.com,,See website for equipment list ,,,,,
26,THE GRILL RECORDING STUDIO,"4770 San Pablo Ave.   Emeryville, CA 94608",['510-228-1000'],info@thegrillstudios.com,thegrillstudios.com ,,,,,,,
27,GULCH ALLEY STUDIO,"1407 Bush St.   San Francisco, CA 94109",['415-226-9935'],gulchalley@gmail.com ,gulchalley.com ,,,,,,,
28,HYDE STREET STUDIOS,"245 Hyde St.   San Francisco, CA 94102",['415-441-8934'],info@hydestreet.com,hydestreet.com,call for info ,"digital and analog, 24 tracks",,,,,
29,LAUGHING TIGER,"1101 E. Francisco Blvd, Suite A   San Rafael, CA 94901",['415-485-5765'],ari@laughingtiger.com,laughingtiger.com ,,,,,,,
30,LIGHTRAIL STUDIOS,"672 Toland Place   San Francisco, CA 94124",['415-964-0264'],info@LightRailStudios.com,lightrailstudios.com ,,,,,,,
31,MIDDLERIDGE STUDIOS,"V6 Ranch  Parkfield, CA 93451",['805-610-8471'],middleridgestudio@gmail.com,middleridgestudio.com ,,,,,,,
32,PYRAMIND STUDIOS,"859 Bryant St.  San Francisco, CA 94103 226",['415-896-9800'],info@pyramind.com,pyramind.com ,,,"Greg Gordon, Nick Romero",,,,
33,PRAIRIE SUN,"P.O.Box 7084   Cotati, CA 94931",['707-795-7011'],admin@prairiesun.com,prairiesun.com ,,,,,,,
34,SAN FRANCISCO SOUNDWORKS,,['415-503-1110'],booking@sfsoundworks.com,sfsoundworks.com ,,,,,,,
35,SKYLINE STUDIOS,"5427 Telegraph Ave., Suite M  Oakland, CA 94609",['510-984-2484'],info@skylinestudios.com,skylinestudios.com ,,,,,,,
36,SKYWALKER SOUND,"P.O. Box 3000   San Rafael, CA 94912",['510-984-2484'],info@skysound.com,skysound.com,,,Leslie Ann Jones ,,,,
37,STUDIO 132,"Oakland, CA 94611  415-601-5-77",,info@studio132.com,studio132.com,"$100 per hour, project budgets as well","ProTools HDX, Dolby Atmos 7.1.4, Emmy Awardwinner  ",BZ Lewis,,,,
38,TARPAN STUDIOS,"1925 E. Francisco Blvd. Suite L   San Rafael, CA 94901",['415-485-1999'],kimrea@tarpanstudios.com,tarpanstudios.com ,,,Narada Michael Walden,,,,
39,WORKING TITLE RECORDING STUDIOS,"863 Woodside Way  San Mateo, CA 94401",['415-819-5465'],forrest@workingtitlerecordingstudios.com,workingtitlerecordingstudios.com  ,,,,,,,
40,17TH STREET,"1001 W. 17th St.   Costa Mesa, CA 92627",['949-680-6568'],17thstrecords@gmail.com,17thstreetrecordingstudio.com ,,,,,,,
41,4TH STREET RECORDING,"12114th St.   Santa Monica, CA 90401",['310-395-9114'],info@4thstreetrecording.com,4thstreetrecording.com,$75-100/hr (includes assistant or engineer),"digital and analog, 24 tracksAPI 3224 Console, Protools Ultimate HDX, StuderA827, Protools HD3, (4) Neve 1066, (4) Focusrite, (2) Telefunken V72, (2) Maag PreQ4,(2) Maag EQ4, (2)UREI 1176, (2) LA3A,(4) SPL Transient Designers,Generic 1031s, Yamaha NS10s, Lexicon, Yamaha, DBX, Drawmer, Mics: Neumann U-67, (2) U-87s (2) K-84s, (2) AKG 414s, (2) Coles 4038s, Royer R121, AEA N22, Shure, Sennheiser. ",Kathleen Wirt,"Pro Tools and analog recording.Superb sound design, Yamaha C7 grand piano, Hammond organ w/ Leslie, Rhodes. Great drums too. ","Weezer, Daniel Caesar, Muse, Kesha, LP,The Neighbourhood, Solange, Vintage Trouble, The Beach Boys, SZA, K-Flay, Andre 3000, Chris and Rich Robinson, George Clinton, Incubus, No Doubt, Fiona Apple, Nelly Furtado, Hoobastank, Bryan Ferry, Jacks Mannequin, Jim Carrey, Steve Martin, Weird Al Yankovic, Ben Harper, Tom Freund, Andrew McMahon in The Wilderness,Kali Uchis, Betty Who, Tom Freund, Ben Harper, Billy Joe Shaver, Sly Stone. ",,"Right off3rd StreetPromenade and theocean. 26 hotels in walking distance. Top 10 US Studios Under $100/hr. Performing Songwriter Magazine. One of LAs 17 Temples of Sound, Hollywood Reporter  "
43,"AAA JIMMY HUNTERS CAZADOR RECORDING OF HOLLYWOOD, CA","Los Angeles, CA 90048",['323-655-0615'],jimmy@jimmyhunter.com,"jimmyhunter.com, jimbojamz.com",Call for a free consultation,State of the Art Pro Tools 10 HD6,"Jimmy Hunter, owner/producer/ engineer/drummer/vocalist/vocal coach ",,"Todd Stanford,Brian Barnhouse, Bobby Barth, Stacey Evans, Ben Forat, Crimson Crout RIP, Savannah Phillips, Carl (Cix Bits) Summers, Dee Archer, Steve Warnick RIP, Dr. Gary Abrams (Dr; Alias), Ivy Lite Rocway, Carol Casey, Kozz Kosinski. Also multi song collaborations with Nick Turner and Glen Aliano.  ",,A top producers private facility ready to serve you!  Great live drum room with a world class in-house drummer /ProTools HD6 (fat rig) / Neumann mic/ 5000 song experience since 1986 
44,AB AUDIO VISUAL,"Huntington Beach, CA 92615",['714-962-8911'],"abaudio01@me.com, Erik.ABaudio@gmail.com",abaudio.com,,,"Arlan Boll, Erik Lapporte ",,,,
45,ABET MUSIC,"411 E. Huntington Dr., Ste. 170-372   Arcadia, CA 91006",['626-303-4114'],info@abetpublishing.com,abetmusic.com,$355/hr. ,"digital and analog, 96 tracks",Aeron Nersoya,,,,
46,ADAMOS RECORDING,"5811 Westminster Ave.   Westminster, CA 92683",['714-897-8886'],adamos.recording@verizon.net,adamosrecording.com,please call for info ,digital and analog,,,,,
47,ADVENTURES IN MODERN RECORDING,"West Hills, CA",['310-709-9645'],amrdaniell@gmail.com,adventuresinmodernrecording.com,call for rates ,"Digital/Analog hybrid, Pro Tools",Daniell Holcomb,,,,
48,AFTER HOURS RECORDING CO.,"1607 Victory Blvd., Ste. F   Glendale, CA 91201",['818-246-6583'],arecording@netzero.net,,$35/hr. ,"digital and analog, 16 tracks",Bill,,,,
49,ALLIED POST,"1158 26 th  St., #272  Santa Monica, CA 90404",['310-392-8280'],,alliedpost.com,call for info ,digital and analog,Woody,,,,
50,AMERAYCAN RECORDING STUDIOS,"5719 Lankershim Blvd.   North Hollywood, CA 91601",['323-465-4000'],info@paramountrecording.com,paramountrecording.com,call for daily lockout rates ,"digital and analog, 96+ tracks",,,,,
51,ANDY CAHAN-DEMO DOCTOR,"Cathedral City, CA",['818-489-4490'],andycahan@gmail.com,allentertainment.net,please call for info ,"digital and analog, 24+ tracks",Andy,,,,
52,ARDENT AUDIO PRODUCTIONS,"22122 S. Vermont Ave., Unit E   Torrance, CA 90502",['310-782-0125'],rwenzelaap@gmail.com,ardentaudioproductions.com,call for rates ,Pro Tools Ultimate,Rich Wenzel,,,,
53,ATRIUM MUSIC,"P.O. Box 2627   Pasadena, CA 91102",['626-529-3066'],info@atriummusic.com,atriummusic.com,call for info ,"digital HD, video-online offline/audio/mixing/mastering 5.1 ","Josh Young, Darian Cowgill",,,,
54,AUDIO MECHANICS,"1200 W. Magnolia Blvd.   Burbank, CA 91506",['818-846-5525'],,audiomechanics.com,please call for info ,"digital and analog, 24 tracks",John Polito,,,,
55,BG2 STUDIOS @ BEAT GARAGE,"6860 Farmdale Ave   Los Angeles, CA 91605",['818-358-0099'],scott@beatgarage.com,beatgarage.com,Starting at $30/hr. Available byappointment only. Contact for more information. ,,Michael Barsimanto,"Experienced, professional engineers. Liverecording and overdubs. Music Video Production. Podcasting. Equipment list available on website. ",,"5517 Cleon Ave. North Hollywood, CA  91601  ",
56,BALBOA RECORDING STUDIO,"3129 Verdugo Rd.   Los Angeles, CA",,danny@balboarecordingstudio.com,balboarecordingstudio.com ,,,,,,,
57,BANG ZOOM STUDIOS,"1100 North Hollywood Way   Burbank, CA 91505",['818-295-3939'],,bangzoomstudios.com,,,,,,"4720 W. Magnolia Blvd. Burbank, CA 91505 1150 W. Olive Ave. Burbank, CA 91506  ",
58,"BARBERS BASEMENT RECORDING SERVICES, THE","5717 North Figueroa Street   Highland Park, CA 90042",['213-446-1423'],ed@barbersbasement.com,barbersbasement.com,"Please email for hourly, daily or flat rateprojects  ",Pro Tools HD,"Ed Donnelly, Lead Engineer",,,,
59,BASS KING MUSIC,"13012 Haas Ave   Gardena, CA 90249",['323-309-5145'],basskingmusic@gmail.com,basskingmusicproductions.com,please call or send an email,Pro Tools,"Rudy Campbell, Charles Weathersby","record production, producing, film, andproduction deals. We accept unsolicited materials. See website for demo submission for information.  ","Christmas in Compton, Gordon (Levert) LisaFisher, Ava Cherry, Marques Houston, Mc Eiht, Shock G of Digital Undergound, Roscoe, kurupt, Mr.Tan ",,
60,BERNIE BECKER RECORDING & MASTERING,"Pasadena, CA",['626-782-5703'],hello@beckermastering.com,beckermastering.com,email for info ,"digital, analog, Atmos",Ryann Fretschel,,,,
61,BIG CITY RECORDING STUDIOS,"17021 Chatsworth St.   Granada Hills, CA 91344",['818-366-0995'],paul@bigcityrecording.com,facebook.com/BigCityRecording,call for info ,Digital with analog processing,Paul,,,,
62,BIG SCARY TREE,North Burbank Adjacent,['213-680-8733'],,bigscarytree.com,please call for info ,"digital and analog, 64 tracks",,,,,
63,BIG SURPRISE MUSIC,"16161 Ventura Blvd., Ste. C #522   Encino, CA. 91436",['818-613-3984'],info@carmengrillo.com,bigsurprisemusic.com,$75/hr. ,"digital, 128 tracks",Carmen Grillo,,,,
64,BIG SWEDE STUDIOS,"46225 Verba Santa Dr #21   Palm Desert, CA 92260",['213-447-6007'],bigswede@bigswedestudios.com,bigswedestudios.com,call for info ,"digital and analog, 256 tracks",Big Swede,,,,
65,BILL CORKERY STUDIOS,"Studio for Creative Audio   1660 Hotel Cir. N., Ste. 107 San Diego, CA 92108",['619-291-8090'],bcorkery@bcproductions.com,bcproductions.com,please call for info ,digital,Bill,,,,
66,BLACKGOLD STUDIO,"6723 Greenleaf Ave Ste. A  Whittier, CA 90606",,hello@blackngold.studio ,blackngold.studio,Monthly and Daily Rates available:Monthly Rates range from 180-500 a month.  ,2 Rooms. Fully stocked live rooms and mixingrooms for all recording and mixing needs ,Mike Altier,,,,
67,BLUE RECORDER WEST,"1709 Wilcox Ave.   Hollywood, CA 90028",['424-259-3519'],theblueroomwest@gmail.com,bluerecorders.com/west ,$160/hr/$1500/day room rate only(engineer not included)  ,,,,,,
68,BLUE RHODE STUDIOS,"10626 Magnolia Blvd.   North Hollywood, CA 91601",['323-842-0269'],studioblue12@gmail.com,,,"Pro Tools HD, Logic*Email or call for free tour/consultation  ",Andrew De Lucia,,,,
69,THE BLUE ROOM RECORDING WEST,"1709 Wilcox Ave.   Hollywood, CA 90028",['424-259-3519'],theblueroomwest@gmail.com,bluerecorders.com/west ,,,,,,,
70,BNM RECORDING STUDIO,"Los Angeles, C.A, 91342",['323-421-4037'],bnmrecordingstudio@gmail.com,bnmrecordingstudio.com,Refer to website or contact throughprovided channels  ,Digital/Analog,Les Danglar,,,,
71,BOLEN SOUND PRODUCTIONS,"4026 Tilden Ave   Culver City, CA 90232",['310-594-6507'],bolensoundproductions@gmail.com,bolensoundproductions.com,$75 per hour; including engineer. ,Pro Tools,Brian Bolen,,,,
72,BOMB SHELTER REHEARSAL,"7580 Garden Grove Blvd.  Westminster, CA 92683",['714-240-7345'],britt@bombshelterrehearsal.com,bombshelterrehearsal.com,"For detailed rate info, see website ",Pro Tools,"Britt-Marie Trace, Owner/Manager",,,,
75,BREWERY RECORDING STUDIO,"1330 W 12 th  Street Los Angeles, CA,  844-717-BREW",,booking@breweryrecording.com,breweryrecording.com ,,,,,,,
76,CAPITOL RECORDING STUDIOS,"1750 N. Vine St.  Los Angeles, CA 90028",['323-871-5001'],booking@capitolstudios.com,capitolstudios.com,please call for info ,digital Pro Tools and vintage analog,,,,,
77,CHALICE RECORDING STUDIO,"845 N. Highland Ave.  Los Angeles, CA 90038","['323-957-7100', '323-957-7110']",sandra@chalicerecording.com,chalicerecording.com,please call for info ,digital and analog,,,,,
78,CLEAR LAKE RECORDING STUDIOS,"10520 Burbank Blvd.  N. Hollywood, CA 91601",['818-762-0707'],contact@clearlakerecording.com,clearlakerecording.com,,"Full band tracking with Pro Tools HDX or 24Track Studer A827. Newly installed PMC 9.1.4 Dolby Atmos system. Vintage Microphones, Vintage Trident 80bConsole,YamahaC7 GrandPiano, Hammond B3, Full Drum Kit, Selection of Amps and Guitars, Large Selection of outboard including: Neve 1073 sidecar,3PultecEQP- 1A,2 Pultec MEQ-5, 3 UREI 1176, LA2A, Distressors, Tube Tech, Manley Labs. ","Reut FeldmanGeneralManager, EricMilos- Owner. Rates :Call for a personalized quote. For more affordable rates ask about recording in Studio B. ",,,,"With our impeccably tuned control room,large tracking room, first class facilities, and industry leading staff, we are the high end LA studio for the masses.  "
79,COCKPIT STUDIO,"Avil Music Productions  21226 Ventura Blvd  #208 Woodland Hills, CA",['818-397-9849'],info@thecockpitstudio.com,thecockpitstudio.com ,,,,,,,
80,THE COMPOUND STUDIO,"2698 Junipero Ave.  #117  Signal Hill, CA 90755",,compoundstudio@gmail.com,thecompoundstudio.com ,,,,,,,
81,COMP-NY,"Glendale, CA 91201",['323-989-1176'],info@companyhq.com,behussey.com,Contact for day rate ,"Analog/Digital, Pro Tools Hd (24 in/32out).Large Format Neotek recording console. 2 analog. 1/4 analog. ",Be Hussey,,,,
82,CONWAY RECORDING STUDIOS,"5100 Melrose Ave.  Hollywood, CA 90038",['323-463-2175'],Stacey@conwayrecording.com,conwayrecording.com,please call for info ,digital and analog,,,,,
83,COSTA MESA STUDIOS,"711 W. 17th St., Ste. D  Costa Mesa, CA 92627",['949-515-9942'],CMstudiosoffice@icloud.com,costamesastudios.com,please call for info ,digital and analog,,,,,
84,CUTTING EDGE STUDIOS,"22904 Lockness Ave.  Torrance, CA 90504","['310-326-4500', '818-503-0400']",info@cuttingedgeproductions.tv,cuttingedgeproductions.tv ,,,,,,,
85,DAVES ROOM,"8321 Lankershim Blvd.  North Hollywood, CA",['818-925-6871'],davesroombooking@gmail.com,facebook.com/DavesRoom.RecordingStudio ,,,,,,,
86,DAVE WATERBURY PRODUCTIONS,"Laurel Canyon and Magnolia Blvd.  Valley Village, CA 91607",['818-505-8080'],davewaterbury91607@yahoo.com,davewaterbury.net,call for info ,Pro Tools HD.2,Dave,,,,
87,DBW PRODUCTIONS,"Woodland Hills, CA 91367",['818-884-0808'],dbw@dbwproductions.com,dbwproductions.com,$75/hr. ,"digital, unlimited tracks",David Chamberlin,,,,
88,D.M GREMLIN STUDIOS,"6053 Atlantic Ave.  Long Beach, CA 90805",['866-334-4364'],studio@dm-gremlin.com,dm-gremlin.com,"$35/hr., mastering starts at $50/hr.  ",digital,Wendy Levin,,,,
89,DEPARTMENT OF RECORDING AND POWER,,['323-677-5111'],Jason@departmentofrecordingandpower.com,departmentofrecordingandpower.com ,,,,,,,
90,DIAMOND DREAMS MUSIC,"North Orange County  Carbon Canyon, CA 91709",['909-393-6120'],diamonddreamsmusic@yahoo.com,diamonddreamsmusic.com,Please call us for a quote  ,"digital, unlimited tracks",,,,,
91,D.OB. SOUND,"8531 Wellsford Pl., Ste. I   Santa Fe Springs, CA 90670",['562-464-9456'],dobsound20@yahoo.com,dobsoundstudios.com,call for quote,,"Larry Ramirez, Derek OBrien","Full recording, Mixing and Mastering Studio,Video Production, 5 fully-equipped rehearsal rooms and guitar repair shop.  ",,,
92,THE DOGHOUSE STUDIO,"Dolorosa St.  Woodland Hills, CA   91367",['818-929-2795'],doghousestudiola@gmail.com,thedoghousestudio.com ,,,Rodger Carter,,,,
93,DRAGONFLY CREEK RECORDING STUDIO,"Malibu, CA 90265",['310-753-2067'],chaspol@captonemusic.net,dragonflycreekrecording.com,Call for rates,"Pro Tools HDX with 32 channels of analogI/O, Logic Pro ",Charley Pollard,Studio is located on a private ranch andoffers accommodations for bands/artists ,"Coldplay, Lady Gaga, 5sos, Bebe Rexha,Gordon Goodwin, and Neil Young.  ",,
94,DRUM CHANNEL STUDIOS,"900 Del Norte Blvd.  Oxnard, CA 93030",['866-439-7924'],support@drumchannel.com,drumchannel.com,Call for info ,Analog and Digital,Papillon Zamprioli,,,,
95,EARTHSTAR CREATION CENTER,"505 Rose Ave  Venice, CA 90291",['310-581-1505'],info@earthstarvenice.com,earthstarvenice.com,call or email for info ,see website for equipment list,John X Volaitis,,,,
96,EASTWEST RECORDING STUDIOS,"6000 W. Sunset Blvd.  Hollywood, CA 90028  :","['323-957-6969', '323-957-6966']",candace@eastweststudio.com,eastweststudio.com,Call for Daily Rate or Block Bookings,"Analog and Digital80Chnl Neve 8078, 40 Chnl Neve Custom 8028,40 Chnl Trident A Range, 64 Chnl SSL G +, Fairchild 670, Bricasti, EMI REDD 47 mic pre, GT Vipre Tube mic pre, Urie 1176LN, Teletronix LA-2A, Avalon AD2044, Pultec EQP-1A3, Lexicon 960L, AMS RMX16, GML 8200, AKG C12s, Neumann U67s, Neumann U47s, Neumann M50s, Telefunken ELA-M 251s, Sony C55ps, Coles 4038s, Royer R-121s. MKH-800s, AEA- 440 ",Candace Stewart,"Orchestra tracking, band tracking, mixing,live performances, events in famous vintage studios. Private Lounges and Outside Deck ","Frank Sinatra, Justin Timberlake,JohnLegend, Frank Ocean, Ariana Grande,Lady Gaga, John Mayer, The Beach Boys, The Mamas & the Papas, The Foo Fighters, The Red Hot Chili Peppers,Elton John, Demi Lovato,Justin Bieber, Shania Twain,Keith Urban,Weezer, Sum41, The Goo Goo Dolls, Blink-182,Third Eye Blind,Animal Collective, Jim James,Dawes,Madonna,Rihanna,Nas, Common, Miguel,Michael Buble,Metallica,Slayer,Faith Hill, U2, Fiona Apple, Akon, Bruce Springsteen,Dwight Yoakam, Rage Against the Machine, Jason Mraz, Ella Fitzgerald, Johnny Cash, Jimmy Cliff, Jerry Lee Lewis, Garbage,Muse,Iggy Pop, Bob Dylan, Whitney Houston,The Rolling Stones,Stone Temple Pilots, Foster The People, M83, Tina Turner, Stephen Stills and Neil Young.  ",,
97,ECHO BAR RECORDING STUDIO,"7248 Fulton Ave.   North Hollywood, CA 91605",['818-738-7320'],info@echobarstudios.com,echobarstudios.com,call for info ,call for info,"Erik Reichers, Bob Horn",,,,
98,EL CERRITO STUDIO,"P.O. Box 625  El Cerrito, CA 94530",['510-776-3623'],elcerritorecords@gmail.com,elcerritorecords.com ,,,,,,,
99,ELEVATED AUDIO,"14677 Aetna St.  Van Nuys, CA 91411",['818-909-9029'],elevatedaudio@gmail.com,elevatedaudio.com,"call for info, no walk-ins ","Digital, Analog, or both",Fran,,,,
100,ENCORE STUDIOS,"721 S. Glenwood Pl.  Burbank, CA 91-4000",['506 323-4654'],info@paramountrecording.com,paramountrecording.com/studios/encore,call for daily rates. ,digital and analog,,,,,
101,ES AUDIO SERVICES,"1746 Victory Blvd.  Glendale, CA 91201",['818-505-1007'],,esaudio.com,Please call for current rates ,"Pro Tools and Logic, Analog Front End",Donny Baker,,,,
102,THE EVERGREEN STAGE,"4403 West Magnolia Blvd,  Burbank, CA 91505",['818-860-7880'],amy@evergreenstudiosla.com,theevergreenstage.com ,,,,,,,
103,EXPOSITION REHEARSAL & RECORDING STUDIOS,"9214 Exposition Blvd.  Los Angeles, CA 90034",['310-287-1236'],contact@expositionstudios.com,expositionstudios.com,Please Call For Rates ,Control Room 20ft x 20ft Live Room20ft x 12ft ,,,,,
104,FAB FACTORY STUDIOS,"7240 Fulton Ave   North Hollywood, CA 91605",['818-356-6092'],info@fabfactorystudios.com,fabfactorystudios.com,please call for info ,,,,,,
105,FEVER RECORDING STUDIOS,"5739 Tujunga Ave. N. Hollywood, CA91601",['818-762-0707'],contact@clearlakerecording.com,feverrecording.com,Please call to discuss a personalized quote. ,"Full featured and private boutique recordingexperience.Studio 1featurestwo private lounges, private parking, and runner services. Newly installed 48 ch SSL Duality Delta ProStation w/ custom Neve summing, Augspurger Mains with dual 18 Subs, large selection of high end outboard and microphones. Full backline including, Yamaha G5 Grand Piano, Montineri Custom Drum set, amps, and guitars. ","Reut Feldman - General Manager,  D Papapostolou  On-Site Manager, EricMilos - Owner",,,,"Fever Recording Studios offer anunparalleled recording experience in a boutique and private environment. Our expertly trained staff, impeccable service, and modern luxe decor make Fever a truly 5-star destination.  "
106,FITTING ROOM STUDIO,"Canoga Park, CA",['310-717-4739'],fittingroomstudio@yahoo.com,fittingroomstudio.com,call for info ,Pro Tools HDX,,,,,
107,FRIDAY ENTERTAINMENT,"Sherman Oaks, CA",['818-995-4642'],info@fridayentertainment.com,fridayentertainment.com,call for info,Digital,Sam Dress,"recording, mixing film editing, sound topicture. Great live room for jazz, folk, etc.  ",,,
108,FUEL MUSIC STUDIO,"1150 E Valencia  Fullerton, CA 92831",['714-809-2107'],fuelmusic@hotmail.com,fuelmusicstudio.com ,,,,,,,
109,GLENWOOD PLACE STUDIOS,"619 S. Glenwood Pl.  Burbank, CA 91506",['818-260-9555'],info@glenwoodstudios.com,glenwoodstudios.com,call for info ,digital and analog,Kit Rebhun,,,,
110,GOLD-DIGGERS,"5632 Santa Monica Blvd,  Los Angeles, CA 90038",['323-546-0300'],studioinfo@gold-diggers.com,gold-diggers.com/pages/record ,,,,,,,
111,GOLD STREET,"Burbank, CA 91504",['818-567-1911'],avpost@goldstreet.net,goldstreetmusic.com,$1000/Song. ,"digital, 128 tracks",Eric Michael,,,,
112,GOLDEN IMPALA RECORDING STUDIO,"3311 Beverly Blvd  Los Angeles, CA 90004",['310-595-4578'],info@goldenimpala@gmail.com,goldenimpala.com,call for rates ,,,,,,
113,THE GREENE ROOM RECORDING STUDIO,"Van Nuys, CA",['818-781-1144'],,greeneroom.com ,,,,,,,
114,GREEN STREET STUDIOS,"Sherman Oaks, Ca",['818-533-1143'],RobKingGSS@aol.comWeb : greenstreetstudios.com  ,,,,,,,,
115,THE GROOVE LAB,"West Hills, CA 91326",['818-903-0005'],olivierroulon@thegroovelab.org,thegroovelab.org,call for rates ,"digital, 32+ tracks",Olivier,,,,
116,GROOVE MASTERS,"Santa Monica, CA",['310-393-3836'],contact@groovemastersstudio.com                                                                                                                                                                      ,,,,,,,,
117,GROOVEWORKS STUDIO,"5536 Atlantic Ave.  Long Beach, CA 90805",['310-403-5104'],info@grooveworksstudios.com,grooveworksstudios.com,,,Rodney,"music rehearsal, audio recording, podcastand video shoots *Does not accept unsolicited material  ",,,
118,HARBOR STUDIOS,"2000 Pacific Coast Hwy  Malibu, CA 90265 Attn: Zach",,zach@harbormusic.com,harbormusic.com ,,,,,,,
119,HARDSHIP RECORDS,"Van Nuys, CA 91405",['818-780-7845'],HJ@hughjamesmusic.com,hughjamesmusic.com/studio,variable rates: per hour per project,Specializing in Grand Piano Recordings &Song Production  ,Hugh James,,,,
