venue_name,user,user_location,date,review,star_rating
Bottom of the Hill,Ivan S.,"Sunnyvale, CA","Oct 12, 2020","Hmmm. A brief indie music history refresher...... Brought my older brother here for an amazing evening with Lali Puna, Alias (Brenden W) and duo 505, 11/2004. A 10 d sold out show of the MORR art label and artist roster. The show itself as in performance of each group and artist were absolutely fabulous. 5 stars, bravo!!  LP opened, followed by Brandon and a closing set by duo 505. I was a fan of the trio so I had lots of fun following music parts, melodies, lyrics and poppy game boy like, instrumental 8-bit tangents. I had an extreme penchant with the German pop label MORR music headed by Thomas MORR, which still to this day I think is a pseudonym. He's an agreeable euro via email, don't let it fool you look up ANOST A number of Small Things. He has even DJ'd a set at the Jesuit Santa Clara Uni once. YES here in California, Santa Clara. ""How do I know this? From experience."" All of their label mates just disappeared from the US tours via packed tour van. Weird. No west, pacific west, mid west -bi coastal tour. Nothing. I was willing to subscribe to the than steep vat like 17%  to have music imported from Germany to the US moreover California. Def. Rec. Recky ven.  _Enso+-Bottom of The Hill great sound system, clear and super sonic for an intimate venue.https://www.anost.net/https://en.wikipedia.org/wiki/Lali_PunaRIP Brendon Anticon co founder. https://www.rollingstone.com/music/music-news/anticon-rapper-producer-alias-dead-at-41-630104/https://de.wikipedia.org/wiki/Duo505You've been toldYou've been toldLeave your dignity at homeIt's time to grin and bearYou've been told they don't knowYou've been told their hands are tiedWe won't returnWe won't return here-Lali Puna",5
Bottom of the Hill,Jessica T.,"San Francisco, CA","May 15, 2020","My husband and I  - had our wedding party here    some years ago. It was a beautiful evening full of wide smiles, beaming toasts, watermelon cake, guacamole, colorful outfits, handmade rice-krispy treats, sunflowers, singing, dancing, and lots of love. We couldn't have asked for a more perfect venue to celebrate our union. Lynn and the rest of the amazing staff at Bottom of the Hill were a dream to work with. They answered all of our questions thoroughly and quickly leading up the event, and once we got there- they even helped make sure everything was all set-up.We were able to park a vintage VW bus outside for photos, bring in outside caterers with chafing dishes, and have live music throughout the festivities. From Bottom of the Hill's quirky decor, to its charming fireplace, to its lovely succulent graced outdoor area - it's a one-of-a-kind space. It's an amazing haven in the Bay Area full of heart and life - run by truly magical people.Help support the wonderful people who keep outstanding live music alive in San Francisco - and please consider donating to their staff relief fund here - http://www.bottomofthehill.com/donatetostaff.htmlTrust.",5
Bottom of the Hill,Safi H.,"Brooklyn, New York, NY","Feb 16, 2020","had a good time at first; small intimate venue to see a wonderful band but a guard there continuously kept harassing one of my friends because she had too much to drink. it was concerning how eager he was to kick her out on the street; he just wanted to get rid of her, regardless of her safety. he also treated other women at the venue incredibly disrespectfully. his presence didn't make anyone feel safer, if anything it made everyone incredibly uncomfortable. if the security staff is this disrespectful and terrifying, i will never come back. avoid at All costs. please fire the thin white man with long hair and beard. he is a Creep. drinks are overpriced too.",1
Bottom of the Hill,Eric K.,"Brooklyn, Brooklyn, NY","Jan 25, 2020","terrible.   i love dive bars with music, this place is terrible.  music  is ......live, staff is pompous.  cash only.  waste of an uber.  to beat it all, the sewer smell sticks to your clothes.",1
Bottom of the Hill,Alex H.,"Omaha, NE","Dec 5, 2019",The bouncer literally tried to take away my REAL ID so I suggest any new comers to try and STAY CLEAR of this bar. Astonishingly disrespectful staff is all I have to say! 0 out of 10 stars if I had a say in it. Stay safe y'all...,1
Bottom of the Hill,Jessika F.,"Indianapolis, IN","Nov 18, 2019","What a treasure this venue is! Saw a show here this weekend and the whole experience start to finish was pleasant. There is a lovely patio outside the back door with plenty of seating or room for socializing. There are a number of dinner tables sort of restaurant-style in the rear of the venue, away from/kindof behind the main floor. These areas are a much appreciated escape from the crowds if needed. I saw food being served, though I didn't eat I'm happy this is an option if needed. Bartenders were very friendly and quick! This venue is cash only but there's an ATM inside. I thought the sound mixing during the performances was great. Looking forward to returning soon!",5
Bottom of the Hill,c.t. d.,"San Francisco, CA","Nov 14, 2019","Legendary live music venue in FRISCO!!! I've gone to tons of amazing shows here over the years. Always when Romona is behind the bar. She booked the bands there for years and has great taste. The city needs great venues like this. Happy it's still going strong, while so many other clubs have bit the dust in SF.",5
Bottom of the Hill,Omar A.,"Arcadia, CA","Nov 9, 2019","Growing up, I always imagined Bottom of the Hill (BOTH) as a sort of mecca for punk rock in San Francisco, similar to, but nowhere near the level of importance or acclaim as Gilman on the other side of the Bay (but what even is?).All my favorite bands would play here when they were in town, but since I was in LA I would get to see them when they came to SoCal. Yet I always had the desire to visit here one day. Well that day came recently when I was able to see one of my favs from back in the day, Sicko, play a show here along with locals Mr. T Experience and the Pathogens.I don't really know what I had drawn up in my teenage mind when I first heard about this place many years ago, but like most things we imagine when we are that young, they usually don't meet up to our lofty expectations. For whatever reason, I had imagined BOTH to be a large club, similar to maybe the Troubadour or the Whiskey in LA..however it is actually a lot smaller and more intimate than the majority of the rock clubs in Hollywood. For those from LA, it's closer in size to the Echo or the Smell.On this night, the place was decorated in a Halloween theme since we were close to the holiday, which I was delighted to see. There were also past show posters framed alongside the walls which highlight the rich history of the club. If you walk towards the back there is a tiny room which was set up to sell merch.They do have a bar, but I'm sober so can't say much about that other than they do have alcohol.Tickets can be bought onsite or reserved through their website. There is will call out front where the guy basically just checks your ID to make sure it matches the person who bought the ticket online. If you're over 21, they put a wristband on your hand and if not, well I guess they don't. It is all ages though because I saw a bunch of kids inside. There is no coat check here but leave your jackets at home since it gets pretty warm indoors.The sound was good and the crowd was fun, mostly nice and not too intense on the night I went.Parking seems limited, with street level parking and a small lot out back. I took a lyft so it didn't affect me one way or the other.Overall, it was a fulfilling experience and the teenage me would be so excited that I got to go here. Heck, the current me was also excited about it too!",5
Bottom of the Hill,Nina C.,"Burlingame, CA","Sep 29, 2019","Great venue for live music! Major points for easy, free street parking in S.F. Good size dance floor, indoor seating in the back and outdoor patio, and bar featuring self-serve water. The sound was well balanced and loud without being headache inducing. Two stalls in the ladies room with purse hooks, and kept clean and stocked with TP the entire night. It got hot and stuffy inside, but that's pretty typical when there's a lot of people getting down! I look forward to more shows here.",4
Bottom of the Hill,Danny S.,"Civic Center, Stockton, CA","Sep 16, 2019",Probably my favorite venue in the city. On the smaller side but parking is the easiest here. Food is actually really good. Bring cash.,5
Bottom of the Hill,Doctor L.,"San Francisco, CA","Apr 6, 2019","Beers are $7. Cocktails are $8, and stiff.ORDER THE COCKTAILS.This is quite simply one of the best small live music venues on the West Coast, if not the US, if not the entire world.Looking around at the condos going up around here, I worry if this place will someday get gentrified out of existence. And if that shit ever happened, I swear I'd burn shit to the ground. I swear I'd burn it to the motherfucking ground.I'M OBVIOUSLY FUCKING KIDDING AND AM NOT GOING TO BURN SHIT.Regardless, that shit's not even going to happen. Those condo dwellers will have no choice but to appreciate the fine local bands and reasonably priced cocktails to not simply not gentrify this place, but to make it fucking thrive.BOTH is gonna live forever. FOR FUCKING EVER.Order the cocktails. And patronize live music while you still can.",5
Bottom of the Hill,David L.,"San Mateo, CA","Mar 4, 2019","I have only been once for a show by Sebastian Bach last year. I thought the venue was just ok. The sight lines are not great as the ceiling is low and the stage itself is small and also not too high. If you are at the front to the right of the stage, you end up blocking the walkway which means people walking into you. The venue is small/intimate with lots of character but the surrounding area is a little shady. At least the ticket prices are reasonable. I may not be back unless it is an artist I am dying to see.",3
Bottom of the Hill,Bridgette M.,"Oakland, CA","Feb 21, 2019","Me and my boyfriend just went to our first show here last night and I am in love with this venue. It is medium to small for a very intimate experience. The decor consists of a lot of eccentric, spooky, crafty things like tinsel, bead garlands, mannequin parts etc. The staff (ticket takers and bartenders) were very friendly and chill. The place is cash only but they have an ATM by their front door. The bathrooms were interesting: women's restroom has 2 small stalls but the door to the bathroom was left open so people on the main floor could look into the bathroom. I didn't really like this but maybe they do this as a safety precaution? All in all a great show and venue :)",5
Bottom of the Hill,Pallavi M.,"San Jose, CA","Dec 25, 2018",Live music 6/7 days a week :) if you're into live music it's definitely a place you need to visit. The only thing I don't like about this place is when there are just three bands playing there's a wait of 20-30 mins between bands.,5
Bottom of the Hill,Joel G.,"San Francisco, CA","Nov 7, 2018","This classic venue can almost be missed if you're walking around the neighborhood. There's a giant neon sign outside, and usually a line that goes down the block. The interior of this place hasn't changed much in the past twenty years. A tiny stage, abstract art on the walls, and small bar in the front, which gets pretty crowded. They have a nice patio area in back, perfect if you're a smoker; if not, they do have some nice vegetation to admire. The place isn't near any muni or BART stations. This venue is tiny and there's no real room to move around or dance. The place is cool for a first concert experience but can be a bit annoying if you want to try to enjoy a show.",3
Bottom of the Hill,Carl F.,"CA, CA","Sep 25, 2018","I've been to Bottom of the Hill twice. Once for an incredible 60s/70s themed wedding with an amazing David Bowie cover band, and once for a show with a band featuring men dressed like orcs from Lord Of The Rings and the headliner, a heavy metal Arnold Schwarzenegger parody militia style band that played songs about the movie Junior, Twins, Kindergarten Cop, and more.Needless to say, Bottom of the Hill has A LOT to offer. It's cash only and you'll need to check online to see what show may be going on as ticket prices/cover can vary greatly. The drinks are extremely affordable and the bartenders are so so so kind and do a great job of seeing everyone who may be in need of a drink and/or safety earplugs and servicing them stat. The venue isn't huge but I think that's kind of perfect for a show where you don't want to get crammed in and pushed around. There's a back room that I've spent about 20 seconds in but I think it's a good area to hang in if you order from their small kitchen menu. There's also a back outdoor patio with some limited seating, tons of gorgeous plants, and a pack of adorable kittens that do not want to be pet.",5
Bottom of the Hill,Hannah E.,"Redwood City, CA","Sep 16, 2018","If you enjoy multiple car break-ins, this place is for you!!. I should've heeded the warning of the people that said be wary of parking your car here. However, since they were only two of them, I figured it might not still be an issue. I was wrong. It's really insulting that they have warnings about break-ins posted as a small flyers on the window, because that shows they see and KNOW there's an issue, but their only solution is ""check your bags with us for free!""Listen, if I thought they couldn't afford some security or at least a parking area to patrol, I might be more sympathetic. But with what their drink prices were, and that it's cash-only, I know they have enough. It's simply ridiculous. Don't even go to this place. The fact that people keep returning despite these issues is just not giving them any incentive to fix anything. Now I'm out $1300 in belongings and my car has a permanent breeze. Cool. It happened to a few cars in the area it seems, too. One car was missing a gas cap after. So they will literally f*ck your sh*t up just to do it. To end on a positive: Sound system was nice inside the venue. It was a nightmare navigating to the restroom though and the lack of seating was weird. Overall literally no reason to Come back here ever. Oh. I guess there weren't many positives.",1
Bottom of the Hill,Merch C.,"San Francisco, CA","Sep 2, 2018","This place is a great live music venue. They hire an actual sound person! Not only that, but the green room is awesome. Besides comfy furniture, good lighting, and a useable mirror, it has a shower and a minifridge, and they put a cooler full of ice cold beers up there before showtime. I've only been in one better green room! The back patio is pretty nice too.",5
Bottom of the Hill,John S.,"Vacaville, CA","Jul 21, 2018","For the most part, I would give this place a 1 star; however, there were a few redeeming factors of this place: The sound and acoustics were good, the merch table was easily accessible, the bar is. . simple, and the headliner selection is incredible. On paper, this should be an excellent venue. Heck, they even let the artists play their full setlists, and each artist with the exception of the headliner started on the minute and promptly. There's even a warning sign talking about people leaving valuables in their cars. Thoughtful if you ask me.Now, that was the good, but what boils down is this: Just how responsible are these people? I can predict that they say that they are responsible for nothing unless something illegal happens here-then they just don't want to be on the short end of the stick. That's the problem here: They're in it for themselves with greed, and their attitudes show it. The door opening time for last Thursday's (it's Saturday morning now) show was 8:30 while the show was supposed to start at 9--1 headliner and two opening acts. As each opening act played for almost an hour, the artist that I'm sure we all came to see did not take the stage until 11 PM, and had a setlist that was twice as long as the others. It apparently was scheduled for the headliner to perform at that time, but I had no idea that was the case until I was there. I took public transportation to get myself to the venue. I was driving from Vacaville to the El Cerrito Plaza BART station and got off right at 16th and Mission station. Now, this venue is not the closest to the 16th and Mission station, but then again, it's not the farthest (about a 20-25 minute walk) and it isn't that far from some of the SF Peninsula's precise bus stops. Problem is, when the main event begins at 11:00 PM, don't expect it to end before midnight (or better yet 11:30 so we can have time to catch the last couple of East Bay stops at BART). Now in some ways, that's just the icing of the non-tasty cake. In line in front of me, an older gentleman and the older middle aged man who greeted said a quick ""hi"" to one another. After the the older gentleman in front of me asked the greeter how he was doing in a genuine manner, he said something among the lines of ""I want you all to bring your ID cards out so we can match your names."" The greeter's vibe and insensitivity was very curt and off-putting for me. He then asked me specifically if he could see my ID as if I was underaged. I've been working in the professional industry for some years now, don't look like I'm under 21 anymore, and haven't been carded at all in recent memory except when people must card everybody just for the sake of policy--so I was carded twice. That too was unpleasant. Also, when I was in the venue and looking on the website, I couldn't help but remind myself just how narcissistic this venue is: From a long list of every performer who played in there from 1997 to present day, to the in house staff using a professional camera with flash taking constant pictures of the performance likely for that same purpose.So to conclude this review, if the event started two hours earlier, I wouldn't have to debate which I wanted to do more: Go home safely and at an affordable price or see the full show of the headliner that I bought the ticket to see in the first place. As I really didn't want to miss the main artist's 20ish song set, I had faith that I could just walk fast enough and catch the 800 all nighter route AC Transit bus between South Van Ness and Market by a few minutes after 1:00 AM when the event ended about 15 minutes after midnight. Unfortunately since it's my first time trying to take that late bus and ever going to this venue, not only did I miss the BART's last departure but also this bus by apparently a few minutes, and just to learn that the next bus wouldn't come till at least an hour or so later. So to avoid panicking, uncertainty, and being worried, I just shelled out a pretty penny I didn't account for on an Uber to take me back to the El Cerrito Plaza station. Wow could that all have been prevented had it started and ended earlier. Considering all of these vehicle break ins I hear about, public transit is the wiser choice in SF and throughout this district, and if they don't start the events and end them at earlier times, I simply cannot justify going to a show out here again. That plus the rude vibes and narcissism they all seem to be emanating, unfortunately it is not acceptable to be a part of all of this or see another performer here until lots of that stuff (especially the times) get better. Thanks for reading my experience here.",2
Bottom of the Hill,oscar o.,"Daly City, CA","Jul 10, 2018","Lovely venue, great staff and inexpensive tickets. This is an intimate venue with great view of the stage from pretty much anywhere. I will definitely be back.",5
Bottom of the Hill,Lydia Z.,"San Francisco, CA","Jun 29, 2018","Small and intimate venue with a bar, a stage, a patio, and an inside dining/sitting area. I have yet to see the place in the daytime/not set up for an event but I like how it was set up for the AAPI month event I attended. Lineup is written on a board so you know who to expect. They might even sell food but the service counter was closed when I arrived. Only con is there isn't really any sitting area in front of the stage besides maybe the 3 stools by the bar. The patio is actually outside behind the stage and strewn with lights and scattered chairs. Overall a delightful little place in the design district that hosts a variety of underground/rising artists. Also tickets are usually relatively cheap!",4
Bottom of the Hill,Evan W.,"San Francisco, CA","Apr 23, 2018","This is basically a bar with a stage.Place is quite small but perfect for those who like to be within arms reach of their performer without those walled dividers.If you are hungry, they also serve food.Don't get there too early as they will make you wait outside.You can grab a drink at the Connecticut Yankee a block away.",4
Bottom of the Hill,Kimmy B.,"San Luis Obispo, CA","Mar 29, 2018","Every time I come to this Venue, it feels like home to me. This venue sound quality is great, the bands they get for are always great. The atmosphere is amazing, making it fun. The drinks are on point! Always a well worth 3 to a 4 hour drive!",5
Bottom of the Hill,Kat W.,"Castro Valley, CA","Mar 20, 2018","Very pretty venue. Love the lighting and the open space. The only thing is that there aren't a lot of seating areas, so just be aware.Also... plenty of parking!!! I was surprised! Had loads of fun and got to see my friend headline with his band.",4
Bottom of the Hill,Nicole W.,"Sacramento, CA","Feb 23, 2018","This is a very solid venue. Tickets are always will call which is nice because you will never forget them! Also, every time I've come here there has always been an abundance of free parking near by, and that alone could make it my favorite venue in the city. It's a small intimate venue, which I love. If you go to a lot of concerts or have sensitive ears I would recommend bringing ear plugs. It can get pretty loud in this small space. Lots of great bands have played here and I hope to see more in the future here!",4
Bottom of the Hill,Precieux P.,"San Francisco, CA","Dec 10, 2017","Bottom is a dive. It's always been and I like it that way. I was there for opening day back in 1991? and have seen many many shows there over the years. I'm just over the the surly unfriendly attitudes, the small pours, and watching the bartenders take big shots!",2
Bottom of the Hill,John M.,"Hayward, CA","Nov 12, 2017",You have to drive. No ins and outs wanted to walk out the minute I got in 2/2 times. Then why stamp and bracelet? Apparently I have to wait 3 hours here to see the headliner. I'm the one paying to be here. Don't lock me in bro. Edit : updating my review from two stars to one star because as I was walking out the door guy grabbed me very forcefully by my sweatshirt to repeat to me there are no ins and outs.,1
Bottom of the Hill,Denay M.,"SoMa, San Francisco, CA","Oct 25, 2017","MY FAVORITE VENU IN SF! Love this place.... the food is good and decently priced. The bar is cash only, which is pretty typical of a sf bar. But no matter where you when your here, inside or outside, you have a great view of the stage! The back patio has a plexiglass window so you can see behind the stage during performances. And since the ""green room"" intended for performers is super small, the artist are out and about at the venue which creates awesome meet-n-greet opportunities. I live this venue so much that I just troll their calendar and google/YouTube the artist to find a reason to go here, and also find new music along the way.",5
Bottom of the Hill,Kendra O.,"Morgan Hill, CA","Aug 30, 2017","Super small venue for seeing lesser-known bands. Tickets are normally pretty cheap; between $12 and $15. I saw GGFO here and we got to meet them in the back room after the show! Sound system is pretty good. I love that this place isn't located in a super busy area and there's plenty of available parking right next to the venue! My only complaint about the venue is that some areas are wayyy too cramped, especially the tiny bathroom. Other that that, it is a really great unique place for some live music.",4
Bottom of the Hill,Tim A.,"Healdsburg, CA","Jul 3, 2017","This place is awesome. Old, divey, neighborhood bar and music joint. The drinks are stiff and fair and come quickly, the vibe is good. If you're looking for music without the d-bags and bouncers and night club scene, saddle up to the bar for a bourbon and some tunes at this joint.",5
Bottom of the Hill,Marco T.,"Sea Cliff, San Francisco, CA","Jun 2, 2017","My favorite spot in town for live music and new bands.It is a small venue and that's what makes it great.All my favorite bands have stopped here at some point.I now regularly check their website to find about new bands.Just recently I went to see Vancouver Sleep Clinic, Brolly, and Picture Atlantic.",5
Bottom of the Hill,Camille L.,"San Francisco, CA","May 20, 2017","Such a great, intimate venue! Saw Summer Salt here earlier last month and the experience was amazing. Can't wait to see another show here.",5
Bottom of the Hill,R C.,"San Leandro, CA","May 18, 2017",Went here for a Vancouver Sleep Clinic show. Space is small. Staff are friendly. The thing I love about this place is the parking. Plenty of parking places on the streets since it's an industrial area. Just keep all valuables out of sight inside your car.,4
Bottom of the Hill,Jessica C.,"Carmichael, CA","Mar 30, 2017",Cool place for seeing bands! A little small but nicely decorated. Good music atmosphere!,5
Bottom of the Hill,Whitney D.,"Sacramento, CA","Mar 13, 2017","*CASH ONLY BAR* There's an ATM there but you know that the fees are crazy with those. I saw Milo Greene there. There's a good amount of street parking, but we got there a little early so it was probably easier then to find things. It can get pretty hot, but it was sold out so that's pretty standard. I didn't have anything from the kitchen but there is a full bar. It's a cool little space, really eclectic. If your band is coming you should really go, the tickets are cheap and it's a small venue so you're up close and personal with them. My only complaint is the bathroom. It's pretty small and it's a gender-neutral which is not a problem, but there's two urinals and one stall bathroom. When I went in it stank like old pee. Besides that, it's a cool little place.",4
Bottom of the Hill,Shoshana G.,"Benicia, CA","Feb 25, 2017","Came here last night to see Matt Pond PA as part of Noise Pop 2017. Bottom of the Hill is a great live music venue. Check-in was a breeze - show your ID at the door and then once more to the guy with the tickets. Since I pre-bought my ticket ahead of time, my name was on the list and I was inside within a minute. Inside is intimate and cozy and the acoustics were really good. Behind the stage area, there's a place with some tables where the bands were selling merchandise.Bartenders were really friendly and I especially appreciated that they held my bag for me behind the bar. For free! Bar is cash only. There's plenty of street parking nearby but I chose to Lyft there and back. Would definitely come back!",5
Bottom of the Hill,Livia P.,"Seaside, CA","Oct 28, 2016","Rock n Roll, killer drinks, fantastic service, spacious patio, fun decor...... What more could you ask for?!?! Nothing, you can't ask for anything more.... Bottom of the Hill rules!!!",5
Bottom of the Hill,Jeremy S.,"San Francisco, CA","Oct 21, 2016","I rented the space a while ago for a private event. Their rates were fair and everything went really smoothly. It was a rock show so we had to rent a bunch of equipment from another local vendor who dropped everything off before our arrival. No issues with the handoff and we had everything we expected. The sound engineer was on top of his game and knew what he was doing, no hiccups throughout the night. The space is pretty flexible, enough for a small show (maybe 80-90 people fit comfortably in front of the stage) but plenty of overflow room towards the back if you really want to pack the house. In addition to the bar you can get a few food items from their small kitchen, not sure if our guests took advantage but it was a nice option. We'll be back!",5
Bottom of the Hill,Lindsay G.,"Mill Valley, CA","Oct 21, 2016","Nice little intimate venue for watching live music. They serve food in addition to drinks so you can grab a bite here before the show. There is a back room with tables and chairs for chilling that is seperated from the stage. If you like small, up close and personal concerts, this is the place for you.",5
Bottom of the Hill,Glenn P.,"Stockton, CA","Aug 30, 2016","I think you really have to think twice about coming to this place to see a concert. The auto break-ins are a serious problem and you're simply at a much greater risk for being vandalized at this venue compared to other venues in the Bay Area.  The venue hasn't exactly ignored the problem, and offers to check your bags, etc., but they're also not really pro-active about taking some sort of more concerted effort to protect their patrons. It's a tricky situation for them for sure, but given the extraordinary circumstances of the neighborhood it would seem to be in their best interest to try *something* besides a simple sign posted in the window warning you about the problem.However, once inside, the venue is homey and a good place to see small indie bands. The cash bar is totally a thing.",2
Bottom of the Hill,Danny B.,"Weston, CT","Jul 21, 2016","Already has a great reputation, and rightfully so. One of the only venues that allows all ages show in San Francisco. Hosts some of my favorite bigger, and smaller acts. Keep this place going, too many musicians need you !",5
Bottom of the Hill,Ryan Y.,"San Francisco, CA","Jun 22, 2016",This is one of my favorite venues in the city. Feels like the venues I grew up going to. Pretty small; you can see some medium sized bands here from time to time. Cash only.,4
Bottom of the Hill,Stephanie Y.,"Lebanon, OR","Jun 3, 2016","Free parking if you get there at a decent time. The area is a bit sketch because it's all industrial. They'll check your bag if you're under 21. You can defiantly get a chance at talking with the performers, I got an autograph from my fave little indie bad Told Slant",5
Bottom of the Hill,Anne R.,"San Francisco, CA","May 18, 2016","Fun bar to see live music in SF. Its great to see this place is so full of life in a town with a shrinking music scene.The sound is great for a medium venue (250 capacity or so). Drinks are on the cheaper side. Bar is cash only. There's an outdoor patio too in case you need a breather between sets.Last time I was here a dude was trying to start a mosh pit during like, a jam band. Party on dude. Party on.",5
Bottom of the Hill,Eddie G.,"San Francisco, CA","May 16, 2016","This is usually my go- to all ages venue because of the food, fireplace, smoking patio, and good bands. I saw July Talk and Har Mar Superstar there ...the sound quality is always amazing and it's small enough that you can interact with the artists.",5
