,Name,Address/Phone,Email,Web,Contact,Clients,Credits,Services,Format,Basic Rates,Specialization,Additional location,Masterclass,Note
34,GROOVEWORKS," 5536 Atlantic Ave.  Long Beach, CA 90805  310-403-5104  ",info@grooveworksstudios.com ,grooveworksstudios.com ,studio manager ,,,,,please call for info,,,,
35,HANS DEKLINE MASTERING," Los Angeles, CA  310-621-1896  ",hdekline@gmail.com ,hansdeklinemastering.com ,Hans DeKline ,,,,,call or check our website,,,,
36,HOWIE WEINBERG MASTERING STUDIO," 8331 Lookout Mountain Ave.  Los Angeles, CA 90046  323-524-8776, 323-498-0305  ",howie@howieweinbergmastering.com ,howieweinbergmastering.com ,,,,,,rates upon request,,,,
37,HYDE ST. STUDIOS," 245 Hyde St.  San Francisco, CA 94102  415-441-8934  ",info@hydestreet.com ,hydestreet.com ,,,,,,please call or see web,,,,
38,IMPERIAL MEDIA SERVICES," 3202 Pennsylvania Ave.  Santa Monica, CA 90404  310-396-2008  ",sales@imperialmedia.com ,imperialmedia.com ,,,,"Retail ready CD, DVD and Blu-ray packages ship within 24-48 Hour ",,,,,,
39,JOE GASTWIRT MASTERING," 4750 Rhapsody Dr.  Oak Park, CA 91377  310-444-9904  ",joe@gastwirtmastering.com ,gastwirtmastering.com ,Joe Gastwirt ,,,,,please see web or call,,,,
40,KEN LEE MASTERING," 3060 El Cerrito Plaza No. 542  El Cerrito, CA  510-428-9276  ",kenleemastering@me.com ,facebook.com/kenleemastering.studio ,,,,,,please email,,,,
41,KINGSIZE SOUNDLABS," Los Angeles, CA  323-533-0022  ",ronna@kingsizesoundlabs.com ,kingsizesoundlabs.com ,,,,,,call for more info,,,,
42,LURSSEN MASTERING," 4109 W Burbank Blvd.  Burbank,CA 91505  323-924-7193  ",Jamie@lurssenmastering.com ,lurssenmastering.com ,"Jamie Fratta Peters, Engineer",,,,,,,,,
43,MAGIC GARDEN MASTERING," Los Angeles, CA  614-620-4567  ",brian@magicgardenmastering.com ,magicgardenmastering.com ,Brian Lucey,,,,,,,,,
44,MAMBO SOUND & RECORDING," 2200 W. Esther  Long Beach, CA 90813  562-432-9676  ",steve@mambosound.net ,mambosoundandrecording.com ,Steve McNeil ,,,,,please call for info,,,,
45,MAOR APPELBAUM MASTERING," Sounds With Impact  Woodland Hills, CA  818-564-9276  ",mappelbaum@gmail.com ,maorappelbaum.com ,Maor Appelbaum ,"Faith No More,Yes, Meatloaf, Dream Theater, The Kooks, Matisyahu, Lupe Fiasco,  Eric Gales, Daneil Powter, Walter Trout, Gilby  Clarke, Abbath Ill Nino, Josh Levi, Starset,  Sepultura, Rob Halford,Yngwie Malmsteen,  Lita Ford, Fates Warning, William Shatner,  Dokken,Pepper, Treponem Pal, Annihilator,  Lee Aaron, Robin Beck, Sabaton, Candlemass,  HorrorPops, Green Carnation, Nekromantix,  Hillbilly Herald, Treponem Pal, Billy Sherwood,  Adrenaline Mob ",,,,,,,,
46,MARC DESISTO / MIX LA STUDIO D," Recording Engineer, Mixing & Mastering  Grammy Nominated for Melissa Etheridge  Los Angeles, CA  818-259-4235  ",marcdesistoaudio@gmail.com ,marcdesistoaudio.com ,,"Dwight Yoakam, Will Hoge, Tommy Emmanuel, Melissa Etheridge, U2, Chris  Isaak, King Leg, Michelle Branch ",,,,,,,,
47,MARCUSSEN MASTERING," Hollywood, CA 90028  323-463-5300  ",ofice@marcussenmastering.com ,marcussenmastering.com/index2.html ,,,,,,please call for info,,,,
48,MARSH MASTERING," Los Angeles, CA  310-598-6038 Fax 310-598-5685  ",marsh@marshmastering.com ,marshmastering.com ,Stephen or Fernando ,,,,,"flat rates for unattended sessions, hourly rates for attended sessions ",,,,
49,MASTER GROOVE STUDIOS," Northridge, CA  Nashville, TN  818-830-3822, 615-562-5329  ",info@mastergroovestudios.com ,"mastergroovestudios.com, facebook.com/ Mastergroovestudios  ",Dave Morse,,,,,,,,,
50,MAURICE GAINEN PRODUCTIONS," 4470 Sunset Blvd., Ste. 177  Hollywood, CA 90027  323-662-3642 Studio  323-376-2834 Cell  ",info@mauricegainen.com ,mauricegainen.com ,,,"Starbucks (185 compilations), Disney, EMI, UNI, Warner, Sony, Rafael Moreira, Alex  Skolnick, Andy McKee, The Hues Corp (Rock  The Boat), Mighty Mo Rodgers, Orchestre Sur-  real, Angel Town Combo, TriTone Asylum, Little  Willie G, Spoon, Rita Coolidge. ",,,please call for info ,,,,
51,MELROSE MASTERING," 1041 No. Formosa Ave. West  West Hollywood, CA. 90046  818-216-5409  ",melroserecordingsstudios@gmail.com ,Melrosemusicstudios.com ,,,,,,please call for info ,," 121 S. Palm Canyon Drive  Palm Springs, CA. 92262 ",,
52,NEATO MASTERING," 313-580-6660  Nashville, TN.  ",Colby@neatomastering.com Colby Gustafson  ,neatomastering.com ,,,,,,please call for info,,,,
53,THE OC RECORDING COMPANY," 3100 W. Warner Ave., Ste. 7  Santa Ana, CA 92704  323-244-9794  ",info@ocrecording.com ,ocrecording.com ,Asaf Fulks ,,"Universal Pictures, Disney, ESPN, LA Clippers, Casio, Kendrick Lamar, Platinum &  Grammy Artists  ",,"Pro Tools HD 11, Neve 1073, Sony C-800G, Neumann, Aurora, Avalon, Lynx, Dangerous,  Focal, SSL ",,,,,
54,OASIS MASTERING," 4109 W. Burbank Blvd.  Burbank, CA 91505  818-567-0500  ",jack@oasismastering.com ,oasismastering.com ,,,,,,please call for info,,,,
55,PEN STATION STUDIOS," Mixing and Mastering Services  Santa Monica, CA 90404  424-238-8800  ",info@penstation.la ,penstation.la ,,,"Babyface Ray, Est Gee, Lil Poppa, Stunna 4 Vegas, Yo Gotti, Black Label Society,  Lebra Jolie, Rob49 ",,,"$150 per hour unattended, $250 per hour attended.  ",,,,
56,PHUTURETRAX," Redondo Beach, CA  323-523-7499  ",don@phuturetrax.com ,phuturetrax.com ,Don Corrieri,,,,,,,,,
57,PRAIRIE SUN," Box 7084, Cotati, CA 94931  707-795-7011  ",info@prairiesun.com ,prairiesun.com ,studio manager ,,,,,please call for info,,,,
58,PRODUCTION COMPANY," RECORDING, MASTERING & REHEARSAL ",,,,,,,,,,,,
59,"STUDIO, THE"," 673 Valley Dr.  Hermosa Beach, CA 90254  310-379-6477  ",rockzionrecords@rockzion.com ,rockzion.com/productionco.html     ,,,,,,$60 per hour Digital Recording / $75 an hour Analog Mastering ,,,,
60,PRIVATE ISLAND TRAX," 1882 S. Cochran Ave.  Los Angeles, CA 90019  323-856-8729  ",info@privateislandtrax.com ,privateislandtrax.com ,,,,,,please   call for rates,,,,
61,PROFESSIONAL MUSICIANS," LOCAL 47  3220 Winona Ave.  Burbank, CA 91504  323-462-2161  ",,promusic47.org ,Amie Moore ,,,,,please call for info,,,,
62,PYRAM-AXIS DIGITAL," Redondo Beach, CA  310-869-8650  ",music@pyramaxis.com ,pyramaxis.com ,Jim D. ,,,"Virtual Mastering, Streaming Media, Distribution  ",,Please call or email for info,,,,
63,RESOLUTION MASTERING," Sherman Oaks, CA  818-481-7064  ",info@resolutionmastering.com ,resolutionmastering.com ,Ron Boustead ,,,,,,,,,
64,RPD STUDIOS," 1842 Burleson Ave.  Thousand Oaks, CA 91360  805-496-2585  ",rpdstudios@roadrunner.com ,rpdsound.com ,Randy ,,,,,please call for info,,,,
65,SILENT ZOO STUDIOS," Glendale, CA  818-484-5222  ",contact@silentzoostudios.com ,silentzoostudios.com ,,,,,,Email/Call for rates,,,,
66,SONIC VISION MASTERING & AUDIO, PRODUCTION SERVICES  818-269-7087  ,Mike@sonicvisionmastering.com ,sonicvisionmastering.com ,Mike Milchner ,,,,,please call/check website for info,,,,
67,SONORA RECORDERS, 213-841-0712  ,richardbarronmusic@gmail.com ,sonorarecorders.com ,Richard ,,,,"mixing, mastering & production",please call for information. ,,,,
68,SOUND AFFAIR," 2727 S. Croddy Way, Unit G  Santa Ana, CA 92704  800-570-6656  ",ron@soundafairltd.com ,SoundAfairMastering.com ,Ron or Andree ,,,,,please see web for info,,,,
69,STUDIO CITY SOUND," 4412 Whitsett Ave.  Studio City, CA 91604  818-505-9368  ",booking@studiocitysound.com ,studiocitysound.com ,studio manager ,,,,,please call for info,,,,
70,THETA SOUND STUDIO," 1309 W Riverside Dr.  Burbank, CA 91506  818-955-5888  ",randy@thetasound.com ,thetasound.com ,Randy or Cyndie Tobin ,,,,,please call for info,,,,
71,TIME ART STUDIO," Studio City, CA  818-980-2840  ",darlene@darlenekoldenhoven.com ,darlenekoldenhoven.com/timeart ,Darlene ,,,,,please call for info,,,,
72,TOMCAT ON THE PROWL PRODUCTIONS," Canoga Park, CA 91304  818-943-6059  ",studio@tomcatontheprowl.com ,tomcatontheprowl.com ,Thomas Hornig ,,,,,visit website for more info,,,,
73,VENETO WEST MASTERING," PO Box 6363  Pine Mountain Club, CA 93222  310-200-9010  ",rcm@venetowest.com ,venetowest.com/mastering ,Ronan Chris Murphy ,,,,,Please contact for rates,,,,
74,WESTLAKE RECORDING," 7265 Santa Monica Blvd.  West Hollywood, CA 90046  323-851-9800  ",bookings@thelakestudios.com ,thelakestudios.com ,,,,,,please call for info,,,,
75,WOODRUM PRODUCTIONS," Burbank, CA  818-848-3393  ",michael@woodrumproductions.com ,woodrumproductions.com ,Michael Woodrum ,,,,,please call for info,,,,
76,ZENMASTERING," P.O. Box 231097  Encinitas, CA 92023  858-231-1541  ",,zenmastering.com ,Paul Abbott,,,,,,,,,
77,1116 STUDIOS LLC," 1753 S 8th St  Colorado Springs, CO 80905  419-704-8253  ",MisterG@1116Studios.com ,"1116Studios.com, Facebook ","John Mister G, Ofice Manager ",,,,,$60/track for mastering; $200/ track for mixing; $45/hr. for tracking ,,,,
78,AIRSHOW MASTERING," Boulder, CO 80301  P.O. Box 17632  303-247-9035  ",Studio@airshowmastering.com ,airshowmastering.com ,,,,,,please call for info,,,,
79,AUDIO PARK RECORDING," & MASTERING  11919 I70 Frontage Rd. N.  Wheat Ridge, CO  303-456-6122  ",audioparkrecording@gmail.com ,facebook.com/AudioParkRecordingStudio ,,,,,,please call for info,,,,
80,COLORADO SOUND STUDIOS," 3100 W. 71st Ave.  Westminster, CO 80030  303-430-8811  ",,coloradosound.com ,,,,,,please call or see website,,,,
81,QUAM AUDIO PRODUCTIONS," Boulder, CO  720-644-9899  ",info@quamaudio.com ,quamaudio.com ,Michael Quam ,,,,,please call for info,,,,
82,SAGE SOUND STUDIOS," 549 Howe Avenue, Suite 404  Shelton, CT. 06484  203-922-0491  ",info@sagesoundstudios.com,sagesoundstudios.com ,,,,,,,,,,
83,JAMLAND STUDIO," 2326 Empire Dr.  Wilmington, DE 19810  302-475-0204  ",music@jamlandstudio.com ,jamlandstudio.com,,,,,,,,,,
84,OCCUPY STUDIO," 170 East Main Street  Newark, DE 19711  302-223-4441  ",record@occupystudio.com ,occupystudio.com,,,,,,,,,,
85,LISTEN VISION LLC," 2622 Georgia Ave. NW  Washington, D.C. 20001  202-332-8494  ",info@listenvision.com ,listenvision.com ,,,,,,please call for info,,,,
86,BLUE ROOM PRODUCTIONS," 7718 Bradley Blvd.  Bethesda, MD 20817  240-505-5544  ",info@blueroommusicstudio.com ,blueroommusicstudio.com,,,,,,,,,,
87,BLACK DOG MASTERING STUDIO," 3837 Northdale Blvd, Suite 271  Tampa, FL. 33624  813-434-1483  Email : BlackDogMastering@gmail.com  ",,blackdogmastering.com ,,,,,,please call for info,,,,
88,"EMERALD CITY RECORDING, INC."," 105 Dunbar Ave., Ste. A  Oldsmar, FL 34677  813-814-1062  ",info@emeraldcityrecording.com ,emeraldcityrecording.com ,,,,,,please call for rates,,,,
89,FULLERSOUND INC.," 3551 S.W. 116th Ave.  Fort Lauderdale, FL 33330  305-556-5537 Fax 954-727-5303  ",info@fullersound.com ,fullersound.com ,,,,,,please call for rates,,,,
90,NOISEMATCH STUDIOS," 4306 NW 2nd Ave  Miami, FL 33127  786-356-6096  ",info@noisematch.com ,noisematch.com ,,,,,,Call for info,,,,
91,"UPCOMING STUDIO, INC."," 601 W. Oakland Park Blvd., Ste. 13  Wilton Manors, FL 33311-0913  954-530-4710  Email : mastering@upcomingstudio.com  ",,upcomingstudio.com,,,,,,,,,,
92,B CHILL MUSIC," 4002 Hwy 78 Ste 530. #167  Snellville, GA  678-660-8744  ",bchillmusic@gmail.com ,bchillmusic.com,,,,,,,,,,
93,COS MASTERING," 800 E. Ave., NE  Atlanta, GA 30312  404-524-7757  ",larry@cosmastering.com ,cosmastering.com,Larry Antony ,,,,,,,,,
94,SING MASTERING," 781 Wheeler St. N.W.  Studio 8  Atlanta, GA 30318  404-827-8503  ",info@singmastering.com ,singmastering.com ,,,,,,please call for info,,,,
95,ISLAND SOUND STUDIOS," 377 Keahole St.,  Ste. D-03  Honolulu, HI 96825 808-200-1822  ",aloha@islandsoundstudios.com ,islandsoundstudios.com ,Kyle Spicer ,,,,"2 SSL9000J, Digital/Analog",,,,,
96,LAVA TRACKS RECORDING," P.O. Box 6564  Kamuela, Big Island, HI 96743  808-885-6558  ",cb@lavatracks.com ,facebook.com/LavaTracks ,"Charles Michael Brotman, Grammy Award winner  ",,,,,call or check our website for contact info. ,,,,
97,SEASIDE RECORDING," Wailuku, Maui, HI  808-280-0722  ",,"seasiderecording.com, joelkatzmaui.com  ",Joel Katz ,,,,,reasonable rates by hour/week/job,,,,
98,COTTONWOOD STUDIOS," 4436 E. 49th S  Idaho Falls, ID 83406  208-757-7328  ",,cottonwoodstudios.net,,,,,,,,,,
99,DASH MASTERING STUDIO," Boise, ID  208-639-1282  ",dashmastering@gmial.com ,dashmastering.com,,,,,,,,,,
100,"TONIC ROOM, THE"," 1509 S. Robert St., Ste. 103  Boise, ID 83705  208-338-8433  ","info@tonicroomstudios.com, mastering@tonicroomstudios.com  ",tonicroomstudios.com ,,,,,,see web for info,,,,
101,"BOILER ROOM, THE"," 1440 N. Western Ave.  Chicago, IL 60622  773-525-8551  ",collin@brmastering.com ,brmastering.com ,,,,,,please call for info,,,,
102,CHICAGO MASTERING SERVICE," Chicago, IL  773-265-1733  ",info@chicagomasteringservice.com ,chicagomasteringservice.com ,,,,,,please call for info,,,,
103,DON GRIFFIN MASTERING AND MIXING," 5818 S. Archer Road  Summit, IL  60501  708-267-2198, 312-286-5018  ",don@studiovmr.com ,studiovmr.com,,,,,,,,,,
104,GRAVITY STUDIOS," 2250 W. North Ave.  Chicago, IL 60647  773-862-1880  ",info@gravitystudios.com ,gravitystudios.com ,,,,,,Call for more info,,,,
105,MASSIVE MASTERING," P.O. Box 68143  Schaumburg, IL 60168  630-237-4393  ",master@massivemastering.com ,massivemastering.com ,John Scrip ,,,,,hourly/project rates on web,,,,
106,PLAYGROUND RECORDING AND," MASTERING STUDIO, THE  Chicago, IL  312-498-8265  ",admin@playgroundstudio.com ,playgroundstudio.com ,,,,,,"$500/day recording, $65/hr.",,,,
107,AZMYTH RECORDING," 5130 Brouse Ave.  Indianapolis, IN. 46205  317-281-3670  ",info@azmythrecording.com ,azmythrecording.com,,,,,,,,,,
108,THE ROUND TABLE," 6345 Carrollton Ave  Indianapolis, IN 46220  317-981-5351  ",booking@TheRTRC.com ,thertrc.com,,,,,,,,,,
109,MAHERN AUDIO," 2051 W Vernal Pike  Bloomington, IN. 47404  812-320-2437  ",info@mahernaudio.com ,mahernaudio.com,,,,,,,,,,
110,"CATAMOUNT RECORDING, INC."," 5737 Westminster Dr.  Cedar Falls, IA 50613  319-2268-1011  ",catamount@cfu.net ,catamountrecording.com ,Kitty Tatman ,,,,,please see web for info,,,,
111,CHAPMAN RECORDING & MASTERING," 8805 Monrovia St.  Lenexa, KS 66215  913-894-6854  ",chuck@chapmanrecording.com ,chapmanrecording.com,,,,,,,,,,
112,"MUSIC SHED, THE"," 929 Euterpe St.  New Orleans, LA 70130  504-452-0588  ",info@musicshedstudios.com ,musicshedstudios.com ,,,,,,please call for info,,,,
113,BELLWETHER MASTERING," Portland, ME  619-228-6941  ",Joe@bellwethermastering.com ,bellwethermastering.com ,Joe Goodwin ,,,,,"varies, see website",,,,
114,GATEWAY MASTERING STUDIOS," 428 Cumberland Ave.  Portland, ME 04101  207-828-9400  ",staf@gatewaymastering.com ,gatewaymastering.com ,,,,,,please call for info,,,,
115,PATRICK KEANE AUDIO MASTERING," 103 Hanover St.  Portland, ME  207-807-5379  ",,patkeanemastering.com,,,,,,,,,,
116,ABOVE GROUND STUDIOS," 3200 Annetta Ave.  Baltimore, MD 21213  443-255-5016  ",abovegroundstudios@gmail.com ,abovegroundstudios.com ,,,"Tate Kobang, Lil Mo, The Beatnuts, DITC, Moneybagg Yo  ",,,please call/email for info ,"Mastering for iTunes and vinyl, radio ready mastering ",,,
117,HIT AND RUN RECORDING," 18704 Muncaster Rd.  Rockville, MD 20855  301-948-6715  ",info@hitandrunrecording.com ,hitandrunrecording.com ,Steve Carr ,,,,,please call for info,,,,
118,LION AND FOX RECORDING STUDIOS," 9517 Baltimore Ave.  College Park, MD 20740  301-982-4431  ",mail@lionfox.com ,lionfox.com/mastering.htm ,,,,,,please call for info,,,,
119,OMEGA RECORDING STUDIOS," 12712 Rock Creek Mill Rd., Ste. 14Z  Rockville, MD 20852  301-230-9100  ",,omegastudios.com ,,,,,,125/hr. (tax/materials separate),,,,
120,TONAL PARK," 7014-C Westmoreland Ave.  Takoma Park, MD. 20912  303-247-9035  ",contact@tonalpark.com ,tonalpark.com ,,,,,,see web for info,,,,
121,M WORKS MASTERING," 60 Hampshire St.  Cambridge, MA 02139  617-577-0089  ",studio@m-works.com ,m-works.com ,,,,,,reasonable rates,,,,
122,PEERLESS MASTERING," 161 N. St.  Newtonville, MA  02460  617-527-2200  ",info@peerlessmastering.com ,peerlessmastering.com ,Jef ,,,,,please call for info,,,,
123,PILOT RECORDING STUDIOS," 1073 Main St.  Housatonic, MA  413-274-1073  ",info@pilotrecording.com ,pilotrecording.com ,Will Schillinger ,,,,,please email for info,,,,
124,"SOUNDMIRROR, INC."," 76 Green St.  Boston, MA 02130-2271  617-522-1412 Fax 617-524-8377  ",,soundmirror.com ,,,,,,please call for info,,,,
125,BROADSIDE PRODUCTIONS," 901 S. Westnedge  Kalamazoo, MI 49008  269-226-0948  ",studio@broadsideproductions.com ,broadsideproductions.com ,,,,,,by appointment only. Call for rates,,,,
126,STUDIO A RECORDING," 5619 N. Beech Daly  Dearborn Heights, MI 49127  313-561-7489  ",info@studioarecording.com ,"studioarecording.com **No degree, Avid Pro Tools certificate ",,,,,,,,,,
127,THIRD MAN MASTERING," 441 W. Canfield  Detroit, MI 482301  313-209-5212  ",mastering@thirdmanrecords.com ,thirdmanmastering.com,"Bill Skibbe, Warren Defever ",,,,,,,,,
128,FLOWERS STUDIO," 2751 Hennepin Ave.   #161  Minneapolis, MN 55408  612-567-1219  ",info@flowersstudio.com ,flowersstudio.com,,,,,,,,,,
129,RARE FORM MASTERING," 712 Ontario Ave. W. #200  Minneapolis, MN 55403  612-327-8750  ",info@rareformmastering.com ,rareformmastering.com ,Greg Reierson ,,,,,please contact for info,,,,
130,SKYLAND STUDIOS," 7452 236th St. E  Lakeville, MN 55044  ",,skylandstudio.com,,,,,,,,,,
131,MALACO MUSIC GROUP," 3023 W. Northside Dr.  Jackson, MS 39213  601-982-4522, 800-272-7936  ",kbruce@malaco.com ,malaco.com ,,,,,,please call for info,,,,
132,TAPROOT AUDIO DESIGN," 108 Co Rd 411  Oxford, MS 38655  662-801-3273  ",info@taprootaudiodesign.com ,taprootaudiodesign.com ,,,,,,please call for info,,,,
133,ENDEAVOR STUDIO," 211 South College St  Arcadia, MO.  573-944-4449  ",greggill45@gmail.com Web: e: ndeavorav.com ,,,,,,,,,,,
134,GFM RECORDING STUDIOS," 1118 W Main Street  Blue Springs, MO. 64015  816-598-8810  ",gfmmodernrecording@gmail.com ,gfmmodernrecording.com,,,,,,,,,,
135,STUDIO 2100," 2100 N. National Ave  Springfield, MO  65803  417-864-0692  ",jef@studio2100.com ,studio2100.com ,Jef Smith ,,,,,please call for info,,,,
136,FOCUS MASTERING," 6866 Willow St.  Omaha, NE. 68152  402-915-0557  ",Doug@focusmastering.com ,focusmastering.com,,,,,,,,,,
137,STUDIO 24," 8601 N. 30th St.  Omaha, NE 68112  402-342-9090  ",chuckbeckler@studio24omaha.com ,studio24omaha.com ,Chuck Beckler ,,,,,please call for info,,,,
138,THE HIDEOUT RECORDING STUDIO," 14 Sunset Way  Henderson, NV 89014  702-445-7705  ",,hideoutlv.com ,,,,,,please call for info,,,,
139,TOM PARHAM MASTERING," 8260 Haven St  Las Vegas, NV 89123  702-481-1663  ",tomparham@mac.com ,hittrackstudios.com,,,,,,,,,,
140,CARDINAL MASTERING," 71 Lafayette Rd #2b  Hampton Falls, New Hampshire  603-944-6710  ",contact@cardinalmastering.com ,cardinalmastering.com,,,,,,,,,,
