,Name,Address/Phone,Email,Contact,How to Submit,Web,Music Supervisors,Credits,Comments,Cell,Styles,Clients,Basic Rate,Additional locations
14,DESERT C.A.M. STUDIOS," 78677 Rainswept Way  Palm Desert, CA 92211-3035 - 760-972-  4559  WB/Burbank office 818-795-4235  ",Daniel@DesertCAM.com or Chip@ DesertCAM.com  ,Chip Miller (Director/Producer/ Writer/Music Producer)  or  Daniel  Pomeroy (VP Music Supervisor/Film & TV  Licensing)  ,"For unsolicited materials, CD and/or DVD physical formats only.  For industry submission products, e-cards,  music transfer links or CD and/or DVD  formats ",DesertCAMStudios.com ,,,,,,,,
15,DONDI BASTONE, ,,,unsolicited material accepted ,facebook.com/dondi.bastone ,,"Election, The Crew, The Descen- dants, more  ",,,,,,
16,EMOTO MUSIC," 814 S. Spring St., 7th Fl.  Los Angeles, CA 90014  310-399-6900  ",paul@emotomusic.com ,,no unsolicited material,emotomusic.com ,,,work with various filmmakers ,,,,,
17,GOODNIGHT KISS MUSIC, 808-331-0707  ,Janetfisher@gmail.com ,Janet Fisher ,please see web,goodnightkiss.com ,,"HBO, Showtime, NBC ",,,,,,
18,IDM MUSIC," 111 East 14th Street, #140  New York, NY 10003  212-695-3911  ",miriam.westercappel@idmmusic. com ,,send us an email,idmmusic.com ,,"ABC, BBDO, CBS, Disney, Fox, HBO, MTV, Showtime, Grey Worldwide, NBC  Check site for full list.  ","Music licensing and music clearance, music representation; master  and publishing, music supervision, catalogue  and copyright admin.  ",,,,,
19,IMC ENTERTAINMENT GROUP," 19360 Rinaldi St., Ste. 217  Porter Ranch, CA 91326  818-700-9655  ",rivers@SylvesterRivers.com ,Sylvester Rivers ,,SylvesterRivers.com ,Sylvester Rivers,,,,,,,
20,INAUDIBLE," Los Angeles, CA  818-385-3400 Fax 818-385-3456  ",info@inaudibleprod.com ,,No unsolicited material,inaudibleprod.com ,"Peter Afterman, Alison Litton, Jane Berry  ",,,,,,,
21,LICENSE YOUR MUSIC, ,,A&R ,email streaming links only,licenseyourmusic.com ,,,,,,,,
22,MARTUNE MUSIC," P.O. Box 416  Pasadena, CA 91102  626-441-0400  ",martune@sbcglobal.net ,,,martunemusic.com,,,,,,,,
23,MICHAEL WELSH PRODUCTIONS," 2215 Lambert Dr.  Pasadena, CA 91107  626-796-0961  ",info@michaelwelshprods.com ,Michael Welsh ,No unsolicited material,michaelwelshprods.com ,,"Macys, Gap, American Eagle Outfitters, DKNY, FedEx, Old Navy, Mitsubishi,  Ford, Banana Republic, Yahoo, Nokia,  Chivas Regal, Payless Shoes  ",Music searches and clearances. ,,,,,
24,MIKE FLICKER MUSIC SERVICES," Burbank, CA  ",,Mike Flicker ,no unsolicited material,mikeflicker.com ,"Mike Flicker, CEO ","Viacom, 20th Century Fox, Showtime, Granada Entertainment, WB, ABC  ",,,,,,
25,MORRIS & YOUNG, 310-699-7026  ,music@morris-young.com ,Wenty Morris ,,morris-young.com ,,"The Tonight Show with Jay Leno, Project Runway, CBS Sports Spectacular ",,,,,,
26,MUSIC ORANGE," 1 Icehouse Alley  San Francisco, CA 94111  415-398-6264  ",info@musicorange.com ,,,musicorange.com,,,,,,,,
27,MUSIC WITHOUT BORDERS (MWB)," 159 Fishing Trail  Stamford, CT 06903  203-428-6720  ",info@musicconsultant.net ,"Steve Lurie, Founder and President",,musicwithoutborders.com ,,,,,,,,
28,NAXOS OF AMERICA," 113 Seaboard Lane, Suite B-100  Franklin, TN 37067  615-771-9393  ",customer.service@naxos.com ,,no unsolicited material,naxos.com ,,,,,,,,
29,"NEOPHONIC, INC."," Los Angeles, CA  310-550-0124  ",,"Evyen Klean, music supervisor; PJ Bloom, music supervisor  ",We do not accept unsolicited music submissions. ,neophonic.com ,,,,,,,,
30,PEACE BISQUIT," Brooklyn, NY  718-789-1689  ",sdudley@push.audio ,,"no unsolicited material PUSH.audio  1327 Grandin Rd SW  Roanoke, VA 24015  ","push.audio Music Supervisors: Scott Dudley, Corey  English, Kirk Dudley  Directory of Film/TV  Music Supervisors & Post-Production  ",,"BRITAwards, FOXSports, ESPN, NBA/TNT, Redbull, MTV, VH1, WSOF/NBC,  FOX, SBNation ",,,,,,
31,REEL ENTERTAINMENT," 11684 Ventura Blvd., Ste. 134  Studio City, CA 91604  310-428-5924  ",info@reelent.com ,Mark Wolfson ,Email submission request,reelent.com ,,"The Playtone Company, Mi Vida Loca, Philadelphia, Stop Making Sense,  Silence of the Lambs, Colors  ",,,,,,
32,"REEL SOUND, INC.", 818-618-REEL (7335)  ,reelsoundinc@aol.com ,Michael Becker ,Email before submitting,reelsoundinc.com ,,,,,,,,
33,"RIGHTS WORKSHOP, THE"," 1800 Bryant Street  San Francisco, CA 94110  415-561-3333  ",submissions@rightsworkshop.com ,"Maryam Soleiman, Brooke Wentz ",Direct any content to the email address ,rightsworkshop.com ,,"La Mission, Everyday Sunshine: The Story of Fishbone, The Devil & Daniel  Johnston, American Hardcore  ",,,,,,
34,RIPTIDE MUSIC GROUP," 9469 Jefferson Blvd., Ste. 114  Culver City, CA 90232  310-437-4380  ",contact@riptidemusic.com ,,no music submission,riptidemusic.com ,,,,,,,,
35,SL FELDMAN & ASSOCIATES," 33 Hazelton Ave, 2  Toronto, ON, M5R 2E3 Canada  416-598-0067  ",info@feldman-agency.com ,,no unsolicited material accepted ,feldman-agency.com ,,"Defining Gravity, Imaginarium of Doctor Parnassus, Frankie & Alice.  From country to folk, hip hop to rock,  pop to opera and everything in between,  TFA represents acts that will meet your  entertainment needs.  ",,,all ,,,
36,SMC ARTISTS," 1525 Aviation Blvd., Ste. 1000  Redondo Beach, CA 90278  818-505-9600  ",,Otto Vavrin II ,call before submitting material ,smcartists.com ,,,,,,,,
37,"SONG & FILM, LLC"," 4079 Governor Dr. Ste. 185  San Diego, CA 92122  802-279-3233  ",glorytvfilm@gmail.com ,Glory Reinstein ,"Submission are only accepted in April, August and December.  Send your three strongest stongs ",song&film.com ,,,"One-Stop song licensing for independent artist; S&F has placed songs  in TV shows including NetFlix, film, and  sport networks and events.  ",,,,,
38,SONGFINDER," Atlanta, GA  404-437-7978  ",info@songfinderlicensing.com ,"Melissa Love, Sr. Director",,songfinderlicensing.com ,,,,,,,,
39,SOUNDTRACK MUSIC ASSOCIATES," 1601 North Sepulveda Blvd. #579  Manhattan Beach, CA 90266  310-260-1023  ",info@34.332.30.245 ,"John Tempereau, Roxanne Lippel, Koyo Sonae  ",no unsolicited material,soundtrk.com ,"George Acogny, Anastasia Brown, Kathy Dayak, Jason  Eldredge, Matt Kierscht, Frankie Pine,  Michelle Silverman, Koyo Sonae  ",,,,,,,
40,STEELMAN STUDIOS, 818-465-3357  ,steelmanstudios@live.com ,Devon Steelman ,no unsolicited material ,steelmanstudios.net ,,"TV Networks, Film Studios, Ad Agencies  ",,,,,call for info,
41,TLS MUSIC SERVICES, 818-848-2330  ,tracy@tlsms.com ,,No unsolicited material,tlsms.com ,Tracy Lynch-Sanchez ,"Napoleon Dynamite, 20th Century Fox, Universal Studios Home  Entertainment, MGM  ",,,,,,
42,TRUE TALENT MANAGEMENT," 9663 Santa Monica Blvd., #320  Dept. WEB  Beverly Hills, CA 90210  310-560-1290  ",ineedpr@truetalentmgmt.com ,,accepts unsolicited material ,truetalentmgmt.com ,,,,,,,,
43,UMG NASHVILLE," 401 Commerce St.  #1100  Nashville, TN 37219  615-244-8944  ",,,no unsolicited material,umgnashville.com ,,"Lost Highway, Mercury, MCA, Dreamworks  ",,,"Country, rock, singer-songwriter ","Shania Twain, Toby Keith, Willie Nelson, Ryan Adams, George Strait, Reba  McEntire, more  ",,
44,UNIVERSAL PRODUCTION MUSIC," 2100 Colorado Ave  Santa Monica, CA 90404  310-865-4455  Email: production.upm.us@umusic.com  Web: universalproductionmusic.com/en-us  How to Submit: no unsolicited material ",,,,,,,,,,,,
45,VERSUSMEDIA, ,,,online registration nec- essary to receive listings ,"versusmedia.com, facebook.com/ versusmediadotcom/  ",,Over 900 independent films worldwide  ,,,All genres ,,,
46,VISUAL MUSIC SERVICE," 9507 N. Santa Monica Blvd., # 213  Beverly Hills, CA 90210  818-343-7073, 818-693-1790  ",albinafle@gmail.com ,Rick Fleishman ,no unsolicited material,visualmusicservice.com ,,,,,,,,
47,WARNER/CHAPPELL," PRODUCTION MUSIC  777 Santa Fe Ave.  Los Angeles, CA 90021  888-615-8729  ",info@warnerchappellpm.com ,,We do not accept composer demos and library discs for  consideration. We only accept emails  with a link to your music. NO music files  attached to the email  ,warnerchappellpm.com ,,,,,,,," 1033 16  Nashville, TN 37212  1633 Broadway, 9th Fl.  New York, NY 10019  212-375-2000 "
48,WISE MUSIC," 1247 6th St.  Santa Monica, CA 90401  310-393-9900  ","music@musicsales.co.uk Denmark, Spain, France, Germany, Australia,  Japan, Southeast Asia, China ",,no unsolicited material ,musicsales.com ,,,,,,,," 2 Old Rte 17  Chester, NY 10918  845-469-4699  180 Madison Ave 24  New York, NY 10016  212-254-2100  Music Sales Group Hire Library  Unit F3  Dettingen Way  Bury St Edmunds,Suffolk, Ip333TU UK  "
49,ABSOLUTE RENTALS," 2633 N. San Fernando  Burbank, CA 91504  818-842-2828, 310-560-2373,  ",info@absolute.live ,,,absoluteliveproductions.com ,,,,,,,call for info,
50,BELL SOUND STUDIOS," 916 N. Citrus Ave.  Hollywood, CA 90038  323-461-3036  ",bellsound@bellsound.com ,,,bellsound.com ,,,,,,,call for info,
51,BRIAN BANKS MUSIC," 310-691-2347, U.K. +44-20-7096-1652  ",brianbanks2012@gmail.com ,,,brianbanksmusic.com ,,,,,,,call for info,
52,CAPITOL STUDIOS," 1750 N. Vine St.  Los Angeles, CA 90028  323-871-5001  ",booking@capitolstudios.com ,,,capitolstudios.com ,,,,,,,call for info,
53,EPSCINEWORKS," 3330 Cahuenga Blvd. W., Ste. 200  Los Angeles, CA 90068  818-766-5000 Fax 818-623-7457  ",info@cineworks.com ,,,epscineworks.com ,,,,,,,call for info ," 12121 Wilshire Blvd.  Los Angeles, CA 90025  818-766-5000  935 Gravier St., Ste. 1054  New Orleans, LA 70112  12054 Miramar Pkwy.  Miramar, FL 33025  305-754-7501  1431 Woodmont Lane, N.W.  Atlanta, GA 30318  404-567-5160  12054 Miramar Parkway  Miramar, FL 33025  305-754-7501 "
54,CONWAY RECORDING STUDIOS," 5100 Melrose Ave.  Los Angeles, CA 90038  323-463-2175 Fax 323-463-2479  ",stacey@conwayrecording.com ,,,conwayrecording.com ,,,,,,,call for info,
55,EASTWEST RECORDING STUDIOS," 6000 W. Sunset Blvd.  Hollywood, CA 90028  323-957-6969  ",candace@eastweststudio.com ,,,eastweststudio.com ,,,,,,,call for info,
56,ES AUDIO SERVICES," 1746 Victory Blvd.  Glendale/Burbank, CA 91201  818-505-1007  ",studio@esaudio.com ,Donny Baker ,,esaudio.com ,,,,,,,Call for more info,
57,ENDLESS NOISE," 1825 Stanford St.  Santa Monica, CA 90404  310-694-8251  ",kevin@endlessnoise.com ,,,endlessnoise.com ,,,,,,,call for info,
58,GRIND MUSIC & SOUND, 818-565-5565  ,info@grindinc.com ,,,grindinc.com ,,,,,,,call for info,
59,"RIPTIDE MUSIC, INC."," 9469 Jefferson Blvd., Ste. 114  Los Angeles, CA 90232  310-437-4380  ",contact@riptidemusic.com ,,,riptidemusic.com ,,,,,,,call for info,
60,SENSORY OVERLOAD MUSIC, 818-437-4117  ,info@sensory-overload.com ,,,sensory-overload.com ,,,,,,,call for info,
61,SEVEN SEAS MUSIC," 1849 Geary Blvd. Unit 15789  San Francisco, CA 94115  415-525-3644  ",Andre@sevenseasmusic.com ,,,sevenseasmusic.com,,,,,,,,
62,SOTTOVOCE STUDIOS," North Hollywood, CA  818-694-3052  ",info@sottovocestudio.com ,,,sottovocestudio.com ,,,,,,,call for info,
63,SOUNDBATH MUSIC & SOUND, 310-990-0202  ,,,,soundbath.com ,,,,,,,call for info,
64,"SPIRIT MUSIC COLLECTIVE, THE"," 12711 Ventura Blvd., Ste. 110  Studio City, CA 91604  818-508-3303  ",scott@themusiccollective.com ,,,themusiccollective.com ,,,,,,,call for info ," 8455 Beverly Blvd.  Suite 309  Los Angeles, CA 90048  310-652-1413  235 West 23  5  New York, NY 10011  212-533-7672  1906 Acklen Ave.  Nashville, TN 37212  615-321-2700  46A Great Marlborough St.  3  London, W1F7JW  +44 0207 043 2316  Mozartlaan 25 (h)  1217 CM  Hilversum  +035 544 7097 "
65,STEELMAN STUDIOS, 818-465-3357  ,devonsteelman@hotmail.com ,Devon Steelman ,no unsolicited material ,steelmanstudios.net ,,"TV Networks, Film Studios, Ad Agencies  ",,,,,call for info,
66,STOKES AUDIO RECORDING & POST," 19626 Ventura Blvd., Ste. 201  Tarzana, CA 91356  818-855-9759  ",booking@stokesaudio.com ,,,stokesaudio.com ,,,,,,,call for info,
67,STUDIO CITY SOUND," 4412 Whitsett Ave.  Studio City, CA 91604  818-505-9368  ",booking@studiocitysound.com ,,,studiocitysound.com ,,,,,,,call for info,
68,TOMCAT ON THE PROWL PRODUCTIONS," Studio City, CA  818-533-8669  ",studio@tomcatontheprowl.com ,Thomas Hornig ,,tomcatontheprowl.com,,,,,,,,
69,"VILLAGE, THE"," 1616 Butler Ave.  Los Angeles, CA 90025  310-478-8227  ",,,,villagestudios.com ,,,,,,,call for info,
70,WARNER BROS. STUDIO FACILITIES," POST PRODUCTION SERVICES  4000 Warner Blvd., Bldg. 4  Burbank, CA 91522  818-954-2577  ",,,,wbppcs.com ,,,,,,,call for info,
71,WARRIOR RECORDS," 7095 Hollywood Blvd., Ste. 826  Hollywood, CA 90028  ",info@warriorrecords.com ,Jim Ervin ,,warriorrecords.com ,,,,,,,email for information,
72,WESTLAKE RECORDING STUDIOS," 7265 Santa Monica Blvd.  West Hollywood, CA 90046  (323) 851-9800  ",Bookings@WestlakeStudios.com ,Steve Burdick ,,WestlakeStudios.com ,,,,,,,Call or Email for Information ," 8447 Beverly Blvd.  Los Angeles, CA 90048 "
73,CINEWORKS DIGITAL STUDIOS," 12054 Miramar Pkwy.  Miami, FL 33025  305-754-7501  ",info@picturesolutions.com ,,,epscineworks.com ,,,,,,,call for info ," 3330 Cahuenga Blvd. W., Ste. 200  Los Angeles, CA 90068  818-766-5000  12121 Wilshire Blvd.  Los Angeles, CA 90025  818-766-5000  935 Gravier St., Ste. 1054  New Orleans, LA 70112  1431 Woodmont Lane, N.W.  Atlanta, GA 30318  404-567-5160 "
74,COMTEL TELEVISION PRODUCTION," FACILITIES  3401 S. Congress Ave.  Boynton Beach, FL 3426  516-816-5152  ",mlang@southfloridapbs.org ,,,comtelinc.com ,,,,,,,call for info,
75,ATOMIC IMAGING INC.," 1501 N. Magnolia Ave.  Chicago, IL 60622  312-649-1800 Fax 312-642-7441  ",luis@atomicimaging.com ,Luis Ruiz,,atomicimaging.com ,,,,,,,call for info , New York  312-649-1800 Ext. 5770  
76,SONIXPHERE," P.O. Box 10176  Chicago, IL 60610  312-329-1310  ",ken.kolasny@sonixphere.com ,,,sonixphere.com,,,,,,,,
77,"WHITEHOUSE POST PRODUCTION, THE"," 54 W. Hubbard St., Ste. 501  Chicago, IL 60610  312-822-0888  ",allen@whitehousepost.com ,Chris Allen,,whitehousepost.com ,,,,,,,call for info ," 530 Wilshire Blvd., Ste. 400  Santa Monica, CA 90401  310-319-9908  "
78,D2 PRODUCTIONS," 238 Stevens Street  Marlborough, MA 01752  508-485-0300  ",info@d2productions.com ,,,d2productions.com ,,,,,,,call for info,
79,SOUNDMIRROR," 76 Green St.  Boston, MA 02130  ",info@soundmirror.com ,,,soundmirror.com 617-522-1412 Fax 617-524-8377 ,,,,,,,,
80,DIGITAL INSIGHT RECORDING STUDIOS," 2810 S. Maryland Pkwy., Ste. C  Las Vegas, NV 89109  702-792-3302  ",digitalinsightrecording@gmail.com ,,,digitalinsightrecording.com ,,,,,,,call for info,
81,LEVY PRODUCTION GROUP," 5905 S. Decatur Blvd., #1  Las Vegas, NV 89118  702-497-8511  ",mike@levyproductiongroup.com ,,,levyproductiongroup.com ,,,,,,,call for info,
82,"WORLDS AWAY PRODUCTIONS, LTD."," West Orange, NJ  646-543-8005  ",info@worldsaway.tv ,,,worldsaway.tv ,,,,,,,call for info,
83,CINERIC," 630 9th Ave., Ste. 508  New York, NY 10036  212-586-4822  ",enyari@cineric.com ,Eric Nyari ,,cineric.com ,,,,,,,call for info,
84,DIGITAL ARTS," 130 W. 29th St., 8th Fl.  New York, NY 10001  212-460-9600  ",,Axel Ericson ,,digital-arts.net ,,,,,,,call for info,
85,DUART FILM & VIDEO," 245 W. 55th St.  New York, NY 10019  212-757-4580  ",info@duart.com ,,,duart.com ,,,,,,,call for info,
86,MAGNETIC POST PRODUCTION," 4 Marshall Road, Suite 221  Wappingers Falls, NY 12590  212-598-3000  ",harry@magneticimage.com ,,,magneticimage.com ,,,,,,,call for info,
87,MERGE CREATIVE MEDIA," 2 W. 46th St., Penthouse  New York, NY 10036  646-818-0335  ",info@mergecreativemedia.com ,,,mergecreativemedia.com ,,,,,,,call for info,
88,MOVING PICTURES," 145 6th Ave., 7th Fl.  New York, NY 10013  212-924-7364  ",info@mpny.tv ,,,mpny.tv ,,,,,,,call for info,
89,PURPLE COW POST, 516-443-1058  ,,Brain Kushner ,,,,,,,,,call for info,
90,TOWN & COUNTRY CREATIVE, 917-287-6575  ,rosanne@townandcountrycreative.com ,Rosanna Herrick ,,townandcountrycreative.com ,,,,,,,call for info,
91,YESSIAN," 137 5th Ave., 3rd Fl.  New York, NY 10010  212-533-3443  ","info-la@yessian.com Schulterblatt 58  20357 Hamburg, Deutschland  +49-40-40185159  Email: info-germany@yessian.com ",,,yessian.com/services/musicsupervision ,,,,,,,call for info ," 33117 Hamilton Ct.  Farmington Hills, MI 48334  248-553-4044  "
92,FERRALLI STUDIOS," 2450 Dutch Rd  Fairview, PA 16415  814-528-5439  ",info@ferralli-studios.com ,,,ferralli-studios.com ,,,,,,,call for info,
93,CONTINENTAL FILM PRODUCTIONS," 1466 Riverside Dr., Ste. E  Chattanooga, TN 37406  423-622-1193 Fax 423-629-0853  ",,,,continentalfilm.com ,,,,,,,call for info,
94,STUCK ON ON," 516 Navasota St.  Austin, TX 78702  512-535-4760  ",info@stuckonon.com ,,,stuckonon.com ,,,,,,,"call for info For hundreds more contacts from  current directories (A&R, guitar/bass  instructors, everything indie, promotion,  publicity, vocal coaches, college radio,  recording studios, rehearsal studios,  mastering studios, publishers, managers  ",
