,Name,Address/Phone,Email,Fax,Web,How to Submit,Contact,Styles,Published,Additional location,Notes
11,BMG CHRYSALIS," BMG Chrysalis US  One Park Avenue  New York, NY 10016  212-561-3000  ",info.us@bmg.com  ,,bmg.com/us ,no unsolicited material ,,all styles ,"T-Bone Burnett, Snow Patrol, Ryan Adams, Wilco, Nick Cave & the  Bad Seeds, Los Lobos, Iggy Pop, Pete  Townshend, Spoon, the Guess Who, Talib  Kweli, Calexico, Thievery Corporation,  Corinne Bailey Rae, Jamie Foxx, M. Ward,  Tegan and Sara, Sean Garrett, the Faint,  Kings of Leon, Craig David, of Montreal,  Lady Sovereign, John Prine, Ani DiFranco,  Fischerspooner, the Estates of Willie  Dixon, Muddy Waters, Stevie Ray Vaughan,  Johnny Cash, Fred Ahlert, Del Shannon,  Townes Van Zandt, Gram Parsons, Woody  Guthrie, Badfinger  ", Los Angeles  5670 Wilshire Blvd   Suite 1400  323-969-0988  ,
12,"BUZZART ENTERPRISES, INC."," Santa Monica, CA  424-216-6105  ",info@buzzartinc.com Web : buzzartinc.com  ,,,no unsolicited material  ,Arthur Berggren ,Rock ,,,
13,CASE ENTERTAINMENT/NEW PANTS," PUBLISHING/OLD PANTS PUBLISHING  119 N. Wahsatch Ave.  Colorado Springs, CO. 80903  719-632-0227 Fax 719-634-2274  ",rac@crlr.net ,,"oldpants.com, newpants.com ",unsolicited material accepted. Call before sending demos.   ,Robert Case ,,,,
14,"CHASER MUSIC, ASCAP/BMI AND", RIGHTTRACK MANAGEMENT  3927 Hemway Court-Penthouse  Santa Susana California 93063  805-200-9772  ,ar.cw.917@gmail.com ,,,,"Alex B. Rosenthal aka Chase Williams  Instagram, Facebook  ",,"ET, In the Heat of the Night, Police Academy, Big, Tuff Turf, Composer song-  writer Malcolm Bruce and others  Song Placements, Television, Film and  Cable licensing   ",,
15,CONCORD MUSIC PUBLISHING," 5750 Wilshire Blvd. , Suite 450  Los Angeles, CA 90036  310-385-4455  ",,,concord.com/music-publishing ,"no unsolicited material Other locations in Nashville, New York,  Miami, London, Berlin   ",,,,,
16,"CURB GROUP, THE"," 25 Music Sq. E.  Nashville, TN 37203  615-321-5080  ",licensing@curb.com ,,curb.com ,no unsolicited material  ,,,,,
17,DAVE TOUGH PRODUCTIONS," 5801 Tee Pee Trace  Nashville, TN 37013  615-554-6693  ",dave@davetough.com ,,davetough.com ,,,"pop, hip-hop, country, roots-rock ","Matt Heinecke, Siop, Toni Arthur, Cindy Alter, Come & Go. Also oper-  ate publishing demo studios in Nashville  and L.A   ",,
18,DEEP WELL RECORDS," 1750 Vine St.  Los Angeles, CA 90028  ",info@deepwellrecords.com ,,deepwellrecords.com  ,,,,,,
19,"DEFEND MUSIC, INC."," Los Angeles, CA 90012  323-305-7315  ",russell@defendmusic.com ,,defendmusic.com ,,,all styles ,"songs recorded by Sharon Jones & the Dap Kings, Kaskade, Robert  Glasper Experiment, Eli Paperboy Reed   ",,
20,DELICIOUS VINYL," 6607 W. Sunset Blvd.  Los Angeles, CA 90028  323-464-7467  ",contact@deliciousvinyl.com ,,deliciousvinyl.com ,,,"hip-hop, reggae, rock  ",,,
21,DIMENSIONS GATE (BMI)," Cleopatra Records  11041 Santa Monica Blvd., Ste. 703  Los Angeles, CA 90025  310-477-4000  ",,,"cleopatrarecords.com, facebook.com/CleopatraRecords  ",no unsolicited material  ,Brian Perera ,,Cleopatra Records artists only ,,
22,DRAKE MUSIC GROUP," P.O Box 330939  Murfreesboro, TN 37133  615-297-4345  ",,,petedrakemusic.com ,no unsolicited material  ,,,,,
23,"EARWIG MUSIC COMPANY, INC."," 2054 W. Farwell Ave., Garden Unit  Chicago, IL 60645-4963  773-262-0278  ",info@earwigmusic.com ,,earwigmusic.com ,no unsolicited material  ,Michael Frank or Rita Warder ,,,,
24,ECS PUBLISHING," 1727 Larkin Williams Rd.  St. Louis, MO 63026  800-647-2117, 636-305-0100  ",customerservice@canticledistribut ing.com  ,,ecspublishing.com ,no unsolicited material  ,,,,,
25,EMI CMG MUSIC," P.O. Box 5085  Brentwood, TN 37024  615-371-4400  ",capitolCMGlicensing@umusic ,,capitolcmgpublishing.com ,no unsolicited material  ,,"CCM worship, gospel ",,,
26,EMI MUSIC PUBLISHING, (see SonyATV)   ,,,,,,,,,
27,FIRSTCOM MUSIC," UNIVERSAL PRODUCTION  2110 Colorado Ave., Ste. 110  Santa Monica, CA 90404  310-865-4477  ",info@firstcom.com ,,universalproductionmusic.com/ en-us/contact  ,Call before submitting material   ,,,,,
28,HARRY WARREN ENTERTAINMENT," 421 E. 6th Street, Suite 501B  Los Angeles, CA 900134  213-236-9222  ",info@harrywarrenent.com ,,harrywarrenent.com ,no unsolicited material  ,,"standards, film music all styles (except country 1926-1960)  ",,,
29,FUNZALO PUBLISHING," P.O. Box 2518  Agoura Hills, CA. 91376  818-578-8599  ",funzalorecords@gmail.com ,,funzalorecords.com ,"accepts unsolicited mate- rial, prefers CDs   ",Dan Agnew ,all styles ,,,
30,GAMBLE-HUFF MUSIC," Philadelphia International Music  P.O. Box 128  Darby, PA 19023  610-583-8767    ",,,gamble-huffmusic.com ,no unsolicited material  ,Chuck Gamble ,"R&B, jazz, soul ",,,
31,"GENE AUTRY MUSIC GROUP, THE"," WARNER CHAPPELL MUSIC  (Golden West Melodies, Gene Autrys  Western Music Publishing, Ridgeway  Music, Melody Ranch Music and the Gene  Autry Music Company)  777 Santa Fe Ave.  Los Angeles, CA 90021  310-441-8600  ",,,geneautry.com ,,,,Vintage music catalog  ,,
32,WORDS WEST LLC," GENERATION MUSIC, INC.  P.O. Box 15187  Beverly Hills, CA 90209  323-966-4433  ","tony@wordswest.com, info@wordswest.com  ",,wordswest.com ,no unsolicited material  ,"Tony Gimbel, Managing Member Words West LLC/Tony Gimbel, President  Generation Music, Inc.  ",all styles ,,,
33,GOODNIGHT KISS MUSIC /," SCENE STEALER MUSIC  10153 1/2 Riverside Dr., Ste. 239  Toluca Lake, CA 91602  808-331-0707  ",janetfisher@gmail.com ,,goodnightkiss.com ,online newsletter updates request monthly; subscribe at our website   ,Janet Fisher ,"all styles, especially master-quality hip tracks for film/TV  ","80s songs currently in film, ads and shows  ",,
34,HACATE ENTERTAINMENT GROUP," 245 8th Ave., Ste. 869  New York, NY 10011  212-586-4229  ",info@hacate.com ,,halleonard.com ,no unsolicited material  ,,,," Headquarters - Oslo  Dronningens Gate 6  0152 OSLO Norway  +47-2242-0112  Hal Leonard Music  P.O. Box 13819  Milwaukee, WI 53213  414-774-3630  ",
35,HARMONIOUS MUSIC," 5062 Lankershim Bl. #174  N. Hollywood, CA 91601  818-569-3020  ",jross@harmonyartists.com ,,hearyoumusic.com ,email Christine.co- chran@hearyoumusic.com  (accepts unsolicited material)   ,Jerry Ross ,All Styles ,"Songs recorded by:  Vander- berg, Jett Blakk, Long In The Tooth,  Thought Penny, Through The Silence  ",,
36,INTERNATIONAL MUSIC COMPANY," 35 W 45th Street, 2nd Floor  New York, NY 10036  212-391-4200  ",info@internationalmusicco.com ,,internationalmusicco.com ,no unsolicited material  ,Marco Berrocal ,publishes classical sheet music ,,,
37,"J.W. PEPPER & SON, INC"," 191 Sheree Blvd.  Exton, PA 19341  610-648-0500, 800-345-6296  ",adam@kreiselmanmusicpublish ing.com  ,,"kreiselmanmusicpublishing.com Styles : ballads, jazz, blues, country,  holiday songs, standards  ",email before submitting  ,Adam Kreiselman ,"concert band, marching band, orchestra, choral, piano  ","I publish the catalog of my late grandfather, Irving Weiser, a success-  ful composer in the 40s and 50s.  ",,
38,LAKE TRANSFER MUSIC," 11300 Hartland St.  North Hollywood, CA 91605  818-508-7158  ",info@laketransfer.com ,,laketransfer.com ,unsolicited material accepted   ,Tina Antoine ,"alt. rock, hip-hop, Latin-pop ",,,
39,"LANSDOWNE, WINSTON, BLOOR &", HOFFMAN HOUSE MUSIC PUBLISHERS   ,,,,,,,,,
40,(LWBH) ASCAP/BMI," P.O. Box 1415  Burbank, CA 91507-1415  818-748-0001  ",lynne@lwbhmusicpublishers.com ,,lwbhmusicpublishers.com ,We are not accepting any new material   ,"Lynne Robin Green, President ","all styles, except for hard rock/ heavy metal. No middle of the road (MOR)  pop or old-fashioned C&W songs. For  film & TV submissions, musician/vocal  pre-cleared masters only: enclose credits  of artist as applicable.  ",,,
41,LEIBER & STOLLER PUBLISHING," P.O. Box 11267  Marina del Rey, CA 90295  310-273-6401  ",peter.stoller@leiberstoller.com ,,leiberstoller.com  ,,,,,,
42,LOVECAT MUSIC," 142 W. End Ave., #23W  New York, NY 10023  ",lovecatmusic@gmail.com ,,"lovecatmusic.com, facebook.com/LoveCatMusic  ",email to submit  ,,all styles of vocal music ,,,
43,MAKIN MUSIC," 2121 Fairfax Ave.  Nashville, TN 37212  615-292-7615  ",makinmusicllc@gmail.com ,,facebook.com/makinmusicLLC ,no unsolicited material  ,,"country, radio promotion, marketing  ",,,
44,MAYFLOWER MUSIC," P.O. Box 30122  Tucson, AZ  5751  520-326-4400  ",celestial@harmonies.com ,,harmonies.com ,no unsolicited material  ,,all styles ,,,
45,MEMORY LANE MUSIC GROUP," P.O. Box 254  Port Washington, NY 11050  212-460-8677  ",info@memorylanemusicgroup.com ,,memorylanemusicgroup.com ,no unsolicited material  ,"Mark Spier, Pres., CEO ","standards, novelties ",,,
46,MIRACLE WORX MUSIC PUBLISHING," P.O. Box 955  Summerfield, NC  336-904-8347  ",miracleworxmusic@gmail.com ,,miracleworxmusic.com ,"Send web links via email to your bio, music tracks, social media  sites.  No mail please   ","Ken Gay, Jr. ","Gospel, R&B/Soul, Pop, Blues ",,,
47,MOJO MUSIC MEDIA," 437 E. Iris Dr.  Nashville, TN 37204  615-255-9837  ",lee@mojomusicandmedia.com ,,mojomusicandmedia.com ,no unsolicited material ,Matt Lilley    ,all styles ,," Los Angeles  2355 Westwood Blvd,  #1245  Los Angeles, CA 90025  310-213-6109  ",
48,MORAINE MUSIC," 500 E. Iris Dr.  Nashville, TN 37204  615-383-0400  ",info@morainemusic.com ,,morainemusic.com ,no unsolicited material  ,,"country, rock, blues, Americana ",,,
49,"MORGAN MUSIC GROUP, INC"," 1800 Grand Ave.  Nashville, TN 37212  615-383-9029  ",songmerch@aol.com ,,,no unsolicited material  ,Dennis Morgan ,"pop, country, rock ",,,
50,"MOUNTAIN APPLE COMPANY, THE"," P.O. Box 22569  Honolulu, HI 96823  808-597-1888  ",,,mountainapplecompany.com ,no unsolicited material  ,,Various types of Hawaiian and Polynesian music.  ,,,
51,MPL MUSIC PUBLISHING," 41 W. 54th St.  New York, NY 10019  ",,,mplcommunications.com ,no unsolicited material  ,,all styles ,,,
52,MUSCLE SHOALS RECORDS / FAME," MUSIC GROUP  603 E. Avalon Ave.  P.O. Box 2527  Muscle Shoals, AL 35662  256-381-0801  ",info@famestudios.com ,,"fame2.com, fame2.com/submissions ","accepts unsolicited mate- rial, see web for details   ",,"country, R&B, soul ",,,
53,"MUSIC ROOM PUBLISHING GROUP, THE"," (ASCAP) / MRP MUSIC (BMI)  525 S. Francisca Ave.  Redondo Beach, CA 90277  310-316-4551  ","mrp@aol.com, johnny@johnnyreed.com  ",,"musicroomonline.com, musicroom. us, hollywood2you.tv  ",no unsolicited material  ,John Reed ,"rock, pop, film music ",,,
54,NEW HEIGHTS ENTERTAINMENT," New York City, Calabasas, CA  ",info@newheightsent.com ,,newheightsent.com Styles : all styles  ,no unsolicited material  ,,,,,
55,NORTH STAR MEDIA," 3765 Wade St.  Los Angeles, CA 90066  818-766-2100, 818-766-2678  ",pblair@northstarmedia.com ,,northstarmedia.com ,unsolicited material accepted  ,,,," Michigan  40900 Woodward Ave., Ste. 350  Bloomfield Hills, MI 48304  818-766-2100   ",
56,OH BOY RECORDS," P.O. Box 15022  Nashville, TN 37215  615-742-1250  ",info@ohboy.com ,,ohboy.com ,no unsolicited material  ,,,see web ,,
57,THE ORCHARD," (Sony Music Entertainment)  New York, United Kingdom  ",,,theorchard.com  ,,,,,,
58,PEERMUSIC," 901 W. Alameda Ave., Ste. 108  Burbank, CA 91506  818-480-7000  ",newyork@peermusic.com  ,,peermusic.com ,no unsolicited material ,,all styles ,see web ," Corporate Office - Berkeley  2397 Shattuck Ave., Ste. 202  Berkeley, CA 94704  510-848-7337  ",
59,"PEN MUSIC GROUP, INC."," 12456 Ventura Blvd., Ste. 3  Studio City, CA 91604-2484  818-766-9200  ",michael@penmusic.com ,,penmusic.com ,no unsolicited material  ,"Michael Eames, President ",,,,
60,PRIMARY WAVE MUSIC PUBLISHING," 116 E. 16th St., 9th Fl.  New York, NY 10003  212-661-6990 Fax 212-661-8890  ",info@primarywavemusic.com ,,primarywave.com ,,,"rock, pop ",," Los Angeles  2690 N Beachwood Drive,Floor 2  Los Angeles, CA 90068  424-239-1200   ",
61,PRISM ESCAPE MUSIC," Penny Ln. Bldg.  215 E. 24th St., Ste. 221  New York, NY 10010  212-686-0902  ",prismescape@gagorder.com ,,gagorder.com ,,George A. Gesner ,"rock, pop, R&B, world, semi-classi- cal, new age, alt. country, folk   ",,,
62,REALSONGS, 323-462-1709  ,info@raleighmusicgroup.com ,,raleighmusicgroup.com ,"no unsolicited material, publishes Diane Warren exclusively and  does not sign outside songwriters.  RALEIGH MUSIC PUBLISHING  1411 Broadway, 4th Floor  New York, NY 10018  212-804-8181  ","Peter Raleigh, Steve Storch ","pop, R&B, rock, country Heritage Catalog Admin, Pop,   ","Elvis Presley, George Gershwin, Anthony Newley, America, PHresher,  Muhammad Ali, Lords of the Underground,  ISLAND, Lost Frequencies, Taylor Dayne,  Randy Edelman   ",,"Elvis Presley, George Gershwin, Anthony Newley, America, PHresher,  Muhammad Ali, Lords of the Underground,  ISLAND, Lost Frequencies, Taylor Dayne,  Randy Edelman   "
63,ROBBINS ENTERTAINMENT," 333 Hudson St  Suite 506  New York, NY 10013  212-675-4321  ",info@robbinsent.com ,,robbinsent.com ,"accepts unsolicited material, see demos section on web for  full details   ",,dance ,,,
64,ROUND HILL MUSIC," 818 18th Ave. S, Suite 940  Nashville, TN 37203  615-695-7705  ",,,roundhillmusic.com ,no unsolicited material ,,,," New York  650 Fifth Avenue  Suite 1420  New York, NY 10019  212-380-0080   ",
65,"ROYALTY NETWORK, INC., THE"," 224 W 30th St, #1007  New York, NY 10001-1077  212-967-4300  ",creative@roynet.com ,,roynet.com ,please contact prior to submitting  ,,all styles ,"M.O.P., Kelly Price, Dead Prez, Muggs (Cypress Hill), VHS or Beta  "," Studio City  12711 Ventura Blvd., #217  Studio City, CA 91604  818-862-0775   ",
66,RYMATICA ENTERTAINMENT," P.O. Box 640337  Miami, FL 33164  786-354-1770  ",richardjohn@rymatica.com ,,rymatica.com ,,Richard John ,,,,
67,SCHOTT MUSIC CORP. & EUROPEAN," AMERICAN MUSIC DIST.  156 Fifth Ave., Suite 600  New York, NY 10010  212-461-6958  ",Ny@schott-music.com ,,eamdc.com ,no unsolicited material  ,,"classical, pop ",,,
68,SECOND FLOOR MUSIC," 130 W. 28th St., 2nd Fl.  New York, NY 10001  212-741-1175  ",,,"secondfloormusic.com, jazzleadsheets.com  ",call or email first  ,,Jazz ,,,
69,SEXTILLION MUSIC, 318 Kingsland Road  London E8 4DE  United Kingdom  +44 75 49 57 7919  Email : scott@sextillionmusic.com  Web : sextillionmusic.com  ,,,,Links and contact infor- mation to info@sextillionmusic.com   ,Alexei Cernetchi ,All Styles ,"Matthew Finch, Freudz Couch, The Boston Shakers, Long John  ",,
70,"SHAPIRO, BERNSTEIN & CO."," 75 Varick Street, 9th Floor  New York, NY 10013  212-675-0541  Email : licensing@shapirobernstein.com  ",,,shapirobernstein.com ,no unsolicited material  ,,all styles ,,,
71,SILVER BLUE MUSIC /," OCEANS BLUE MUSIC  3940 Laurel Canyon Blvd., Ste. 441  Studio City, CA 91604  818-980-9588  ",jdiamond20@aol.com ,,joeldiamond.com ,"unsolicited material accepted, does not return materials   ",Joel Diamond ,"pop, R&B ",,,
72,"SIMPLY GRAND MUSIC, INC."," 1507 16th Ave. S  Nashville, TN  37212  615-515-7772, 901-763-4787  ",linda@simplygrandmusic.com ,,simplygrandmusic.com ,limit three songs per submission. 2-4 weeks for a response.  Include Lyrics and a SASE if you want any  material returned.   ,,all genres welcome ,"Elvis Presley, Jerry Lee Lewis, Etta James, Leela James, George Jackson,  the Ovations, Barbara & the Browns  ",,
73,SONG GARDEN MUSIC GROUP," 1441 Fentross Road  Chesapeake, VA 23322  757-482-2179  ",marilyn@crossroadsfuel.com ,,songgardenmusic.com ,,,all styles of country  ,,,
74,SONGS FOR THE PLANET," P.O. Box 40251  Nashville, TN 37204  615-269-8682  ",songsfortheplanet@songsforth- eplanet.com  ,,songsfortheplanet.com ,email to request submis- sion policy   ,,"rock & roll, reggae, R&B, alt. ",,,
75,KOBALT MUSIC," 2 Gansevoort St., 6th Floor  New York, NY 10014  212-247-6204  ",info@kobaltmusic.com ,,Kobaltmusic.com  ,,,,,,
76,SONY/ATV MUSIC PUBLISHING," 10202 W. Washington Blvd  Akio Morito Bldg.- 5th Floor  Culver City, CA 90232  310-441-1300  ",smplatin@sonymusicpub.com  ,,sonyatv.com ,no unsolicited material ,,"pop, R&B, rock, dance ","Steve Dorff, Bjork, Puff John- son, Crystal Waters, Marvin Hamlisch, etc.  "," New York  25 Madison Ave., 24th Fl.  New York, NY 10010  ",
77,SPIRIT MUSIC GROUP," 235 W. 23rd St., #5  New York, NY 10011  212-533-7672 Fax 212-979-8566  ",,,spiritmusicgroup.com ,no unsolicited material ,,all styles ,," Nashville  1818 20th Ave S Ste 200  Nashville, TN 37212  615-321-2700  Los Angeles  8455 Beverly Blvd, Suite 309  Los Angeles, CA 90048  310-652-1413  12711 Ventura Blvd.  Suite 110  Studio City, CA 91604  818-508-3303  London  46A Great Marlborough St., 3rd Fl.  London, W1F 7JW  44 0207 043 2316  The Netherlands  Mozartlaan 25 (h)  1217 CM  Hilversum, The Netherlands  035 544 7097   ",
78,"SPRUILL HOUSE MUSIC, INC."," P.O. Box 92832  Pasadena, CA 91109-2751  626-797-2429  ",spruilhous@aol.com ,,spruillhousemusic.com ,no unsolicited material  ,Stephanie Spruill ,,,,
79,SUPREME ENTERPRISES INTL.," CORP. / FUERTE SUERTE MUSIC  P.O. Box 1373  Agoura Hills, CA 91376  818-707-3481  ","seicorp@earthlink.net, supreme2@earthlink.net  ",,"raggaforce.com, fuertesuertemusic.com  ","unsolicited material ac- cepted, no phone calls, include email for  response, material must be copyrighted   ",,"Latin pop, trance, dance, Spanish/ English reggae  ",,,
80,STEF ANGEL MUSIC GROUP," Beverly Hills, CA  310-388-5880  ","info@stefangelmusic.com,music- submission@stefangelmusic.com  ",,stefangelmusic.com  ,,,,,,
81,SYMBIOTIC MUSIC PUBLISHING," P.O. Box 88456  Los Angeles, CA 90009  424-245-0416  ",,,symbioticmusicpublishing.com   ,"accepts unsolicited material, see website for details   ",,All ,,,
82,TRANSITION MUSIC CORP.," P.O. Box 2586  Toluca Lake, CA 91610  323-860-7074 Fax 323-860-7986  ",submissions@transitionmusic.com ,,transitionmusic.com ,unsolicited material ac- cepted. Online only. See website.   ,New Submissions Dept. ,,1000s of titles ,,
83,UNIVERSAL MUSIC," PUBLISHING GROUP (UMPG)  2100 Colorado Ave.  Santa Monica, CA 90404  310-235-4892  ",,,umusicpub.com ,no unsolicited material  ,,,"3 Doors Down, 50 Cent, ABBA, Christina Aguilera, Beastie Boys, Mary J.  Blige, Bon Jovi, Mariah Carey, Chemi-  cal Brothers, the Clash, Coldplay, Elvis  Costello, the Cure, Daughtry, Gloria and  Emilio Estefan, Franz Ferdinand, Juan Ga-  briel, Robin and Maurice Gibb (Bee Gees),  Dave Grohl (Foo Fighters), Elton John,  Keane, The Killers, Linkin Park, Maroon  5, Brian McKnight, Ne-Yo, Prince, The Sex  Pistols, Paul Simon, Britney Spears, Bernie  Taupin, Justin Timberlake, T-Pain, U2, Keith  Urban and the catalogs of Henry Mancini  and Leonard Bernstein, more.  ",,
84,URBAND & LAZAR MUSIC PUBLISHING, 323-230-6592  ,help@urbandlazar.com ,,urbandlazar.com ,no unsolicited material  ,Jonathan Lazar ,"indie rock, alt., s/s, dub, pop ",,,
85,WARNER CHAPPELL PRODUCTION," MUSIC  1030 16th Ave. S.  Nashville, TN 37212  888-615-8729 Fax 615-242-2455  ",info@warnerchappellpm.com ,,warnerchappellpm.com ,"We do accept composer demos and library discs for consideration.  Only accepts emails with links to your  music, NO music files attached to email  ",,,,,
86,WINETHIRTY MUSIC PUBLISHING," A new division of Evolution Promotion  7 Arlene Ave.  Wilmington, MA 01887  978-658-3357  ",info@evolutionpromotion.com ,,evolutionpromotion.com ,see website for submis- sion instructions  ,"Karen Lee, President; Karen Doran, GM      ",,"boutique publisher represent- ing the works of a choice few indepen-  dent artists and composers including:  Asaf Avidan, Miles of Wire, Rogue State,  Dolom Zero, Aquarius Minded  "," Los Angeles  3039 Hillcrest Dr.  Los Angeles, CA 90016   ",
87,WISE MUSIC CREATIVE," 180 Madison Ave.  New York, NY 10016  212-254-2100  ",Leticia.Alvarez@wisemusic.com ,,us.wisemusiccreative.com ,accepts unsolicited material via mail   ,,all styles ,,,
88,WIXEN MUSIC PUBLISHING INC.," 24025 Park Sorrento, Ste. 130  Calabasas, CA 91302  818-591-7355 Fax 818-591-7178  ",licensing@wixenmusic.com ,,wixenmusic.com ,call for more info  ,Randall Wixen ,,,,
89,WORD MUSIC PUBLISHING," 25 Music Square  Nashville, TN 37203  615-687-6780  ",curb@curb.com ,,wordmusic.com ,"no unsolicited material, Christian arm of Warner Brothers     ",,CCM ,,,
90,AFM & SAG-AFTRA, INTELLECTUAL PROPERTY RIGHTS   ,,,,,,,,,
91,DISTRIBUTION FUND," 4705 Laurel Canyon Blvd.  Valley Village, CA 91607  818-255-7980 Fax 818 -255-7985  ",info@afmsagaftrafund.org ,,afmsagaftrafund.org  ,,,,,,
92,ASCAP (AMERICAN SOCIETY OF," COMPOSERS, AUTHORS AND   ",,,,,,,,,
93,PUBLISHERS)," 7920 Sunset Blvd., S., 3rd Fl.  Los Angeles, CA 90046  323-883-1000  ",info@ascap.com ,,ascap.com ,,,all styles ,," New York  250 West 57th Street  New York, NY 10107  212-621-6000  Atlanta  950 Joseph E. Lowery Blvd., N.W., Ste. 23  Atlanta, GA 30318  404-685-8699 Fax 404-685-8701  Nashville  Two Music Sq. W.  Nashville, TN 37203  615-742-5000 Fax 615-742-5020  Miami  420 Lincoln Rd., Ste. 502  Miami Beach, FL 33139  305-673-3446 Fax 305-673-2446  London  4 Millbank, 2nd Fl.  London SW1P 3JA  011-44-207-439-0909  Fax 011-44-207-434-0073   ",
94,ASSOCIATION OF INDEPENDENT," MUSIC PUBLISHERS (AIMP)  P.O. Box 6363  Pine Mountain Club, CA 93222  ",aimpnashville@gmail.com  ,,aimp.org ,,,,," New York  85 Fifth Avenue, Floor 11  New York, NY 10003  ",
95,BMI (BROADCAST MUSIC INC.)," 9420 Wilshire Blvd.  Suite 200  Beverly Hills, CA 90212  310-659-9109  ",london@bmi.com 011-44-20-7486-2036   ,,bmi.com ,,,all styles ,," New York  7 World Trade Center  250 Greenwich St.  New York, NY 10007-0030  ",
96,CALIFORNIA COPYRIGHT," CONFERENCE (CCC)  P.O. Box 57962  Sherman Oaks, CA 91413  818-379-3312  ",manager@theccc.org ,,theccc.org  ,,,,,,
97,CHURCH MUSIC PUBLISHERS," ASSOCIATION (CMPA)  P.O. Box 158992  Nashville, TN 37215  615-791-0273 Fax 615-790-8847  ",,,cmpamusic.org  ,,,,,,
98,FILM MUSICIANS SECONDARY," MARKETS FUND  15910 Ventura Blvd., 9th Fl.  Encino, CA 91436  818-755-7777, 888-443-6763,  Fax 818-755-7778  ",participantservices@fmsmf.org ,,fmsmf.org  ,,,,,,
99,"HARRY FOX AGENCY, INC., THE (HFA)"," 40 Wall St., 6th Fl.  New York, NY 10005  646-487-6779  ",,,harryfox.com  ,,,,,,
100,NATIONAL MUSIC PUBLISHERS," ASSOCIATION (NMPA)  1900 N St. NW, Suite 500  Washington, D.C. 20036  202-393-6672  ",,,nmpa.org  ,,,,,,
101,SESAC," 35 Music Sq. E.  Nashville, TN 37203  615-320-0055  ",,,sesac.com ,,,all styles ,," Santa Monica  2150 Colorado Ave., Suite 150  Santa Monica, CA 90404  424-291-4750  New York  250 W. 57th St.,  Suite 2400  New York, NY 10107  40 Wall Street, 6th Floor  New York, NY 10005  212-586-3450 Fax 212-489-5699  London  1 Primrose St.  London EC2A 2EX  England  020 7616 9284   ",
102,"SOUNDEXCHANGE, INC."," 733 10th St., N.W., 10th Fl.  Washington, D.C. 20001  202-640-5858  ",info@soundexchange.com ,,Soundexchange.com  ,,,,,,
