,Name,Address/Phone,Phone,Web,Email,Fax,Mail,Contact,Specialty,Additional locations,Practice Areas
27,DONALDSON CALLIF PEREZ," 5600 West Adams Boulevard, Suite 300  Los Angeles, CA 90016  310-277-8394 Fax 310-277-4870  ",,donaldsoncallif.com/attorneys *No unsolicited material ,Mdonaldson@dcp.law ,,,,,,
28,DONALD S. PASSMAN," Gang, Tyre, Ramer & Brown, Inc.  132 S. Rodeo Dr., Ste. 306  Beverly Hills, CA 90212-2414  310-777-4800  ",,donpassman.com/about-donald-s-passman *No unsolicited material ,don@donpassman.com ,,,,,,
29,DYKMA," 444 S. Flower Street  Suite 2200  Los Angeles, CA 90071  213-457-1800  ",,dykema.com ,jhuron@dykema.com ,,,"Jeffrey Huron, Office Managing Member ",Intellectual Property,,
30,ERIC NORWITZ," 3333 W. 2nd St., Ste. 52-214  Los Angeles, CA 90004-6149  213-389-3477  ",,,enorwitz@pacbell.net ,,,,Entertainment law and litigation *Unsolicited material accepted ,,
31,ERIN M. JACOBSON," The Music Industry Lawyer  9100 Wilshire Blvd., Suite 725 E  Beverly Hills, CA 90212  424-354-9364  ",,themusicindustrylawyer.com,erinjacobsonesq@gmail.com ,,,,,,
32,FAEGRE DRINKER BIDDLE," 1800 Century Park E., Ste. 1500  Los Angeles, CA 90067  310-203-4000, 310-229-1285  ",,faegredrinker.com/en ,,,,,," Four Embarcadero Center, 27th Fl.  San Francisco, CA 94111  415-591-7500 ",
33,FINDELLE LAW & MANAGEMENT," 2029 Century Park E., Ste. 900  Los Angeles, CA 90067  310-552-1777  Fax 310-286-1990  ",,,perfstanny@aol.com ,,,"Stann Findelle, Esq. ","manager and recording agreements, production, actors, broadcasting and publishing  *Call before sending material ",,
34,"GERRY BRYANT, ESQ."," 9903 Santa Monica Blvd., Ste. 1007  Beverly Hills, CA 90212  ",,gerrybryant.com *No unsolicited material or deal shopping. ,mail@gerrybryant.com ,,,,,,
35,"GIBSON, DUNN"," 555 Mission Street  Suite 3000  San Francisco, CA 94105  415-393-8216  ",,gibsondunn.com *No unsolicited material ,rmurr@gibsondunn.com ,,,"Ryan, A. Murr ",,,
36,"GLENN T. LITWAK,"," LAW OFFICES OF  201 Santa Monica Blvd., Ste. 300  Santa Monica, CA 90401  310-858-5574 Fax 310-207-4180  ",,glennlitwak.com,glenn@glennlitwak.com ,,,,,,
37,"GREENBERG, GLUSKER"," 2049 Century Park East  Suite 2600  Los Angeles, CA 90067  310-553-3610, 310-201-7437  ",,greenbergglusker.com ,info@greenbergglusker.com ,,,"Matt Galsor, Partner *No unsolicited material ",,,
38,"SCOTT HARRINGTON, ESQ."," Harrington Music Law Group, PC  2001 Wilshire Blvd., Ste. 400  Santa Monica, CA 90403  310-315-9222 Fax 310-315-9225  ",,,sharrington@sdhmusiclaw.com,,,,,,
39,"HELMER, FRIEDMAN, LLP"," 9301 Wilshire Blvd., Ste. 609  Beverly Hills, CA 90210  310-396-7714  ",,helmerfriedman.com ,info@helmerfriedman.com ,,,Ken Helmer ,all areas *No unsolicited material ,,
40,"IRELL & MANELLA, LLP"," 1800 Ave. of the Stars, Ste. 900  Los Angeles, CA 90067  310-277-1010 Fax 310-203-7199  ",,irell.com ,info@irell.com ,,,,," 840 Newport Center Dr., Ste. 400  Newport Beach, CA 92660-6324  949-760-0991 Fax 949-760-5200 ",
41,"ISAACMAN, KAUFMAN & PAINTER, LOWY & ZUCKER"," 1100 Glendon Ave  Los Angeles, CA 90024  310-881-6800  ",,ikplaw.com ,info@ikplaw.com *No unsolicited material ,,,,,,
42,"JACKOWAY, TYERMAN, WERTHEIMER, AUSTEN, MANDEL-"," BAUM, & MORRIS & KLEIN  1925 Century Park E., Ste. 2200  Los Angeles, CA 90067  310-553-0305  *No unsolicited material ",,,,,,,,,
43,JAY L. COOPER," (Greenberg Traurig LLP)  1840 Century Park E., Ste. 1900  Los Angeles, CA 90067  310-586-7700  ",,gtlaw.com ,cooper@gtlaw.com ,,,,"entertainment law and copyright, 30 offices worldwide ",,
44,"JEFFREY L. GRAUBART, P.C."," P.O. Box 130      Gualala, CA 95445  626-304-2800  ",,entertainmentlaw.la ,info@jlgraubart.com ,,,,copyrights and litigation *Unsolicited material accepted ,,
45,"JOHNSON & JOHNSON, LLP"," 439 N. Canon Dr., Ste. 200  Beverly Hills, CA 90210  310-975-1080  ",,jjllplaw.com ,njohnson@jjllplaw.com ,,,Neville L. Johnson ,litigation and contracts *No unsolicited material ,,
46,"JONATHAN STEIN, LAW OFFICES OF"," 5050 Laguna Blvd.  Suite 112-325  Elk Grove, CA. 95758  916-247-6868  ",,jonathangstein.com/contact *No unsolicited material ,,,,,,,
47,"KATTEN, MUCHIN, ROSENMAN, LLP"," 2029 Century Park E., Ste. 2600  Los Angeles, CA 90067  310-788-4400. 310-788-4627  ",,kattenlaw.com ,zia.modabber@kattenlaw.com or michael.hobel@ katten.com  ,,,"Zia F. Modabber or Michael S. Hobel Speciality: Intellectual Property, Entrepreneurial Ventures,  Copyrights, Trademarks  ",," 515 South Flower Street, Suite 4150  Los Angeles, CA 90071  213-443-9000  100 Spectrum Center Drive  Suite 1050  Irvine, CA 92618  714-966-6819 ",
48,KEATS GATIEN LLP," 120 El Camino Drive, Ste. 207  Beverly Hills, CA 90212  424-302-0692  ",,keatsgatien.com ,"tony@keatsgatien.com, IP@KeatsGatien.com  ",,,"Tony Keats, Conrad Gatien ","Intellectual Property, Rights of Publicity, Litigation",,
49,"KENOFF & MACHTINGER, LLP"," 312 S. Beverly Dr.  #6344  Beverly Hills, CA 90212  310-552-0808 ext, 207  ",,entertainmentlawla.com ,jkenoff@entertainmentlawla.com ,,,,"contracts, litigation *No unsolicited material, no shopping  "," 1801 Century Park E  Los Angeles, CA 90067 ",
50,"KING, HOLMES, PATERNO & BERLINER, LLP"," 1900 Ave. of the Stars, 25th Fl.  Los Angeles, CA 90067  310-282-8989  ",,khpblaw.com ,,,,,Entertainment Music Law,,
51,"KLEINBERG, LANGE, CUDDY, CARLO, LLP"," 1801 Century Park East  24th Floor  Los Angeles, CA 90067  310-286-9696  ",,kleinberglange.com ,,,,,contracts and publishing *No unsolicited material ,,
52,KLINEDINST ATTORNEYS," 777 S. Figueroa St., Ste. 4000  Los Angeles, CA 90017  213-442-7000  ",,klinedinstlaw.com ,DAgle@KlinedinstLaw.com ,,,Daniel S. Agle,,,
53,"LAIRD & SOBEL, LLP"," 9255 Sunset Blvd., Ste. 800  Los Angeles, CA 90069  310-274-6184  ",,elsentlaw.com ,sobel@elsentlaw.com ,,,,all areas except demo shopping *No unsolicited material ,,
54,"LAPOLT LAW, PC"," 9000 Sunset Blvd., Ste. 800  West Hollywood, CA 90069  310-858-0922  ",,lapoltlaw.com ,inquiry@lapoltlaw.com ,,,Dina LaPolt ,"All areas relating to music, film, television, merchandising and book publishing. ",,
55,"LEE RUDNICKI, LAW OFFICES OF"," 9595 Wilshire Blvd., Ste. 900  Beverly Hills, CA 90212  310-300-8407  ",,drumlaw80.com ,drumlaw80@gmail.com ,,,,"music, film and television",,
56,YU LESEBERG," A Professional Law Group  1645 Vine Street  Penthouse 1002  Los Angeles, CA 9028  310-286-7667  ",,yuleseberg.com ,,,,"Helen Yu, Esq ","Music, Film, Television, Copyright, High Level Corporate Transactions ",,
57,"LEWIS, BRISBOIS, BISGAARD & SMITH, LLP"," 633 W. 5th St., Ste. 4000  Los Angeles, CA 90071  213-250-1800, 213-580-6312  ",,lewisbrisbois.com ,Jonathan.Pink@lewisbrisbois.com ,,,Jonathan Pink ,Entertainment Law *No unsolicited materials ,,
58,"LICHTER, GROSSMAN, NICHOLS, ADLER & FELDMAN"," 9200 Sunset Blvd., Ste. 1200  Los Angeles, CA 90069  ",,lgna.com 310-205-6999  *No unsolicited material ,info@lgna.com ,,,,,,
59,"LOEB & LOEB, LLP"," 10100 Santa Monica Blvd., Ste. 2200  Los Angeles, CA 90067  310-282-2135  ",,loeb.com ,jfrankenheimer@loeb.com ,,,John T. Frankenheimer ,All areas of music & entertainment,,
60,"MANATT, PHELPS & PHILLIPS"," 2049 Century Park East, Suite 1700  Los Angeles, CA 90067  310-312-4000  ",,manatt.com ,,,,,all areas *No unsolicited material  ," 695 Town Center Dr., 14th Fl.  Costa Mesa, CA 92626  714-371-2500  One Embarcadero Center, 30th Fl.  San Francisco, CA 94111  415-291-7400  1215 K St., Ste. 1900  Sacramento, CA 95814  916-552-2300  203 Redwood Shores Parkway  Suite 450  Redwood City, CA 94065  650-812-1300 ",
61,"MATTHEW JAY WARREN, ESQ."," Law Offices of Clinton & Clinton  100 Oceangate Blvd., Ste. 1400  Long Beach, CA 90802  562-216-5000  ",,mcphersonrane.com *No unsolicited material ,firm@mcphersonrane.com ,,,,"contracts, negotiation *Unsolicited material accepted  McPHERSON & ASSOCIATES  Los Angeles, CA  310-553-8833  ",,
62,MICHAEL MACHAT," 8730 W. Sunset Blvd, Suite 250  West Hollywood, CA  90069  310-860-1833  ",,machatlaw.com ,michael@machatlaw.com ,,,,all areas,,
63,MICHAEL R. MORRIS," Valensi Rose PLC  1888 Century Park E., Ste. 1100  Los Angeles, CA 90067  310-277-8011  ",,vrmlaw.com ,mrm@vrmlaw.com ,,,,"Full-service music law, including recording, producer, production company and soundtrack agreements,  master use and synchronization licenses; artist and label  representation; entertainment tax law  *Unsolicited materials on a very selective basis ",,
64,"MORGAN LEWIS & BOCKIUS, LLP"," 300 South Grand Ave., 22nd Fl.  Los Angeles, CA 90071  213-612-7208  ",,morganlewis.com ,brian.rocca@morganlewis.com,,,Brian Rocca ,," 2049 Century Park East, Ste. 700  Los Angeles, CA 90067  310-255-9111  ",
65,MORRIS MUSIC LAW," 475 Washington Blvd.  Marina del Rey, CA 90292  310-439-3737  ",,morrismusiclaw.com ,Jesse@morrismusiclaw.com ,,,"Jesse E. Morris, Attorney at Law ","Contract drafting, advising, negotiations, copyright law,  publishing and recording agreements ",,
66,"MUSIC ATTORNEY, LEGAL & BUSINESS AFFAIRS", REGISTRY  818-570-3374  ,,musicregistry.com ,info@musicregistry.com ,,,Ritch Esra,,,
67,MYMAN GREENSPAN FOX ROSENBERG MOBASSER," YOUNGER & LIGHT LLP  11601 Wilshire Blvd., Ste. 2200  Los Angeles, CA 90025  310-231-0800  ",,mymangreenspan.com ,,,,,all areas *No unsolicited material ,,
68,"NEAL TABACHNICK, ESQ."," Wolf, Rifkin, Shapiro, Schulman & Rabkin, LLP  11400 W. Olympic Blvd., 9th Fl.  Los Angeles, CA 90064-1557  310-478-4100  ",,wrslawyers.com/neal-tabachnick *Does not shop material ,ntabachnick@wrslawyers.com ,,,,,,
69,NED MENOYO," EEM Law, PC  15915 Ventura Blvd.  PH One  Encino, CA 91436  844-336-5291  ",,eem-law.com,info@eemlawpc.com ,,,,,,
70,NOLAN HEIMANN," 16000 Ventura Blvd, Ste. 1200  Encino, CA 91436  818-574-5710  ",,nolanheimann.com ,info@nolanheimann.com ,,,,Music and Entertainment Law,,
71,OMELVENY & MYERS," 400 S. Hope St.  Los Angeles, CA 90071-2899  213-430-6000  ",,omm.com *No unsolicited material  ,,,,,," 610 Newport Center Drive  17th Floor  Newport Beach, CA 92660  949-823-6900  1999 Avenue of the Stars  8th Fl.  Los Angeles, CA 90067  310-553-6700  2 Embarcadero Center  28th Floor  San Francisco, CA 94111  415-984-8700 ",
72,PERKINS COIE," 1888 Century Park E., Ste. 1700  Los Angeles, CA 90067-1721  310-788-3224  ",,perkinscoie.com ,LNess@perkinscoie.com ,,,"Lowell D. Ness 11452 El Camino Real  Suite 300  San Diego, CA 92130  858-720-5700 ","Trademark Law, Intellectual Property "," 633 W. 5th Street, Suite 5850  Los Angeles, CA 90071  310-788-9900  505 Howard St., Ste. 1000  San Francisco, CA 94105  415-344-7168  ",
73,"PIERCE LAW GROUP, LLP"," 9440 Santa Monica Blvd., Ste. 301  Beverly Hills, CA 90210  310-274-9191 800- 875-0756, Fax 310-274-9151  ",,piercelawgroupllp.com ,,,,David Albert Pierce ,"contracts *No unsolicited material accepted, no shopping. ",,
74,"PILLSBURY WINTHROP SHAW  PITTMAN, LLP"," Four Embarcadero Center, 22nd Fl.  San Francisco, CA 94111  415-983-1000, 415-983-1976  ",,pillsburylaw.com ,roxane.polidora@pillsburylaw.com ,,,"Roxanne, A. Polidora ","All areas, including intellectual property and technology  *No unsolicited material  "," 725 South Figueroa Street  Suite 2800  Los Angeles, CA 90017  213-488-7100  500 Capitol Mall  Suite 1800  Sacramento, CA 95814  916-329-4700  501 West Broadway  Suite 1100  San Diego, CA 92101  619-234-5000  North San Diego County  11682 El Camino Real  Suite 200  San Diego, CA 92130 USA  858-509-4000  Silicon Valley  2550 Hanover St  Palo Alto, CA  94304  650-233-4500 ",
75,"PROSKAUER, ROSE, LLP"," 2029 Century Park E. Suite 2400  Los Angeles, CA 90067  310-284-4525  ",,proskauer.com ,scrawshaw@proskauer.com ,,,Sandra A. Crawshaw-Sparks ,practice limited to litigation of commercial and entertainment related disputes  *No unsolicited material ,,
76,"PRYOR CASHMAN, LLP"," 1801 Century Park East  Los Angeles, CA 90067  310-683-6900 Fax 310-943-3397  ",,pryorcashman.com ,jsammataro@pryorcashman.com ,,,James G. Sammataro ,"Entertainment Law, Music Law, Intellectual Property, Litigation ",,
77,RACHEL STILWELL," Law Offices of Rachel Stilwell  26565 West Agoura Rd., Ste. #200  Calabasas, CA 91302  818-330-6819  ",,rmslawoffices.com,rachel@rmslawoffices.com ,,,,,,
78,RANDAL NEAL COHEN," 12100 Wilshire Blvd., Ste. 1250  Los Angeles, CA 90025  310-826-8082, 800-718-4658  ",,,Randall@Music-Attorney.com ,,,,all areas except demo shopping. *Unsolicited material accepted ,,
79,"REBEL ROY STEINER, JR."," Loeb & Loeb LLP  10100 Santa Monica Blvd., Ste. 2200  Los Angeles, CA 90067  310-282-2051  ",,loeb.com/en ,rsteiner@loeb.com ,,,Rebel Roy Steiner. jr ,Entertainment Law,,
80,"REED SMITH, LLP"," 1901 Ave. of the Stars, Ste. 700  Los Angeles, CA 90067  310-734-5287  ",,reedsmith.com ,lgasparetti@reedsmith.com,,,Lorenzo E. Gasparetti ,," 355 S. Grand Ave., Ste. 2900  Los Angeles, CA 90071  213-457-8038  ",
81,"RICHARD JOSEPH,"," LAW OFFICES OF  8383 Wilshire Blvd., Ste. 341  Beverly Hills, CA 90211  310-782-1776  ",,rnjlawgroup.com ,rjoseph@rjml.net ,,,,All areas of music law. *No unsolicited material ,,
82,SALLY KOENIG," Koenig Law Offices  Los Angeles, CA  310-984-1225  ",,koeniglawla.com ,koeniglaw@mac.com ,,,,"Artist and label representation in all areas. Draft and negotiate agreements.  *Unsolicited material accepted, email for permission ",,
83,"SINDEE LEVIN, ESQ."," 556 S. Fair Oaks Ave. #332  Pasadena, CA 91105  310-440-8778  ",,entertainmentestatelawyer.com ,info@entertainmentstatelawyer.com ,,,,Music and Entertainment Law *No Unsolicited materials accepted ,,
84,SNELL & WILMER," Two California Plaza  350 S. Grand Ave., Ste.3100  Los Angeles, CA 90071  213-929-2500  Fax 213-929-2525  ",,swlaw.com ,info@swlaw.com ,,,,Intellectual Property ," Plaza Tower  600 Anton Blvd., Ste. 1400  Costa Mesa, CA 92626-7689  714-427-7000 Fax 714-427-7799 ",
85,"STEPHEN E. SESSA, ESQ."," Reed Smith, LLP  1901 Ave. of the Stars, Ste. 700  Los Angeles, CA  90067  310-734-5426  ",,reedsmith.com ,ssessa@reedsmith.com ,,,Stephen E. Sessa,,,
86,"STEVEN R. LOWY ISAACMAN, KAUFMAN & PAINTER,  LOWY & ZUCKER  ",1100 Glendon Ave.  Suite 1500  310-881-6800  ,,ikplaw.com,info@ikplaw.com ,,,,,,
87,"TYLER & WILSON, LLP"," 5455 Wilshire Blvd., Ste. 1925  Los Angeles, CA 90036  323-655-7180  ",,tyler-law.com ,inquiries@tyler-law.com ,,,Christine J. Wilson ,Music and Business Law,,
88,VICTOROFF & ASSOCIATES," 11911 San Vicente Blvd.  Los Angeles, CA 90049  310-207-8999  ",,victoroff-law.com ,greg@rohde-victoroff.com ,,,Greg Victoroff ,all areas *Unsolicited material accepted ,,
89,"WESTON, GARROU, MOONEY"," 12121 Wilshire Blvd., Ste. 525  Los Angeles, CA 90025  310-442-0072  ",,wgdlaw.com ,,,,Jerome H. Mooney ,"Music Law, Entertainment Law",,
90,"MARCUS WIGGINS, ESQ"," 900 Fulton Avenue, Suite 132  Sacramento CA 95825  (916) 834-8000  ",,wigginsmse.com ,info@wigginsmse.com ,,,,"Music Law, Sports Law, Entertainment Law, Intellectual Property, Licensing, Copyrights, Clearances  Im here to help ",,
91,"YORN, LEVINE, BARNES, KRINTZMAN, RUBENSTEIN,  KOHNER, ENDLICH & GELLMAN  ","1999 Avenue of the Stars, 4th Floor  Los Angeles, CA 90067  ",,morrisyorn.com 310-319-3900 ,,,,,,,
92,"ZIFFREN, BRITTENHAM,  LLP"," 1801 Century Park W.  Los Angeles, CA 90067  310-552-3388 Fax 310-553-7068  ",,ziffrenlaw.com ,info@ziffrenlaw.com ,,,,all areas *No unsolicited material ,,
93,"CLINE, WILLIAMS, WRIGHT, JOHNSON &  OLDFATHER, LLP "," 221 E. Mountain  Suite 240  Fort Collins, CO 80524  970-221-2637  ",,clinewilliams.com ,,,,,Intellectual Property and Technology Law,,
94,HOLLAND & HART," 555 17th St., Ste. 3200  Denver, CO 80202-3979  303-295-8000, 303-295-8187  ",,hollandhart.com ,mabell@hollandhart.com ,,,Matthew Abell ,Intellectual Property ," 600 East Main Street  Suite 104  Aspen, CO 81611  970-925-3476  1800 Broadway  Suite 300  Boulder, CO 80302  303-473-2700 ",
95,"LEYENDECKER & LEMIRE, LLC"," 9350 E. Arapahoe Rd.  Suite 300  Greenwood Village, CO 80112  720-773-7620  ",,coloradoiplaw.com ,info@coloradoiplaw.com ,,,,"Copyright Law, Trademark Law, Intellectual Property ",,
96,PERKINS COIE," 1900 16th St., Ste. 1400  Denver, CO 80202-5255  303-291-2314 Fax 303-291-2400  ",,perkinscoie.com ,SAllison@perkinscoie.com ,,,Garland (Sonny) W. Allison ,"Trademark Law, Intellectual Property",,
97,SNELL & WILMER," 1200 17th St., Ste. 1900  Denver, CO 80202-5854  303-634-2000 Fax 303-634-2020  ",,swlaw.com ,info@swlaw.com ,,,,Intellectual Property,,
98,CACACE TUSCH & SANTAGATA," 1111 Summer St.  Stamford, CT 06905  203-327-2000  ",,lawcts.com ,,,,,Intellectual Property,,
99,OHLANDT GREELEY RUGGIERO &," PERLE, LLP  One Landmark Sq., 10th Fl.  Stamford, CT 06901-2682  203-327-4500  ",,ogpip.com ,info@ogrp.com ,,,,Intellectual Property,,
100,"ST. ONGE STEWARD JOHNSTON & REENS, LLC"," 986 Bedford St.  Stamford, CT 06905  203-324-6155  Fax 203-327-1096  ",,ssjr.com ,info@ssjr.com ,,,,Intellectual Property,,
101,"ADAMS AND REESE, LLP"," 20 F St., N.W., Ste. 500  Washington, DC 20001  202-737-3234  ",,adamsandreese.com ,,,,,"Entertainment Law, Music Law, Intellectual Property ",,
102,"BERLINER, CORCORAN & ROWE"," 1101 17th St. N.W., Ste. 1100  Washington, DC 20036  202-293-5555  ",,bcr.us ,bcr@bcr.us ,,,,"Entertainment Law, Copyright Law and Internet Law ",,
103,"EDSEL M. BROWN, JR. ESQ"," Law office of Edsel M. Brown, Jr. PLLC  1629 K Street, NW  Suite 300  Washington, D.C. 20006  202-329-1520  ",,edselmbrownjrlaw.com,emb@edselmbrownjrlaw.com ,,,,,,
104,"MANATT, PHELPS & PHILLIPS"," 1050 Connecticut Ave., N.W., Ste. 600  Washington, DC 20036  202-585-6500  ",,manatt.com ,,,,,all areas,,
105,"PROSKAUER, ROSE, LLP"," 1001 Pennsylvania Ave.,  N.W., Ste. 400 S.  Washington, DC 20004-2533  202-416-6800, 202-416-5850  ",,proskauer.com ,tbellapianta@proskauer.com ,,,,practice limited to litigation of commercial and entertainment related disputes  *No unsolicited material ,,
106,STEPTOE & JOHNSON," 1330 Connecticut Ave., N.W.  Washington, DC 20036  202-429-6749, 202-429-3000  ",,steptoe.com ,mallan@steptoe.com ,,,Michael J. Allan ,Contracts and Intellectual Property,,
107,"VENABLE, LLP"," 600 Massachusetts Ave, NW  Washington, DC 200041  202-344-4000 Fax 202-344-8300  ",,venable.com ,,,,,Intellectual Property,,
