,Name,Address/Phone,Phone,Email,Web,Clients,Contact,Services,Styles/Specialties,Distribution,How to Submit,Additional locations
22,BLACKHEART RECORDS," 456 Johnson Ave #202  Brooklyn, NY 11237  212-353-9600 Fax 212-353-8300  ",,gabe@blackheart.com ,blackheart.com ,,,,"Rock, Punk *Unsolicited material accepted, attn: A&R Dept.  Zander Wolff, A&R ",,,
23,BLUE LAN RECORDS," 10880 Wilshire Blvd., Suite 2000  Los Angeles, CA 90024  ",,info@blueelan.com ,"blueelan.com Kirk Pasich, President, Connor Pasich,VP / Director A&R ",,,,,,,
24,BLUE NOTE RECORDS," (Universal Music Group)  1750 N. Vine St.  Hollywood, CA 90028  323-871-5425  ",,BlueNote@umgstores.com ,bluenote.com,,,,,,,
25,BOMP/ALIVE NATURALSOUND RECORDS," 919 Isabel, Unit G  Burbank, CA 91506  ",,label@alive-records.com ,alive-records.com ,"Black Keys, Two Gallants, Buffalo Killers, Brian Olive ",,,,"Lumberjack Mordam Music Grp. *Unsolicited material accepted. Do not contact us, we will  contact you if we dig what we hear. ",,
26,CAPITOL CHRISTIAN MUSIC GROUP," 101 Winners Circle N  Brentwood, TN 37027  615-371-6980, 800-877-4443  ",,,capitolchristianmusicgroup.com *No unsolicited material ,,,,,,,
27,CAPITOL MUSIC GROUP," (Universal Music Group)  1750 Vine Street  Los Angeles, CA  310-235-4700  ",,Andrew.keller@umusic.com ,universalmusic.com/label/capitol-music-group *No unsolicited material ,,Andrew D. Keller ,,,,," New York  (Universal Music Group)  1755 Broadway #6  New York, NY 10019  212-841-8000  "
28,CENTURY MEDIA RECORDS," The Century Family, Inc.  c/o Sony Music International  25 Madison Ave.  New York, NY 10010  ",,"mail@centurymedia.com, mike.gitter@centurymedia.com  ",centurymedia.com ,,,,"heavy metal, rock *Unsolicited material accepted, see web for details.  Mike Gitter, VP, A&R ",,,
29,CHERRYTREE RECORDS," (Universal Records)  2220 Colorado Blvd  Santa Monica, CA  90404  ",,info@cherrytreerecords.com ,cherrytreerecords.com ,"Sting, Lady Gaga, Far East Movement, Ellie Gould- ing, ROBYN, LMFAO, Keane, Rac & Matthew Koma, The  Fratellis, Michael Kiwanuka, The Knux, Tokio Hotel, Sir Sly,  Mohambi, Kelis, Milow  Scott Enright, A&R ",,,All genre styles considered ,,,
30,CLEOPATRA RECORDS," 9417 Brodie Ln, Austin, TX 78748  310-477-4000  ",,bperera@cleorecs.com ,cleopatrarecords.com ,,,,"alternative, gothic, rock, metal, Indus- trial, Electronic, classics, soundtracks  *We only accept demos/music in digital form. See website  for instructions  Brian Perera, President, Tim Yasul, VP/GM ",,,
31,CLICKPOP RECORDS," P.O. Box 5765  Bellingham, WA 98227  ",,dave@clickpoprecords.com ,clickpoprecords.com ,,,,"folk, metal, pop, punk, electronic, ambient noise and more  Dave Richards, A&R ",,,
32,CLUBSTREAM LABEL GROUP, Gothenburg Sweden  +46 (0) 708 579 753  ,,demo@substream.se ,clubstream.se ,,,,"techno, all electronic dance music *Accepts unsolicited material.  Do not send rock music, reggae or psy-trance.  See website for instructions  Hakan Ludvigson, A&R Manager ",,,
33,CMH RECORDS," 2898 Rowena Ave.  Los Angeles, CA 90039  800-373-8073  ",,,cmhrecords.com ,,,,"country, bluegrass, electric, childrens, Christmas ",,,
34,LOGGINS PROMOTION," Nashville, TN  310-325-2800  ",,staff@logginspromotion.com ,logginspromotion.com ,,,,"all styles *Accepts unsolicited material  Paul Loggins, A&R ",,,
35,COLUMBIA RECORDS," LOS ANGELES  (Sony Music)  10202 Washington Blvd.  Culver City, CA 92032  310-272-2555  ",,,columbiarecords.com *No unsolicited material ,,,,,,,
36,COLUMBIA RECORDS," NEW YORK  25 Madison Ave  New York, NY 10010  212-833-4000  ",,john.doelp@sonymusic.com ,"columbiarecords.com *No unsolicited material  Rani Hancock, Head of A&R ",,,,,,,
37,COMPASS RECORDS," 916 19th Ave. S.  Nashville, TN 37212  615-320-7672. 800-757-2277  ",,info@compassrecords.com ,compassrecords.com ,,,,"celtic, roots *Accept unsolicited material see website for info  Alison Brown, A&R  Garry West, A&R ",,,
38,CONCORD MUSIC GROUP," 5750 Wilshire Blvd, Suite 450  Los Angeles, CA 90036  310-385-4455  ",,,concordmusicgroup.com ,,,,"jazz Tom Coulson-Smith, A&R Director ",,,
39,CURB RECORDS," 48 Music Sq. E.  Nashville, TN 37203  615-321-5080  ",,licensing@curb.com ,curb.com ,,,,"country, pop, gospel *No unsolicited material  Bryan Stewart, SVP, A&R ",,,
40,DANGERBIRD RECORDS," 3801 Sunset Blvd.  Los Angeles, CA 90026  323-665-1144  ",,info@dangerbird.com ,"dangerbirdrecords.com Roster: Butch Walker, Royal Teeth, T. Hardy Morris,  Broadheds, JJAMZ, Maritime  *Does not accept unsolicited demos  Jenni Sperandeo, President ",,,,,,,
41,DCD2," New York, NY  ",,info@dcd2records.com ,dcd2records.com,,,,,,,
42,DEEP ELM RECORDS," Maui, HI  808-214-4407  ",,info@deepelm.com ,"deepelm.com, deepelm.com/submit ",,,,"indie rock, emo, punk, pop, atmospheric, slowcore, alt-country, instrumental  John Szuch, A&R ",,,
43,DEEP SOUTH ENTERTAINMENT," P.O. Box 17737  Raleigh, NC 27619  919-844-1515  ",,steve.carless@umusic.com ,defjam.com ,,,,"hip-hop, rap, urban, R&B *No unsolicited materia  Steve Carless, Sr. Dir VP ",,," P.O. Box 121975  Nashville, TN  37212  615-953-4800  DEF JAM  (Universal)  2220 Colorado Ave., 5th Fl.  Santa Monica, CA 90404  310-865-4000  "
44,"DEFEND MUSIC, INC."," 1667 N. Main Street  Los Angeles, CA 90012  323-305-7315  ",,russell@defendmusic.com ,"defendmusic.com *We do not Accepts unsolicited material  Russell Nygaard, A&R ",,,,,,,
45,DELICIOUS VINYL RECORDS," 6607 Sunset Blvd.  Los Angeles, CA 90028  323-464-7467  ",,contact@deliciousvinyl.com ,"deliciousvinyl.com *No unsolicited material  Michael Ross, A&R/Owner ",,,,,,,
46,DELMARK RECORDS," 4121 N. Rockwell  Chicago, IL 60618  773-539-5001  ",,delmark@delmark.com ,delmark.com ,,,,"blues and jazz Elbio Barilari, VP & Artist Director ",,,
47,DIM MAK RECORDS," 724 South Spring St.  Los Angeles, CA 90014  ",,admin@dimmak.com ,dimmak.com ,,,,"edm, pop",,,
48,DINE ALONE RECORDS," 864 Eastern Ave.  Toronto, ON Canada  416-585-7885  ",,info@dinealonerecords.com ,dinealonerecords.com ,"Moneen, Streets of Laredo, the Flatliners, Vanessa Carlton, New Swears, the Lumineers  Joel Carriere, Founder-Owner, A&R ",,,"Various, including rock, indie, punk, R&B, hip-hop, post hardcore and emo  ",,,
49,DISCHORD RECORDS," 3819 Beecher St., N.W.  Washington, DC 20007  703-351-7507  ",,dischord@dischord.com ,dischord.com ,,,,punk rock,,,
50,DOMO MUSIC GROUP," 11022 Santa Monica Blvd, #300  Los Angeles, CA 90025  310-966-4414  ",,newtalent@domomusicgroup.com ,domomusicgroup.com ,,,,"new age, world music, rock, soundtrack, ambient, electronic  *We accept unsolicited material. See website for details ",,,
51,"DMAR ENTERTAINMENT, INC."," 7723 Tylers Pl. Blvd., Ste. 275  West Chester, OH 45069  513-617-2392  ",,,dmarmusic.com ,,,,"smooth jazz, R&B, gospel *Accepts unsolicited material ",,,
52,DRAG CITY RECORDS," P.O. Box 476867  Chicago, IL 60647  312-455-1015 Fax 312-455-1057  ",,radio@dragcity.com ,dragcity.com ,,,,"rock, hard rock, experimental *Does not accept Demos ",,,
53,DUALTONE RECORDS," 3 Mcferrin Ave.  Nashville, TN 37206  615-320-0620  ",,info@dualtone.com ,dualtone.com ,,,,"country, rock",,,
54,ELEKTRA," 1633 Broadway 10th & 11th Floor  New York, NY 10019  212-707-2130  ",,radio@capitolcmg.com ,capitolchristianmusicgroup.com *No unsolicited material ,,,,,,," 3400 W. Olive Ave.  Burbank, CA 91505  818-238-2200  EMI CHRISTIAN MUSIC GROUP  (CMG)  101 Winners Circle N  Brentwood, TN 37027  800-877-4443, 615-371-6980  "
55,EMI MUSIC GROUP, (See Universal Music Group)  ,,,universalmusic.com *No unsolicited material ,,,,,,,
56,ENTERTAINMENT ONE MUSIC, 2700 Pennsylvania Ave.  Suite 1000  Santa Monica CA  90404  ,,,,,,,,,," 4201 Wilshire Blvd.  Suite 400  Los Angeles, CA 90010  11-13 East 26th Street  New York, NY 10010  Renegade83  15301 Ventura Blvd, Bldg. D  Suite 350  Sherman Oaks, CA 91403  134 Peter St.  Suite 700  Toronto, Ontario, Canada "
57,EPIC," 10202 W. Washington Blvd.  Culver City, CA 90232  310-272-2220  ",,radio@epitaph.com ,epitaph.com ,"DJ Khaled, Judas Priest, Meghan Trainor, Sade, Travis Thompson, Jez Dior, Jidennam, (see website)  EPITAPH / ANTI  (WMG)  2798 Sunset Blvd.  Los Angeles, CA 90026  213-355-5000  ","Ezekiel Lewis, EVP & Head of A&R, Jermaine Pegues, VP A&R, Patrick Afeku, Sr. Director A&R  *No unsolicited material  ",,"alternative rock, post-hardcore, punk rock, hip-hop, metalcore  *Accepts unsolicited material. See website for instructions  Chris Foitel, SR VP ",Sony Music Entertainment ,,
58,EQUAL VISION," P.O. Box 38202  Albany, NY 12203-8202  518-458-8250  ",,music@equalvision.com ,"equalvision.com Dan Sandshaw, GM/A&R  *accept unsolicited submission ",,,,,,,
59,FAT POSSUM RECORDS," P.O. Box 1923  Oxford, MS 38655  662-234-2828 Fax 662-234-2899  ",,matthew@fatpossum.com ,fatpossum.com ,,,,"indie *Accepts unsolicited material  Matthew Johnson, President  Bruce Watson, Director, A&R ",,,
60,FAT WRECK CHORDS," 2196 Palou Ave.  San Francisco, CA 94124  415-284-1790  ",,,fatwreck.com ,,,,punk,,,
61,FAVORED NATIONS RECORDS," 17328 Ventura Blvd, #165  Encino, CA 91316  ",,info@favorednations.com ,favorednations.com ,,,,all styles welcome,,,
62,FEARLESS RECORDS," 5870 W. Jefferson Blvd., Studio E  Los Angeles, CA 90016  310-730-6655  ",,cody@fearlessrecords.com ,fearlessrecords.com ,,,,"pop-punk, punk rock, emo, alternative rock, post-hardcore  *Accepts unsolicited material. See website for instructions  Bob Becker, Owner/A&R ",,,
63,FERVOR RECORDS," 1810 W. Northern Ave., Ste. A-9  Box 186  Phoenix, AZ 85021  602-870-1788  ",,info@fervor-records.com ,fervor-records.com ,,,,"vintage, new indie *We do not accept unsolicited submissions  Jeff Freundlich, Exec. Producer ",,,
64,FIRE TOWER ENTERTAINMENT," Located in West Hollywood, CA  ",,artists@firetowerent.com ,firetowerent.com ,"Wesley Stromberg, Michael Blum, Sophie Ann. full roster on website  ",Evan Griffith/Ruth Nichols ,"Artist Management, A&R consulting, horn contracting  *Accepts unsolicited material ","Pop, Indie ",,,
65,FONOVISA," (Universal Music Group)  Woodland Hills, CA  ",,,universalmusica.com *Accepts unsolicited material ,,,,,,,
66,FUNZALO RECORDS," P.O. Box 2518  Agoura Hills, CA 91376  520-628-8655  ",,dan@mikesmanagement.com ,"funzalorecords.com Michael J. Lembo, President  Dan Agnew, General Manager ",,,,,,,
67,GEARHEAD RECORDS," P.O. Box 2375  Elk Grove, CA 95759  916-897-2451  ",,info@gearheadrecords.com ,gearheadhq.com ,,,,"rock n roll, outlaw country, punk, garage, rockabilly and sleaze metal  *No unsolicited material  Michelle Haunold, President ",,,
68,GEFFEN, See Interscope ,,,,,,,,,,
69,GLASSNOTE RECORDS," 770 Lexington Ave  New York, NY 10065  646-214-6000  ",,,glassnotemusic.com,,michael@glassnotemusic.com ,,,,,
70,GOGIRLSMUSIC.COM, ,,gogogirlsmusic@gmail.com ,gogirlsmusic.com ,,,,"all genres *The oldest and largest online community of indie women  in music  Madalyn Sklar, A&R ",,,
71,HOLLYWOOD RECORDS  LOS ANGELES," 500 S. Buena Vista St., Old Team Bldg.  Burbank, CA 91521  818-560-5670 ",,hollywoodrecords@gmail.com  ,"hollywoodrecords.com *No unsolicited material, No MP3s  Mike Daly, Exec. Director, A&R ",,,,,,,
72,HOPELESS RECORDS," 15918 Arminta St.  Van Nuys, CA 91406-1806  818-997-0444  ",,information@hopelessrecords.com ,"hopelessrecords.com Eric Tobin EVP, Business Dev. & A&R ",,,,,,,
73,ISLAND RECORDS," (UMG)  2220 Colorado Ave  Santa Monica, CA  888-583-7176  ",,,universalmusic.com/label/island-records,,"Darcus Beese, President ",,,,,
74,INTERSCOPE," 2220 Colorado Ave., 5th Fl.  Santa Monica, CA 90404  310-865-1000  ",,sam.riback@umusic.com ,"interscoperecords.com *No unsolicited material  Nicole Wyskoarko, EVP and Co-Head of A&R  Aaron Dash Sherrod, President of Urban A&R ",,,,,,,
75,IPECAC RECORDINGS, ,,info@ipecac.com ,"ipecac.com, facebook.com/ipecac ","Fantomas, Melvins Big Band, Northern State, Dalek, Skeleton Key, Peeping Tom, Dub Trio  Greg Werckman, A&R ",,,,Fontana ,,
76,"JAGGO RECORDS, LLC"," 515 Flower St.  18th Street  Los Angeles, CA 90071  323-850-1819  ",,jaggo@jaggo.com ,jaggo.com ,,,,"pop, rock, jazz, R&B, hip-hop, soul, World  *Unsolicited material accepted ",,,
77,K RECORDS," P.O. Box 7154  Olympia, WA 98507  360-786-1594  ",,promo@krecs.com ,krecs.com ,"Kimya Dawson, the Curious Mystery, the Blackouts Calvin Johnson, Owner ",,,,,,
78,KOBALT MUSIC," Los Angeles  926 N Sycamore Ave  Suite 700  Los Angeles, CA 90038  +1 (310) 967 3087  ",,info@kobaltmusic.com ,kobaltmusic.com ,,,,,,," 2 Gansevoort St.  6th Fl  New York, NY 10014  212-247-6204  Bob Bortnick, SVP, Creative  907 Gleaves St., Ste. 101  Nashville,TN 37203  615-321-8585  2100 Ponce De Leon Blvd  Suite 1230  Coral Cables, FL 33134  305-456-1624  The River Building  5th Floor, Goldings House,  Hays Galleria, 2 Hays Lane,  London, SE1 2HB "
79,LITTLE FISH RECORDS," P.O. Box 19164  Cleveland, OH 44119  216-481-1634  ",,littlefishrecords@gmail.com ,littlefishrecords.com ,,,,"roots reggae, jam band, jazz, pop *Accepts unsolicited material  Lawrence Koval, President, Artist Mgmt ",,,
80,LIZARD SUN ENTERTAINMENT," San Pedro, CA  310-505-3958  ",,Floyd@lizardsunentertainment.com ,"facebook.com/lizardsunentertainment, cliffmorrison.com  ","Cliff Morrison Floyd Bocox, CEO ",,,,,,
81,LOVECAT MUSIC," P.O.Box 548, Ansonia Station  New York, NY 10023  ",,lovecatmusic@gmail.com ,lovecatmusic.com ,,,,"rock, country, folk *No unsolicited material ",,,
82,MACK AVENUE," 18530 Mack Ave., Unit #299  Grosse Pointe Farms, MI 48236  888-640-6225  ",,info@mackavenue.com ,mackavenue.com ,,,,jazz,,,
83,MALACO RECORDS," 3023 W. Northside Dr.  Jackson, MS 39213  601-982-4522, 800-272-7936  ",,demo@malaco.com ,malaco.com ,,,,"gospel, R&B, spoken word, jazz, blues, soul  *No unsolicited material  Tommy Couch, Jr., President/R&B, A&R  Wolf Stephenson, VP, A&R  Matt Kivett, Director, Gospel ",,,
84,MATADOR RECORDS," 134 Grand Street  New York, NY 10013  212-995-5882 Fax 212-995-5883  ",,store@matadorrecords.com ,matadorrecords.com ,,,,"all styles *No Unsolicited Material  Jake Whitener, Director of A&A  ",,," 17-19 Alma Rd.  London, SW18 1AA U.K.  +020-8875-6200 "
85,MERGE RECORDS," 409 E. Chapel Hill St  Chapel Hill, NC  27514  919-688-9969  ",,merge@mergerecords.com ,mergerecords.com ,See website for roser,,,alt-rock ,,,
86,MEROKE SKY RECORDS," Van Nuys, CA  818-427-2712  ",,,,"Barry Goldberg, Alex Del Zoppo, Tony Kaye, Todd Taylor, Alex Sherman, Andrew Wraith, Matt Michenzie  Mike Giangreco, A&R ",,,folk/rock/Americana/Country ,,,
87,METAL BLADE RECORDS," 5632 Van Nuys Blvd., #1301  Sherman Oaks, CA 91401  818-597-1964  ",,metalblade@metalblade.com ,metalblade.com ,,,,"heavy metal, progressive, rock *See website for Demo Submission  Brian Slagel, President  ",,," Metal Blade Records GMBH  Friedrichstr.38  73033 Goppingen, Germany "
88,METROPOLIS RECORDS," PO Box 974  Media,  PA  19063  Attn: Demos  610-595-9940  ",,demo@metropolis-records.com ,metropolis-records.com,,,," electronic, industrial, goth  *Accepts unsolicited material by CD or CD-R ",,,
89,MILAN ENTERTAINMENT," Sherman Oaks, CA  ",,jc.chamboredon@milanrecords.com ,milanrecords.com ,,,,"soundtracks, electronic, world",,,
90,MINT RECORDS," P.O. Box 3613, M.P.O.  Vancouver, BC Canada V6B 3Y6  604-669-MINT  ",,info@mintrecs.com ,mintrecs.com ,"Duotang, Duplex, Fanshaw, Hot Panda, Immaculate Machine  ",,,indie *Send demos via mail ,,,
91,MOM + POP RECORDS, ,,digital@momandpopmusic.com ,momandpopmusic.com ,"Tom Morello, Sleater-Kinney, Sleigh Bells, Courtney Barnett  Hannah Gross, VP and Head of West Coast A&R ",,,,,,
92,MORPHIUS RECORDS," 100 E. 23rd St.  Baltimore, MD 21218  410-662-0112  ",,david@morphius.com ,morphius.com ,,,,"rock, punk, hip-hop, experimental",,,
93,MOTOWN," 1750 North Vine Street  Hollywood, CA 90028  ",,,motownrecords.com *No unsolicited material accepted ,,,,,,,
94,MRG RECORDINGS," Los Angeles, CA  310-629-9782  ",,"info@mrgrecordings.com, submission@mrgrecordings.com  ",mrgrecordings.com ,,,,"rock, electronic, ambient, folk",,,
95,NETTWERK RECORDS," 1675 West 2nd Ave,  2nd Floor  Vancouver, B.C. V6J 1H3  604-654-2929  ",,info@nettwerk.com ,nettwerk.com *No unsolicited material  ,,"Meg Tarquinio, VP Strategy & A&R (New York  Spencer Kelley, A&R, New York/London)  Marshall Altman, VP, A&R (Nashville)  Mark Abramowitz, Director, A&R (Nashville)  Eric Robinson, Director, A&R (Los Angeles)  ",,,,," 3900 West Alameda Ave, Suite 850  Burbank, Ca 91508  747-241-8619  263 S 4th St.  PO Box 110649  Brooklyn, NY 11211  212-760-1540 "
96,NEW PANTS PUBLISHING INC. & OLD PANTS," PUBLISHING INC.  119 N. Wahsatch Ave  Colorado Springs, CO 80903  719-632-0227 Fax 719-634-2274  ",,rac@crlr.net ,"newpants.com, oldpants.com ","Stephanie Aramburo, Chad Steele, C. Lee Clarke, Tech T, James Becker, Kathy Watson, Lisa Bigwood, George  Montalbano, Silence, Sherwin Greenwood, Joel Diehl, John  Ellis and Rocky Shaw.  *Unsolicited material through management or lawyer only.  Please call or Email before submitting.  Robert A. Case, A&R ",,,all genre styles considered ,,,
97,NOFACE RECORDS, ,829-285-1849 ,demos@nofacerecords.com ,"nofacerecords.com, facebook.com/nofacerecordsofficial  ",,,,"edm, all styles of electronic music including house, dubstep, bigroom, techno, trance, trap, etc.  *Email demos of your unsigned electronic music ",,,
98,NONESUCH RECORDS," 1633 Broadway  New York, NY 10019  212-275-4910  ",,info@nonesuch.com ,nonesuch.com ,"Emmylou Harris, Joni Mitchell, Gipsy Kings, KD Lang, Randy Newman, Wilco, Brian Wilson, Stephen Sond-  heim, Kronos Quartet, Youssou NDour, Buena Vista Social  Club, Laurie Anderson and more.  ",,,"jazz, classical, Americana, singer- songwriter, contemporary, world, pop  *No unsolicited material ",,,
99,OGLIO ENTERTAINMENT," 3540 W. Sahara Ave., #308  Las Vegas, NV 89102  702-800-5500  ",,,oglio.com ,"the Leftovers, Foreign Globester, Margo Guryan, BigBang, Beatallica, George Lopez, Jackie Joke Man  Martling, comedy, reissues, novelty, soundtracks, Brian  Wilson (Beach Boys), Robbie Krieger (the Doors), Ray  Manzarek (the Doors), Wisely, Phunk Junkeez, Bouquet of  Veal and Ogden Edsl  Carl Caprioglio, President ","Carl Caprioglio, Mark Copeland ",,,,,
100,OH BOY RECORDS," P.O. Box 150222  Nashville, TN 37215  615-742-1250  ",,info@ohboy.com ,ohboy.com ,,,,country *No unsolicited materials ,,,
101,OMNIVORE RECORDINGS," 4470 W. Sunset Blvd., Suite 209  Los Angeles, CA 90027  877-733-3931 Ext. 333  ",,cary@conqueroo.com ,omnivorerecordings.com *Not accepting demos ,,,,,,,
102,ORCHARD," 23 E. 4th St., 3rd Fl.  New York, NY 10003  212-201-9280  ",,communications@theorchard.com ,"theorchard.com Brad Navin, CEO ",,,,,,,
103,PAPER GARDEN RECORDS," 170 Tillary St., Apt. 608  Brooklyn, NY 11201  ",,caleb@papergardenrecords.com ,papergardenrecords.com ,"Laura & Greg, Denny Love, The Due Diligence, Hnry Flwr, Big Brutus ","Caleb Olson, Dir. of A&R ",,,,,
104,POSI-TONE," P.O. Box 2848  Los Angeles, CA 90294  310-871-2652  ",,info@posi-tone.com ,posi-tone.com ,"Michael Dease, Doug Webb, Behn Gillette, Brian Charette, Walt Weiskopf, Ed Cherry, David Gibson, Ken  Fowser, Art Hirahara, Ralph Bowen  Marc Free, A&R ",,,jazz ,,,
105,"PPL- ZMI ENTERTAINMENT GROUP, INC", 310-962-3873  ,,pplzmi@aol.com *No unsolicited material accepted ,,,,,,,,
106,PRA RECORDS," 1255 Fifth Ave., Ste. 7K  New York, NY 10029  212-860-3233  ",,pra@prarecords.com ,prarecords.com ,,,,jazz ,"E-1 Patrick Rains, A&R ",,
