,Name,Role,Address/Phone,Email,Fax,Web,Styles,Additional location,Contact,Clients,Services,How to Submit,A&R/Manager,Booking Agent,Notes
10,BIG NOISE,Manager," 11 S. Angell St., Ste. 336  Providence, RI 02906  401-274-4770  ",al@bignoisenow.com ,,bignoisenow.com ,"pop, rock, R&B, metal, jazz, acoustic, blues, punk, techno        *Accepts unsolicited material--please call or  email first. ",,Al Gomes ,,,,,,
11,BITCHIN ENTERTAINMENT,Manager," 1750 Collard Valley Rd.  Cedartown, GA 30125  678-901-0162  ",ty@bitchinentertainment.com ,,bitchinentertainment.com ,"rock, pop, hip-hop, Americana, s/s, country, R&B, jazz, punk, metal, rap, folk  ",,,"Blackhawk, Blue Oyster Cult, Charlie Allen, Gary Campbell, Kansas, Judas  Priest, Nickel Creek, Steve Miller Band  *Accepts unsolicited material ",,,,,
12,BLACK DOT MANAGEMENT,Manager," 6820 La Tijera Blvd., Ste. 117  Los Angeles, CA 90045  310-568-9091 Fax 323-777-8169  ",info@blkdot.com ,,blkdot.com ,"R&B, jazz, urban adult contemporary ",,"Raymond A. Shields, Pat Shields ","producers, engineers, marketing, production  ","personal management, marketing *No unsolicited material ",,,,
13,BRICK WALL MANAGEMENT,Manager," 39 W. 32nd St., Ste. 1403  New York, NY 10001  212-501-0748  ",bwmgmt@brickwallmgmt.com ,,brickwallmgmt.com ,"pop, rock, country, singer-songwriter ",,"Michael Solomon, Rishon Blumberg  ","Adam Landry, Cherry Poppin Daddies, The Clarks, Eddie Berman, Jarett  Bellucci, Marshall Altman, Michael Counts,  Vanessa Carlton, William Fitzsimmons, 10x  Management  *No unsolicited material ",,,,,
14,BRILLIANT PRODUCTIONS,Manager," Decatur, GA 30030  404-312-6237  ",Nancy@brilliant-productions.com ,,brilliant-productions.com ,"roots, rock, jam, Americana, blues ",,Nancy Lewis-Pegel ,"Webb Wilder, Geoff Achison, Yonrico Scott, Randall Bramblett, Peter Karp, Glenn  Phillips/Cindy Wilson of B-52s  ",A boutique agency that gives personal attention to musicians  *No unsolicited material ,,,,
15,BULLETPROOF ARTIST,Manager," MANAGEMENT & BOOKING  241 Main St.  Easthampton, MA 01027  413-527-9393  ",patty@bulletproofartists.com ,,bulletproofartists.com ,"folk, pop, rock, country ",,Patty Romanoff ,"Dar Williams, The Nields, Susan Werner, Cry, Cry, Cry  *No unsolicited material ",,,,,
16,BURGESS WORLD CO.,Manager," P.O. Box 646  Mayo, MD 21106  410-798-7798  ",info@burgessworldco.com ,,burgessworldco.com ,"rock, alt., singer-songwriter, blues, jazz  ",,Richard James Burgess ,"Jimmies Chicken Shack, Ace Elijah, the Electrofied Blues Band  *No unsolicited material ",,,,,
17,BUSYBOY PRODUCTIONS,Manager," 77 13th Ave. NE, Ste. 112  Minneapolis, MN  651-230-4362, 818-561-6000  ",info@busyboyproductions.com ,,busyboyproductions.com ,"rock, pop, country, alt.     *Accepts unsolicited material ",,Ella Reid ,,,,,,
18,CANTALOUPE MUSIC PRODUCTIONS,Manager," ELLEN AZORIN, PRESIDENT/AGENT  157 W. 79th St., Ste. 4A  New York, NY 10024  212-724-2400  ",ellenazorin@gmail.com ,,facebook.com/ CantaloupeMusicProductions  ,"Brazilian, Argentine tango, various Latin-American, jazz  ",,,see website,,,,,
19,"CASE ENTERTAINMENT GROUP, INC.",Manager," 119 N. Wahsatch Ave.  Colorado Springs, CO  80903  719-632-0227 Fax 719-634-2274  ",rac@crlr.net ,,"newpants.com, oldpants.com ","pop, rock, country ",,Robert Case ,"Silence, Lisa Bigwood, C. Lee Clarke, Kathy Watson, Todd Harris, Sherwen  Greenwood, Chad Steele, James Becker,  Stephanie Aramburo, Rocky Shaw, John Ellis  ","personal management, record promotion  *No unsolicited material ",,,,
20,CELEBRITY ENTERPRISES,Manager," Tijeras, New Mexico  800-700-3898, 505-286-8209  ",sales@ent123.com ,,ent123.com ,Variety ,,,"the Pink Flamingos, the 3 Painters, Art Explosion, ARTRAGEOUS!  *No unsolicited material ",,,,,
21,CENTRAL ARTISTS,Manager," 1023 N. Hollywood Way. #102  Burbank, CA 91505  818-557-8284  Email: submissions@centralartists.com  ",centralartists.com/index.html ,,,"Personal management, artists branding, personal consultation, music  production  *Accepts unsolicited material ",,,,,,,,
22,CHANEY GIG AFFAIRS (CGA,Manager," MANAGEMENT)  Buena Park, CA 90620  714-610-9046  ",ChaneyGigAffairs@gmail.com ,,chaneygigaffairs.com ,"R&B Soul, Jazz, Tribute Artist, Poets ",,,,"Gig, Artist, and Event Management. As well as, Project (Event  manager, Websites and EPKs),  Task and Business Management. ",,,,
23,CLC ARTIST MANAGEMENT,Manager," Burbank, CA  ",clclifecoach@gmail.com ,,,"Personal management, artist branding, personal consultation, music  production  *Accepts unsolicitedmaterial ",,,,,,,,
24,COAST TO COAST MUSIC/MUSICBIZ,Manager," MENTORS  Artist Development, Music Biz Education &  Touring  Encino, CA  818-376-1380  (please email us first)  ",MusicBizMentors@gmail.com ,,MusicBizMentors.com ,All ,,,"Harold Payne, Gravity 180, Anna Beatriz, Darious Lux  ","Management, Promotions and Booking expert  *Email for permission to send your materials ",,,,
25,COLLIN ARTISTS,Manager," Pasadena, CA, CA 91104  323-556-1046  ",collinartists@gmail.com ,,collinartists.com ,"jazz, blues, world, Latin, R&B, doo wop/classics and beyond  ",,"Barbara Collin, Robert Sax, Goh Kurosawa  ",see website for roster ,"Management, promotion, consulting, booking, workshops  *No unsolicited material ",,,,
26,"COLUMBIA ARTIST MANAGEMENT, LLC",Manager," 1180 Avenue of the Americas  8  New York, NY 10036  212-841-9564  ",jcesbron@camimusic.com ,,camimusic.com ,"instrumental, classical, jazz, world, celtic, vocalists  ",,Jean-Jacques Cesbron ,,one of the worlds largest classical music management firms ,,,,
27,COUNTDOWN ENTERTAINMENT,Manager," 252 7  New York, NY 10001  212-645-3068    ",,,"countdownentertainment.com, facebook.com/CountdownEntertainment  ","urban, hip-hop, pop, rock, country, alt., dance, club, DJ  *Accepts unsolicited material, see site for  submission details ",,,,,,,,
28,CRANBERRY MANAGEMENT,Manager, Contact : CEO Jeffery David  ,"Jd@cranberrymanagement.com Instagram.com/cranberrymusicgroup  Artist Roster: Echosmith, Jackie Miclau of Mt.  Joy, Papaya Noon, The Hiz, Gabriella Rose,  Lexie Alley, Mike Gunz of the Gunz Show ",,,,,,,,,,,
29,CRUSH MANAGEMENT,Manager," 60 11th St., 7th Fl.  New York, NY 10003  212-334-4446  ",info@crushmusic.com ,,crushmusic.com ,"rock, pop, indie, hip-hop, s/s, punk ",,,See website for roster *No unsolicited material ,,,,,
30,DAWN ELDER MANAGEMENT,Manager," 303 Loma Alta Dr., Ste. 31  Santa Barbara, CA 93109  (global) 805-963-2415, 805-637-1178  ",info@dcaproductions.com ,,dcaproductions.com ,"pop, folk, rock ",,Daniel C. Abrahamsen ,"Andjam Band, Backbeat A Tribute, Alison Fraser, Fiesta, Rockspolsion, Lisa  Bouchelle, Vladimir & Nadia Zaitsev,  Acrobats of Cirquetacular  ","variety performers, comedians, musical performers, theater productions and  producing live events  *Accepts unsolicited material ",,,,
31,DEEP SOUTH ENTERTAINMENT,Manager," P.O. Box 17737  Raleigh, NC 27619  919-844-1515 , 615-953-4800  ",hello@deepsouthentertainment.com ,,deepsouthentertainment.com ,"pop, rock, alt., country, AC, Christian ",,,"Marcy Playground, Vienna Teng, Tres Chicas, Parmalee, I Was Totally  Destroying It, Michael Sweet, LanCo, Katie  Garfield  *Accepts unsolicited material.  **Please NO CALLS ",,,,,
32,DIRECT MANAGEMENT GROUP,Manager," 8332 Melrose Ave., Top Fl.  Los Angeles, CA 90069  310-854-3535  ",info@directmanagement.com ,,directmanagement.com ,All ,,,"K.D. Lang, Katy Perry, Au/Ra, Steve Perry  ",Personal management *No unsolicited material ,,,,
33,EMCEE ARTIST MANAGEMENT,Manager, Phone: 212-925-6458  ,,,emceeartist.com ,"Singer/songwriter, Americana, Jazz ",,,"Natalie Merchant,Medeski Martin & Wood, The Wood Brothers, Nels  Cline, John Medeski, Oliver Wood, Jenny  Scheinman  *No solicited material ",,,,,
34,ENTERTAINMENT SERVICES INTL,Manager," 1819 South Harland Circle  Lakewood, CO 80232  303-727-1111, 612-810-9000  ",randy@esientertainment.com ,,esientertainment.com ,"Rock, Classic Rock Clients : The Guess Who, The Ozark  Mountain Daredevils, Ray Cardwell &  Tennessee Moon, Powder Mill, Rare Earth,  The Creek Rocks feat. Mark Bilyeu & Cindy  Woolf, Carl Dixon (solo or w/Coney Hatch),  Larry Raspberry & The Highsteppers, The  Gentrys, Brewer & Shipley, Thundherstruck ",,Randy Erwin ,,,,,,
35,ERIC NORWITZ ARTIST MANAGEMENT,Manager," 3333 W. 2nd St., Ste. 52-214  Los Angeles, CA 90004-6118  213-389-3477  ",enorwitz@pacbell.net ,,,"alt., dance, pop, R&B, rock ",,Eric Norwitz ,,management & legal *Accepts unsolicited material ,,,,
36,FIRE TOWER ENTERTAINMENT,Manager," Located in Culver City, CA  ",artists@firetowerent.com ,,firetowerent.com ,"Pop, Indie, Singer Songwriter ",,Evan Griffith/Ruth Nichols ,"Kiran + Nivi ,  Wesley Stromberg, Michael Blum, Sophie Ann.  Full roster on website  ","Artist Management, A&R consulting, Music Production  *Accepts unsolicited material ",,,,
37,FIRST ACCESS ENTERTAINMENT,Manager," 6725 Sunset Blvd. Ste. 420  Los Angeles, CA 90028  323 454 1162  ",contact@faegrp.com ,,faegrp.com ,,,,see web ,,no unsolicited material,,,
38,FIRST ARTISTS MANAGEMENT,Manager," 4764 Park Granada, Ste. 110  Calabasas, CA 91302  818-377-7750  ",info@firstartistsmgmt.com ,,firstartistsmanagement.com ,"film, singer-songwriter ",,,"film composers, music supervisors, music editors  *No unsolicited material ",,,,,
39,FRESH FLAVA ENTERTAINMENT,Manager," 2705 12th St. N.E.  Washington, DC 20018  202-832-7979  ","freshflava1@aol.com, freshflava17@gmail.com  ",,freshflava.com ,"hip-hop, R&B, jazz, gospel, rock ",,Emanuel Maurice Moe Yeoman ,"Elliot Lavine, Tabbo, DJ Sir Jamm, Stedman Graham, Nathaniel Nate Peavy,  Stephanie Jordan, Ski Johnson, NexXzit,  TABBO, WHOP-N-EMs and KayWOLF  *Accepts unsolicited material ",,,,,
40,GALE ENTERTAINMENT,Manager," 244 Fifth Avenue  Suite 2265  New York, NY 10001  646-387-5867  ",info@gale-entertainment.com ,,,all ,,,,"Personal Management, Entertainment Consulting  *Accepts unsolicited material. Email first. ",,,,
41,GARVAN MEDIA MANAGEMENT &,Manager," MARKETING  P.O. Box 737  Sandpoint, ID 83864  208-265-1718  ",steve@garvanmanagement.com ,,facebook.com/stephen.b.garvan ,"rock, s/s, roots, country, Americana ",,"Stephen Bond Garvan (formerly of NYC, Colorado, New England, MMF-US  Board, Founding Council AMA, IMMF  Global Director of Folk/Roots/Americana,  FAR-West Board/ BOTW Head, former  Swallow Hill Board Chair)  ","Chris Daniels and the Kings, Ryan Shupe & the Rubberband, Mark Oblinger,  Walt Wilkins, Chuck McDermott, Jodi Siegel,  Tiffany Gassett, Tom Roznowski, Michael  Kelsh ",,,,,
42,HARDKNOCKLIFE ENTERTAINMENT,Manager, ,info@hardknocklifeent.com ,,hardknocklifeent.com ,"pop, rap, hip-hop, acoustic, r&b, ",,Ayana Cobb ,,Management *No phone calls ,,,,
43,HEADLINE TALENT AGENCY,Manager," 27-01 Queens Plaza N  FL 13  Long Island City, NY 11101  212-257-6110  ",Erica@headlinetalent.net ,,,"Actors for theatre, film and TV ",,"Erica Bines, Owner",,,,,,
44,HOFFMAN ENTERTAINMENT,Manager," 21301 S. Tamimi Trl  Estero, FL. 33928  323-464-2000  ",info@ilovehoffman.com Web : ilovehoffman.com ,,,,,,,,,,,
45,"IMC ENTERTAINMENT GROUP, INC.",Manager," 19360 Rinaldi St., Ste. 217  Porter Ranch, CA 91326  818-700-9655  ",sr@imcentertainment.com ,,imcentertainment.com ,"pop, R&B ",,Sylvester Rivers ,Paul Riser ,full service *No unsolicited material ,,,,
46,IN DE GOOT ENTERTAINMENT,Manager," 119 W. 23rd St., Ste. 609  New York, NY 10011  212-924-7775 Fax 212-924-3242  ",,,indegoot.com ,"rock, pop "," 900 South St., Ste. 101  Nashville, TN 37203  10 Greenland St., 4th Fl.  Camden, London, NW1 0ND  England  +44 77 84110102 ",Michael Iurato ,"Audiodamni, Bel Heir, Black Stone Cherry, Chevelle, Highly Suspect, Halestrom,  In This Moment, Kyng, Neon Trees, Robert  Fenn, Story of the Year, Theory Of A  Deadman  *Accepts unsolicited materialAttn: Michael  Iurato  ",,,,,
47,INDIE MUSIC CONSULTING GROUP,Manager," Indie Artist & Label Publicity, Marketing &  Consulting  888-242-9331  ",,,indiemusicconsultant.com Voting Member the Recording Academy ,,,,,,,,,
48,INTERNATIONAL CREATIVE,Manager," MANAGEMENT (ICM)  10250 Constellation Blvd.  Los Angeles, CA 90067  310-550-4000  ",,,icmpartners.com ,"dance, classical, jazz, folk, world, contemporary, R&B, hip-hop  *No unsolicited material  "," 65 E. 55th St.  New York, NY 10022  212-556-5600  1500 K Street NW  Washington, DC  20006  202-919-2100  16 Great Chapel St.  London, W1F  8  +044 0208 004 5315 ",Carol Goll ,,,,,,
49,IN TOUCH ENTERTAINMENT,Manager, 309 W 55  New York 10019  212-235-7015  ,info@intouchent.com ,,intouchent.com ,All Styles ,,Charles Carlini ,"Irene Cara, Michael Carvin, David Chesky, Suzanne Ciani, Elisha Abas, Equie  Castrillo, Larry Coryell, Mamma Freedom,  George Garzone, Eumir Deodato, Keith  Emerson, Kenia, Craig Handy, Paulette  McWilliams, Captain Beyond  *Accepts unsolicited material. See website  for instructions. ",,,,,
50,INVASION GROUP,Manager," 333 E. 75  New York, NY 10021  212-414-0505 Fax 212-414-0525  Contact : Steven Saporta  ",jana@invasiongroup.com ,,invasiongroup.com ,"rock, world, folk, singer-songwriter "," P.O. Box 27687  Los Angeles, CA 90027  ","Jana Fisher 83 Morse St.  Floor 2  Norwood, MA 02062 ","Ani DeFranco, David Bieber Archives, Donny McCaslin, Elizabeth Moen, Everett  Bradley, Future Generations, Gail Ann Dorsey,  Grace and The Victory Riders, Gracie and  Rachel, Jai Uttal, Ken Butler, Raye Zaragoza,  Ronnie Spector, Seth Glier, Sylvie Simmons  *Accepts unsolicited material  ",,,,,
51,JAMPOL ARTIST MANAGEMENT,Manager," 8033 W. Sunset Blvd., Suite 3250  West Hollywood, CA 90046  310-654-1900  ",assistant@jamincla.com ,,wemanagelegends.com ,,,Jeff Jampol ,"The Estates of the following: the Doors, Janis Joplin, Peter Tosh, Jim Morrison,  Ramones, Michael Jackson, Rick James,  Johnny Ramone, Henry Mancini  *Does not accept unsolicited material ",,,,,
52,JAY ANTHONYS NEXT LEVEL BOOKING &,Manager," ENTERTAINMENT AGENCY, LLC  USA  702-861-5075  ",Jayanthony@ nextlevelbookingandentertainment.com    ,,,ALL,,Jay Anthony ,,,,,,
53,KAHN POWER PICTURES,Manager," 433 N. Camden Dr., Ste. 600  Beverly Hills, CA 90210  310-550-0770  ",Artists4Film@gmail.com ,,artists4film.com ,"Film/TV scores, composer/ performer/director representation  ",,,"Eva Babic, Nancy Bishop, Stewart Copeland, Robert Domheim, J.P. Dutilleux,  Claudio Faeh, Jiri Madi, Eric Neveux, J. Peter  Robinson, Peter Golub  *No unsolicited material ",,,,,
54,KARI ESTRIN MANAGEMENT &,Manager," CONSULTING  P.O. Box 60232  Nashville, TN 37206  615-262-0883  ",kari@kariestrin.com ,,kariestrin.com ,"folk, Americana, AAA, roots ",,Kari Estrin ,"David Llewellyn, Janis Ian, Tony Rice, Bluegrass/Newgrass legend, Suzanne Vega,  Kanda Bonga Man, Papa Wemba, Kevin  Brown, 3 Mustaphas 3  *Accepts unsolicited material ",,,,,
55,KBH ENTERTAINMENT GROUP,Manager," Los Angeles, CA  818-786-5994  ",,,kbhentertainment.com ,,,Brent Harvey ,,"All styles, entertainment consulting, publicity, music placement/  licensing and live event production  *No unsolicited material ",,,,
56,KBM,Manager, 310-228-8172  ,,,,,,Brent Harris ,"Tony! Toni! Tone!, Sounds of Blackness  *No unsolicited material ",,,,,
57,KRAFT ENGEL MANAGEMENT,Manager," 15233 Ventura Blvd, #200  Sherman Oaks, CA. 91403  818-380-1918  ",info@kraft-engel.com ,,kraft-engel.com ,Film Composers *No unsolicited material ,,Richard Kraft ,,,,,,
58,KUPER PERSONAL MANAGEMENT/,Manager," RECOVERY RECORDINGS  515 Bomar St.  Houston, TX 77006  713-520-5791  ",info@recoveryrecordings.com ,,recoveryrecordings.com ,"folk, roots rock, Americana ",,Koop Kuper ,"the Very Girls, David Rodriguez *Accepts unsolicited material ",,,,,
59,LAKE TRANSFER ARTIST & TOUR,Manager," MANAGEMENT  Studio City, CA  818-508-7158  ",,,laketransfermgmt.com/about ,,,"Steven B. Cohen, Mgr. ","Candyboy, Friends of Distinction, Evelyn Champagne King, Rose Royce, DJ  Asi Vidal ",,,,,
60,LAKES COMMUNICATION SERVICES,Manager," Los Angeles, CA 90045  323-251-2358  ",lakescommunications@gmail.com ,,,"R&B, HipHop, Smooth Jazz, Urban Contemporary  ",,Jeffery Lakes ,"Mark Drummond, Lakes The Voice ","artistmanagement, marketing, business development ",,,,
61,LEN WEISMAN PERSONAL MANAGEMENT,Manager," 357 S. Fairfax Ave., Ste. 430  Los Angeles, CA 90036  323-653-0693, 323-653-7670  ",persmanmnt@aol.com ,,persmanmnt.com/Services.html ,,,Len Weisman   ,"Jewel With Love, Chosen Gospel Recovery Singers, Winds Of Fate, Rapture 7,  Chosen Gospel Singers, LNee, Sister Maxine  West, TooMiraqulas (rapper), Winds of Fate  *Accepts unsolicited material ",,,,,
62,LEONARD BUSINESS MANAGEMENT,Manager," 5777 W. Century Blvd, Suite 1600  Los Angeles, CA 90045  310-458-8860  ",info@lbmgt.com ,,leonardbusinessmanagement.com ,All ,,Jerry Leonard ,Call for roster ,Business management only *No unsolicited material ,,,,
63,LIPPMAN ENTERTAINMENT,Manager," Beverly Hills, CA 90210  310-775-5228, 805-686-1163  ",music@lippmanent.com ,,lippmanent.com ,All ,,"Michael Lippman, Nick Lippman ","producers, artists, songwriters ",Full-service *No unsolicited material ,,,,
64,LOGGINS PROMOTION,Manager, 310-325-2800  ,staff@logginspromotion.com ,,"logginspromotion.com, facebook.com/logginspromotion  ",,,Paul Loggins ,,Represents both major and independent artists. All genres. ,,,,
65,MAINE ROAD MANAGEMENT,Manager," P.O. Box 1412  Woodstock, NY 12498  212-979-9004    ",,,"majorbob.com, facebook.com/majorbobmusic  ","Country, Pop ",,Bob Doyle ,"Garth Brooks, JP Williams, John & Jacob, Alysa Vanderheym, Josh London  *No unsolicited material ",,,,,
66,MANAGEMENT ARK,Manager," 116 Village Blvd., Ste. 200  Princeton, NJ 08540  609-734-7403, Vernon H. Hammond III  301-859-4050, Edward C. Arrendell, II  ",ed@managementark.com ,,managementark.com ,jazz ,,"Vernon Hammond III, Edward C. Arrendell, II  ","Wynton Marsalis, Herlin Riley, Cecile McLorin Salvant  *No unsolicited material ",,,,,
67,MASCIOLI ENTERTAINMENT,Manager," CORPORATION  319 Dillon Cir.  Orlando, FL 32822  407-701-9342  ",Mascioli319@gmail.com ,,masciolientertainment.com ,"country, jazz, R&B, orchestras, swing, tropical, rock  ",,Paul A. Mascoli ,See website for roster *Accepts unsolicited material ,,,,,
68,MCGHEE ENTERTAINMENT,Manager," 21 Music Sq. W.  Nashville, TN 37203  615-327-3255  ",info@mcgheela.com ,,mcgheela.com ,,,,"Kiss, Paul Stanley, Ted Nugent, Down, Caleb Johnson ",,,,,
69,THE MGMT COMPANY,Manager," 6906 Hollywood Blvd., 2nd Fl.  Hollywood, CA 90028  323-946-7700  ",inquiries@themgmtcompany.com ,,themgmtcompany.com ,,,Marc Pollack,,,,,,
70,MICHAEL HAUSMAN ARTIST,Manager," MANAGEMENT  17A Stuyvesant Oval  New York, NY 10009  212-505-1943  ",info@michaelhausman.com ,,michaelhausman.com ,"rock, pop, singer-songwriter   *No unsolicited material ",,Michael Hausman ,,,,,,
71,MIKES ARTIST MANAGEMENT,Manager," Funzalo Records  P.O. Box 571567  Tarzana, CA 91357  ",dan@mikesartistmanagement.com ,,funzalorecords.com ,"rock, pop, Americana ",,Mike Lembo ,"Tony Furtado, Mostly Bears, Luca, Brian Lopez  *No unsolicited material ",,,,,
72,MIKE GORMLEY,Manager, L.A. Personal Development (LAPD)  ,Glebe99@yahoo.com ,,lapersdev.com/history,,,,,,,,,
73,MILLION DOLLAR ARTISTS,Manager," 12 Lake Forest Court West  St. Charles, MO 63301  636-925-1703, 888-521-8146  ",maxmillion1@earthlink.net ,,americaneaglerecordings.com ,All Styles *Accepts unsolicited material. See website  for instructions. ,,Dr. Charles Max E. Million ,,,,,,
74,MOKSHA MUSIC MANAGEMENT,Manager," Hollywood  1247 North Crescent Heights Blvd. Suite D  West Hollywood, CA. USA. 90046  323-842-4434  ",info@MokshaEntertainment.com ,,"Moksha Entertainment.com, BobbyLeigh.com  ","Rock, Pop, Punk Rock, Psychedelic Punk  ",,Bobby Leigh ,"Stony Sugarskull, DieAna, Karuna, WaWa Baby, Lindsey Loon, Diana Meyer, Dr.  Monike Demmler  ","Personal Management, Artist Development, Tour Management, Social  Media Management  Bobby Leigh is an active member of the  PGA (Producers Guild of America),) FIND  (Film Independent), CAA (Creative Actors  Alliance), NALIP (National Association  of Latino Independent Producers), IP  (Independent Producers), IFF (International  Film Finance,) IDA (International  Documentary Association and Filmmakers  Alliance.  *Accepts unsolicited material in U.S. office ",,,,
75,"MORRIS HIGHAM MANAGEMENT, LLC",Manager," 2001 Blair Blvd.  Nashville, TN 37212  615-321-5025  ",mshmgmt@yahoo.com ,,mshmgmt.wix.com/music- management  ,Country ,,Marney Hansen ,"Silver Lining, Nocturnal Drifters, Nancy Luca  ",personal management *No unsolicited material ,,,,
76,MTS MANGEMENT GROUP,Manager," 227 Gill Road  Apollo, PA. 15613  412-445-5282    ",,,mtsmanagementgroup.com,,,,,,,,,
77,MUSIC & ART MANAGEMENT,Manager," Asheville, NC 28801  828-225-5658  ",,,musicandart.net ,"Jazz, Electronic, Experimental, Multimedia  ",,Steve Cohen ,"Theo Bleckmann, Carl Hancock Rux, David Wilcox, Vijay Iyer  *Does not accept unsolicited material ",,,,,
78,MYRIAD ARTISTS,Manager," P.O. Box 550  Carrboro, NC 27510  919-967-8655  ",trish@tg2artists.com ,,myriadartists.com ,"folk, bluegrass, jazz, Americana ",,Trish Galfano ,"A.J.Croce, Mike Marshall, Leahy, Sugar and the Mint, Seamus Egan,  *No unsolicited material ",,,,,
79,NETTWERK PRODUCER MANAGEMENT,Manager," 3900 W. Alameda Ave., Ste. 850  Burbank, CA 91505  747-241-8619  ",info@nettwerk.com ,,nettwerk.com *No unsolicited material  ,," Head Office:  1675 West 2  2  Vancouver, BC V6J 1H3  604-654-2929  263 S. 4  P.O.Box 110649  Brooklyn, NY 11211  212-760-1540  15 Adeline Place, Ground Fl  London, WC1B 3AJ  011-44-207-456-9500  Neuer Kamp 32  20357 Hamburg, Germany  49-40-431-846-50 ",,,,,,,
80,NEW HEIGHTS ENTERTAINMENT,Manager," Calabasas, CA 91372  323-802-1650  ",Info@newheightsent.com ,,newheightsent.com ,All Styles ,,Alan Melina ,See Website *No unsolicited material ,,,,,
81,ONCE 11 ENTERTAINMENT,Manager, 310-906-9800  ,javier@once11ent.com ,,once11ent.com ,all types of Latin and world music ,,Javier Willis ,"Espinoza Paz, Vazquez Sounds, Annette Moreno, Sergio Arau, Agina  Alvarez, Jerry Demara  Consulting and Personal Management  *Call before sending material. ",,,,,
82,PERFORMINGBIZ.COM,Manager," 10 Chestnut Ct.  Palmyra, VA  22963  ",jg@performingbiz.com ,,performingbiz.com ,All Styles/Coaching and Consulting *Accepts Unsolicited material ,,Jeri Goldstein ,,,,,,
