,Name,Address/Phone,Email,Web,Basic Rate,Format,Contact,Services,Clients,Additional location
45,D.OB. SOUND,"8531 Wellsford Pl., Ste. I   Santa Fe Springs, CA 90670 562-464-9456 ",dobsound20@yahoo.com,dobsoundstudios.com,call for quote,,"Larry Ramirez, Derek OBrien","Full recording, Mixing and Mastering Studio,Video Production, 5 fully-equipped rehearsal rooms and guitar repair shop.  ",,
46,DRAGONFLY CREEK RECORDING STUDIO,"Malibu, CA 90265  310-753-2067 ",chaspol@captonemusic.net,dragonflycreekrecording.com,Call for rates,"Pro Tools HDX with 32 channels of analogI/O, Logic Pro ",Charley Pollard,Studio is located on a private ranch andoffers accommodations for bands/artists ,"Coldplay, Lady Gaga, 5sos, Bebe Rexha,Gordon Goodwin, and Neil Young.  ",
47,EARTHSTAR CREATION CENTER,"505 Rose Ave  Venice, CA 90291 310-581-1505 ",info@earthstarvenice.com,earthstarvenice.com,call or email for info ,see website for equipment list,John X Volaitis,,,
48,ECHO BAR RECORDING STUDIO,"7248 Fulton Ave.   North Hollywood, CA 91605 818-738-7320 ",info@echobarstudios.com,echobarstudios.com,call for info ,call for info,"Erik Reichers, Bob Horn",,,
49,ELEVATED AUDIO,"14677 Aetna St.  Van Nuys, CA 91411 818-909-9029 ",elevatedaudio@gmail.com,elevatedaudio.com,"call for info, no walk-ins ","Digital, Analog, or both",Fran,,,
50,ES AUDIO SERVICES,"1746 Victory Blvd.  Glendale, CA 91201 818-505-1007 ",,esaudio.com,Please call for current rates ,"Pro Tools and Logic, Analog Front End",Donny Baker,,,
51,EXPOSITION REHEARSAL & RECORDING STUDIOS,"9214 Exposition Blvd.  Los Angeles, CA 90034 310-287-1236 ",contact@expositionstudios.com,expositionstudios.com,Please Call For Rates ,,,,,
52,FEVER RECORDING STUDIOS,"Inspired. Creative. Perfectly Private.  5739 Tujunga Ave. N. Hollywood, CA91601 818-762-0707 ",contact@clearlakerecording.com,feverrecording.com,Please call to discuss a personalized quote.,"Full featured and private boutique recordingexperience.Studio 1featurestwo private lounges, private parking, and runner services. ","Reut Feldman - General Manager,  DPapapostolou  On-Site Manager, EricMilos - Owner. ",,,
53,FRIDAY ENTERTAINMENT,"Sherman Oaks, CA  818-995-4642 ",info@fridayentertainment.com,fridayentertainment.com,call for info,Digital,Sam Dress,"recording, mixing film editing, sound topicture. Great live room for jazz, folk, etc.  ",,
54,GLENWOOD PLACE STUDIOS,"619 S. Glenwood Pl.  Burbank, CA 91506 818-260-9555 ",info@glenwoodstudios.com,glenwoodstudios.com,call for info ,digital and analog,Kit Rebhun,,,
55,GOLD STREET,"Burbank, CA 91504  818-567-1911 ",avpost@goldstreet.net,goldstreetmusic.com,$1000/Song. ,"digital, 128 tracks",Eric Michael,,,
56,THE GREENE ROOM RECORDING STUDIO,"Van Nuys, CA  818-781-1144 ",,greeneroom.com ,,,,,,
57,THE GROOVE LAB,"West Hills, CA 91326  818-903-0005 ",olivierroulon@thegroovelab.org,thegroovelab.org,call for rates ,"digital, 32+ tracks",Olivier,,,
58,GROOVEWORKS STUDIO,"5536 Atlantic Ave.  Long Beach, CA 90805 310-403-5104 ",info@grooveworksstudios.com,grooveworksstudios.com,,,Rodney,"music rehearsal, audio recording, podcastand video shoots *Does not accept unsolicited material  ",,
59,HARDSHIP RECORDS,"Van Nuys, CA 91405  818-780-7845 ",HJ@hughjamesmusic.com,hughjamesmusic.com/studio,variable rates,Specializing in Grand Piano Recordings &Song Production  ,Hugh James,,,
60,HENSON RECORDING STUDIO,"1416 N. La Brea Ave.  Hollywood, CA 90028 323-856-6690 ",faryal@hensonrecording.com,hensonrecording.com,call for info ,"SSL SL 6072E/G, 4072G+, 6056/G, 9090J,Augsperger, 8 Neve ",Faryal Russell,,,
61,HUMAN ELEMENT,"(Post Studios)  453 S. Spring St. Los Angeles, CA 90013 213-232-1193 ",info@humanelement.tv,humanelement.tv,Call or email for information ,,,,,
62,INFINITESPIN RECORDS,"Sherman Oaks, CA  818-384-1451 ",info@infinitespinrecords.com,infinitespinrecords.com,"$85/hour (3 hour minimum), lock outsavailable (contact for pricing)  ",,Matt Linesch,,,
63,JUST FOR THE RECORD,"8763 Lankershim Blvd.  Sun Valley, CA 91352 747-292-1151 ",mackenzie@justfortherecord.com,justfortherecord.com/studio,call or email for info ,,"Mackenzie Coats, Studio Manager",,,
64,LAGUNA SOUND STUDIO,"381 Forrest Ave., Ste. D  Laguna Beach, CA 92651 949-395-9400 ",info@lagunasoundstudio.com,lagunasoundstudio.com,,"Logic Pro X, Pro Tools 11 ","Gary Hicks, Studio Manager",,,
65,LARRABEE SOUND STUDIOS,"4162 Lankershim Blvd.  North Hollywood, CA 91602 818-753-0717, Fax 818-753-8046 ",info@larrabeestudios.com,larrabeestudios.com,call for info ,digital and analog,"Amy Burr, Studio Manager",,,
66,MAD MUSE STUDIOS,"1015 E. 14th Street  Los Angeles, CA90021 323-685-2054 ",,madmusestudios.com,,Solid State Logic 8064G ,"Zulma Tercero, Studio Manager",,,
67,MARC DESISTO PRODUCTIONS,"Sherman Oaks, CA  818-259-4235 ",marcdesistoaudio@gmail.com,marcdesistoaudio.com,please call for info ,Pro Tools HD,Marc DeSisto,,,
68,MARTINSOUND RECORDING STUDIOS,"1151 W. Valley Blvd.  Alhambra, CA 91803 626-281-3555 ",dblessinger@martinsound.com,martinsound.com,please call for info ,"digital and analog, 32 tracks",Dan Blessinger,,,
69,MASTER GROOVE STUDIOS / RADD SOUND,"Northridge, CA  Nashville, TN 818-830-3822, 615-562-5329 ",davejavu@att.net,mastergroovestudios.com,please call for rates ,"digital, unlimited tracks",David Morse,,,
70,MEGA SOUND STUDIOS,"2789 E. Main Street  Ventura, CA 805-667-8100 ",,megasoundstudios.com ,,,,,,
71,MIX CITY MUSIC,"19410 Kilfinan St.   Porter Ranch, CA 91326 818-464-5844 ",Matt@MixCityMusic.com,MixCityMusic.com ,,,,,,
72,MIX RECORDING STUDIO,"539 S. Rampart Blvd.  Los Angeles, CA 90057 323-218-7475 ",info@mixrecordingstudio.com,mixrecordingstudio.com,"Fixed rate for session with an engineer$54/hr, without engineer $42/hr, and different engineers available for 30/35hr  ",,,,,
73,M L E STUDIOS,"P.O. Box 1014  Hollywood, CA 91356 866-246-8846 ",mail@majorlabelmusic.com,majorlabelmusic.com,$45/hr. or flat rate per song/project ,"digital/analog, Pro Tools HD2 Accel",Col. Darryl Harrelson,,,
74,NIGHTBIRD RECORDING STUDIOS,"At Sunset Marquis Hotel  1200 Alta Loma Road West Hollywood, CA 90069 310-657-8405 ",manager@nightbirdstudios.com,nightbirdstudios.com,call for prices ,Pro Tools HDX / Logic Pro,Angelo Caputo,,,
75,NRG RECORDING SERVICES,"11128 Weddington St.  North Hollywood, CA 91601 818-760-7841 ",ayex@nrgrecording.com,nrgrecording.com,Call for details ,digital and analog,,,,
76,PACIFICA STUDIOS,"2620 La Cienega Ave.  Los Angeles, CA 90034 310-559-9777 ",,,please call                                                                                                                                                                                                                                                                   ,Pro Tools,Glenn,,,
77,PARAMOUNT RECORDING STUDIOS,"6245 Santa Monica Blvd.  Los Angeles, CA 90038 323-465-4000 ",info@paramountrecording.com,paramountrecording.com,call for rates ,"digital and analog, 96+ tracks",,,,
78,PATTERN RECORDING STUDIO,"47235 W. Jefferson Blvd    Los Angeles, CA 90016 323-389-7759 ",PatternRecordingStudio@Gmail.com,PatternRecordingStudio.com,Please call or email,"ProTools, Logic, Ableton, Analog Tape",Cole Bingham (Studio Manager),"Music Production Packages, Recording,Mixing & Mastering, Production, Remote Recording, and Rehearsal Studio. Accepts unsolicited materials. See website for more information.  ","The War Toys, Loser Company, TrinidadJames, Dream Panther, The Tens, Record Year, Chris Green, Litty Kitter, Chef Mendeff. ",
79,PENGUIN RECORDING,"P.O. Box 91332   Pasadena, CA 90041 323-259-8612  Fax 323-259-8613 ",john@penguinrecording.com,penguinrecording.com,,"digital and analog, 48 tracks ",John Strother,,,
80,THE PIE STUDIOS,"Pasadena, CA  669-228-4818 ",info@thepiestudios.com,thepiestudios.com ,,,,,,
81,PEN STATION STUDIOS,"1809 Olympic Blvd.  Santa Monica, CA 90404 424-238-8800 ",info@penstation.la,penstation.la,,"ProTools, UAD, Waves, Fab Filter, SoundToys, Eventide ",Kat Neis  Studio Manager,,,
82,PRIME RIB PRODUCTIONS,"Los Angeles, CA  213-447-9658 ",phil@primeribproductins.com,primeribproductions.com ,,,,,,
83,"PRODUCTION COMPANY RECORDING,", ,,,,,,,,
84,PYRAM-AXIS PRODUCTIONS,"Redondo Beach, CA 90278  310-869-8650 ",music@pyramaxis.com,pyramaxis.com,Project Rates - Call for details. ,"ProTools HD, Logic Pro",Jim D.,"Production, Mixing, Mastering, GlobalDistribution, Remote Online ",,
85,READY MIX MUSIC,"5633 Lankershim Blvd.  North Hollywood, CA 91601 818-388-2196 ",studio@readymixmusic.com,readymixmusic.com,Call for info ,"Pro Tools & analog tape, vintage keys & gear.",Paul or Sarah,,,
86,RESONATE MUSIC & SOUND,"449 S. San Fernando Blvd.  Burbank, CA 91502 818-567-2700 ",connect@resonate.la,resonate.la,call for info ,Digital and Analog,,,,
87,"ROBERT IRVING PRODUCTIONS, INC.","Woodland Hills, CA 91367  818-384-7464 ",rirving@pacbell.net,robertirving.com,Flexible,"Digital Performer or Logic, Pro Tools",Robert,,,"Anacortes, WA  "
88,RPD STUDIOS,"1842 Burleson Ave.  Thousand Oaks, CA 91360 805-496-2585 ",rpdstudios@roadrunner.com,rpdsound.com,$50/hr. ,"digital, 192 tracks",Randy,,,
89,SANTA BARBARA SOUND DESIGN,"33 W. Haley St.   Santa Barbara, CA 93101 805-965-3404 ",dom@tekmstr.com,santabarbarasound.com,please call for info ,"digital and analog, 192 tracks",Dom Camardella,,,
90,SEAHORSE SOUND STUDIOS,"1336 S. Grand Ave.  Los Angeles, CA 90015 909-210-2317 ",seahorsesoundstudios@yahoo.com,seahorsesoundstudios.com,call for rates ,"analog and digital, 24 tracks",Samur,,,
91,SILENT ZOO STUDIOS,"736 Salem St.  Glendale, CA 91203 818-484-5222 ",contact@silentzoostudios.com,silentzoostudios.com,Call for details ,"Pro Tools Ultimate, Logic Pro, Ableton Live",Holden or Patrick,,,
92,SONIC FUEL STUDIOS,150 Sierra St.  El Segundo CA 90245 310-499-9274 ,team@sonicfuelstudios.com,sonicfuelstudios.com,call for information,"Pro Tools, Euphonix board",Kyrina Bluerose,"Sonic Fuel Studios is a state-of-the-art,eco-friendly tracking and mixing facility specializing in film, television, and interactive media music.  ",,
93,SONORA RECORDERS,"Palmdale, CA  213-841-0712 ",richardbarronmusic@gmail.com,sonorarecorders.com,call for information,"mixing, mastering & production ",Richard,,,
94,SOUND CITY STUDIOS,"15456 Cabrito Road  Van Nuys, CA 91406 818-304-0573 ",,soundcity.la ,,,,,,
95,SOUND-TECH STUDIO,"24300 Country Rd.  Moreno Valley, CA 92557 951-243-6666 ",soundtechstudio@yahoo.com,facebook.com/soundtechmusic,please call for info ,,Allan Johnson,,,
96,STEPPINGOUT PERFORMING ARTS, ,,,,,,,,
97,STEAKHOUSE STUDIO,818-485-2620   ,kelle@linearmanagement.com,steakhousestudio.com,please call for info ,,Kelle Musgrave Glanzbergh,,,
98,STUDIO CITY SOUND,"4412 Whitsett Ave.  Studio City, CA 91604 818-505-9368 Fax 818-761-4744 ",booking@studiocitysound.com,studiocitysound.com,$100-150/hr. ,digital (256 tracks) analog (24 track 2-inch),Tom Weir,,,
99,STUDIO WEST OF SAN DIEGO,"11021 Via Frontera, Ste. A  San Diego, CA 92127 858-592-9497 ",,studiowest.com,call for rates ,"SSL, Neve, ICON, Pro Tools HD6, SurroundSound, ISDN, Phone-Patch, ADR ",,,,
100,TALENTED PRODUCTIONS,"2010 S. Crescent Heights Blvd.  Los Angeles, CA 90034 818-284-3943 ",mike@parlett.com,talentedproductions.com/ ,,,,,,
101,TIMEART STUDIO,"Studio City, CA  818-980-2840 ",info@timeart.us,TimeArt.us,,"Digital. ProTools 2021.3, Logic 10.6.1, JohnHardy Stereo Mic Pre, Pro Mics.  ",,,,
102,TOMSONICS RECORDING STUDIO,"Monterey Park , CA  626-633-2736, 323-721-0511 ",tommanasian@gmail.com,,,,,Full band live recording. A comfortableplace to create good music.Experienced in all Styles of music  ,,
103,TRACK ENTERTAINMENT STUDIOS,"13848 Ventura Blvd., Ste. 4D  Sherman Oaks, CA 91423 818-259-7244 ",trackentertainmentstudios@yahoo.com,facebook.com/trackentertainmentstudios,please call for info ,"4 Pro Tools suites, music production andrecording, post production, mixing and mastering, 7.1 surround sound, songwriting, composing, arranging, film scoring, commercials, live drums etc. ","Alexander Track, producer/engineer,Grammy Winner ",,,
104,TRACK STAR STUDIOS,"P.O. Box 561  La Mesa, CA 91944 619-697-7827 ",info@trackstarstudios.com,trackstarstudios.com,Call for rates ,,Josquin des Pres,,,
105,TRINITY SOUND COMPANY,"751 S. Weir Canyon Rd., Suite 157-535  Anaheim Hills, CA 92808 714-881-5211 ",info@trinitysoundcompany.com,trinitysoundcompany.com/our-work/recording,Please call for info ,,,,,
106,ULTRIUM STUDIOS,"12028 Vose St,   North Hollywood, CA 91605 (909) 327-1084 ",ultrium@ultriumstudios.com,ultriumstudios.com ,,,,,,
107,UNION RECORDING STUDIO,"7051 Santa Monica Blvd,  Los Angeles, CA 90038 323-615-3575 ",info@unionrecstudios.com,unionrecstudios.com,$23/hr/$87/$199 ,,,,,
108,VENETO WEST,"PO Box 6363  Pine Mountain Club, CA 93222 310-591-4440, 310-200-9010 ","rcm@venetowest.com,Liz@lizredwing.com ",venetowest.com,call for info ,digital and analog,"Liz Redwing, Ronan Chris Murphy",,,
109,VIRLOUISE,"1631 N Placentia Ave  Ste K Anaheim, CA 714-322-3600  ",,,,,,,,
110,WESTLAKE RECORDING STUDIOS,"Studios A & B  8447 Beverly Blvd. Los Angeles, CA 90048 323-851-9800 ",bookings@westlakestudios.com,westlakestudios.com,Please call or email for rates. ,,"Eric Rennaker, Sydney Jones or SteveBurdick ",,,
111,"WOMB RECORDING STUDIO, THE","Lake Balboa, CA 91406  818-414-6369 ",haddaddrum@yahoo.com,davehaddad.com,please call for info ,"digital and Analog, more than 64 tracks",Dave,,,
112,WOODSOUND STUDIOS,"120 Front St.  Covina, CA 91723 626-956-7455 ",tom@woodsoundstudios.com,woodsoundstudios.com  ,,,,,,
113,THE BLASTING ROOM,"1760 Laporte Ave. Ste. 2  Fort Collins, CO 80521 (970) 416-9292 ",info@blastingroomstudios.com,blastingroomstudios.com,"Starting at $40/hr, $450/day, Mastering$150/track  ",Analog/Digital Pro Tools 2021 HDX,"Bill Stevenson, Jason Livermore, AndrewBerlin, Chris Beeble, Jonathan Luginbill ",,,
114,COLORADO SOUND STUDIOS,"3100 W. 71st Ave  Westminster, CO 80030 303-430-8811 ",colosnd@coloradosound.com,coloradosound.com,,"Pro Tools 12 HDXAlso Remote Recording, Mastering Services, Media Labs Education, and Music Video Production  ","Jess Lambert, Studio Office Manager",,,
115,ROCKY MOUNTAIN RECORDERS,"1250 W. Cedar Ave.  Denver, CO 80223 303-777-3648 ",frontdesk@rockyrecorders.com,rockyrecorders.com,please call for info ,,Rachel Converse,,,
116,CARRIAGE HOUSE STUDIOS,"119 Westhill Rd.   Stamford, CT 06902 203-358-0065 ",johnny@carriagehousemusic.com,carriagehousemusic.com,please call for info ,digital and analog,John Montagnese,,,
117,FRESH TRACKS STUDIO,"65 Deer Hill Ave  Danbury, CT 971-344-1115 ",jon@freshtracksstudio.com,"katiespain.com,facebook.com/freshtracksstudio ",call for rates                                                                                                                                                                                                                                                                                                                                                nd              21 April 2022 musicconnection.com  75 February  2022 musicconnection.com  ,HD,Jon Lindahl,,,
118,SAGESOUND STUDIOS,"549 Howe Ave.  Unit 404  Shelton, CT 06484 203-922-0491 ",info@sagesoundstudios.com,sagesoundstudios.com,call for rates ,,,,,
119,TARQUIN STUDIOS,"Bridgeport, CT  ",studio@tarquinrecords.com,tarquinrecords.com/studio ,,,Sandy Roberton,,,
120,JAMLAND STUDIO,"2326 Empire Dr.  Wilmington, DE 19810 302-475-0204 ",music@jamlandstudio.com,jamlandstudio.com,call for information ,see website for equipment,,,,
121,OCCUPY STUDIO,"170 East Main Street  Newark, DE 19711 302-223-4441 ",Record@OccupyStudio.com,occupystudio.com  ,,,,,,
122,LION AND FOX RECORDING STUDIOS,"9517 Baltimore Ave  College Park, MD 20740 301-982-4431 ",mail@lionfox.com,lionfox.com,$75/hour ,"32 track I/O, 96k, 24bit",Jim Fox,,,
123,AUDIO-VISION,"13885 W. Dixie Hwy.  North Miami, FL 33161 305-893-9191 ",,audiovisionstudios.com,Please Call in ,Digital and Analog,,,,
124,BRICKKS HOUSE OF BEATZ,"1331 West Cass St.  Tampa, FL 33605 813-808-1492 ",booking@dirttybeatz.com,dirttybeatz.com,call for rates ,,Corey Jackson,,,
125,CRESCENT MOON,"Miami, FL 33155  305-663-8924 ",josem@crescentmoon.com,crescentmoon.com,Call for rates ,"Audio/Video Suites, ISDN, Digital/Analog",,,,
126,DOGMANIC PRODUCTIONS & RECORDING STUDIOS,"1731-B SW 7th Ave.  Pompano Beach, FL  33060 954-675-0870 ",info@DogManicRS.com,dogmanicrs.com ,,,,,,
127,EVERMORE SOUND RECORDING STUDIOS,"1633 Acme St.  Orlando, FL 32805 407-218-5953 ",info@evermoresound.com,evermoresound.com,call or email for info ,see website for equipment list,Luke Beaulac,,,
128,GRANDBAY RECORDING,"2811 North 34th Street  Tampa, Fl. 33614 813-418-2346 ",studiotime@grandbaystudios.com,grandbayrecordingstudios.com ,,,,,,
