Name,Website,City,Description,Address,Phone,Email,Hours,Attributes
The Riptide,https://www.riptidesf.com/,San Francisco,"Easygoing bar & lounge offering booze, karaoke, live bands & more just steps from the ocean.","3639 Taraval St San Francisco, CA 94116",(415) 681-8433,booking@riptidesf.com,"['Monday: 3:00 PM - 2:00 AM', 'Tuesday: 3:00 PM - 2:00 AM', 'Wednesday: 3:00 PM - 2:00 AM', 'Thursday: 3:00 PM - 2:00 AM', 'Friday: 3:00 PM - 2:00 AM', 'Saturday: 3:00 PM - 2:00 AM', 'Sunday: 3:00 PM - 2:00 AM']","['Health Score Pass', 'Wheelchair accessible', 'No Android Pay', 'No Cryptocurrency', 'Casual', 'Casual Dress', 'Good For Dancing', 'Free Wi-Fi', 'Happy Hour Specials', 'Smoking Outside Only', 'TV', 'Gender-neutral restrooms', 'Not Good For Kids', 'Bike Parking', 'No Reservations', 'Accepts Credit Cards', 'No Apple Pay', 'Outdoor Seating', 'Moderate Noise', 'Good for Groups', 'Street Parking', 'Live Music', 'Full Bar', 'Dogs Allowed', 'Covered Outdoor Seating', 'Open to All', 'No Pool Table', 'Outside food allowed']"
The Mojo Lounge,themojoloungeca.com,Fremont,"Relaxed night club for live rock & blues concerts, DJ'd music, karaoke nights & bar food.","3714 Peralta Blvd Fremont, CA 94536",(510) 739-1028,briggsdmojo@aol.com,"['Monday: 2:00 PM - 2:00 AM', 'Tuesday: 2:00 PM - 2:00 AM', 'Wednesday: 2:00 PM - 2:00 AM', 'Thursday: 2:00 PM - 2:00 AM', 'Friday: 2:00 PM - 2:00 AM', 'Saturday: 2:00 PM - 2:00 AM', 'Sunday: 10:00 AM - 2:00 AM']","['Health Score PASS', 'Wheelchair accessible', 'Accepts Android Pay', 'Outdoor Seating', 'Loud', 'Good For Dancing', 'Street Parking, Private Lot Parking', 'Juke Box', 'Live Music', 'Happy Hour Specials', 'Smoking Outside Only', 'TV', 'Not Good For Kids', 'Takes Reservations', 'Accepts Credit Cards', 'Accepts Apple Pay', 'Divey', 'Good for Groups', 'Pool Table', 'Free Wi-Fi', 'Best nights on Thursday, Friday, Saturday', 'Full Bar', 'Dogs Allowed', 'Open to All', 'Bike Parking']"
The Center SF,https://www.thecentersf.com/,San Francisco,"A magical tea house, yoga studio, event space, and conscious community in the heart of San Francisco. No alcohol.","548 Fillmore St San Francisco, CA 94117",(415) 923-8180,admin@thecentersf.com,"['Monday: 11:30 AM - 10:00 PM', 'Tuesday: 11:30 AM - 10:00 PM', 'Wednesday: 11:30 AM - 10:00 PM', 'Thursday: 3:00 PM - 10:00 PM', 'Friday: 11:30 AM - 6:30 PM', 'Saturday: Closed', 'Sunday: 12:00 PM - 10:00 PM']","['No Takeout', 'Accepts Credit Cards', 'No Android Pay', 'Good For Kids', 'Free Wi-Fi', 'Latinx-owned', 'Gender-neutral restrooms', 'No Drive-Thru', 'No Heated Outdoor Seating', 'Bike Parking', 'Provides reusable tableware', 'Wheelchair accessible', 'Accepts Apple Pay', 'No Cryptocurrency', 'Street Parking', 'Asian-owned', 'Women-owned', 'No Catering', 'Dogs Not Allowed', 'No Covered Outdoor Seating', 'Compostable containers available']"
Red Hat Sports Bar,https://www.facebook.com/RedHatlive/,Concord,"Laid-back, classic tavern featuring a pool table & regular live music & karaoke nights.","1860 Monument Blvd Concord, CA 94520",(925) 685-2122,N/A,"['Monday: 2:00 PM - 2:00 AM', 'Tuesday: 2:00 PM - 2:00 AM', 'Wednesday: 2:00 PM - 2:00 AM', 'Thursday: 2:00 PM - 2:00 AM', 'Friday: 2:00 PM - 2:00 AM', 'Saturday: 2:00 PM - 2:00 AM', 'Sunday: 2:00 PM - 2:00 AM']","['Health Score Pass', 'Accepts Credit Cards', 'Outdoor Seating', 'Moderate Noise', 'Good For Dancing', 'Private Lot Parking', 'Live Music', 'Full Bar', 'Bike Parking', 'No Reservations', 'No Android Pay', 'Divey, Casual', 'Good for Groups', 'Pool Table', 'Free Wi-Fi', 'Best nights on Thursday, Friday, Saturday', 'TV', 'Outside food allowed']"
Center for New Music,https://centerfornewmusic.com/,San Francisco,"Small multipurpose venue offering musical performances, plus music-related exhibits & workshops.","55 Taylor St San Francisco, CA 94102",(415) 275-2466,adam@centerfornewmusic.com,"['Monday: 9:00 AM - 5:00 PM', 'Tuesday: 9:00 AM - 5:00 PM', 'Wednesday: 9:00 AM - 5:00 PM', 'Thursday: 9:00 AM - 5:00 PM', 'Friday: 9:00 AM - 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']","['Accepts Credit Cards', 'Free Wi-Fi', 'TV']"
Room 389,https://www.visitoakland.com/listing/room-389/1065/,Oakland,"A café by day and cocktail lounge by night. Room 389's café offers coffee, pastries, empanadas and more, while it's cocktail lounge offers live music, DJ sets, and yummy drinks.","389 Grand Ave Oakland, CA 94610",(510) 936-6389,N/A,"['Monday: 3:00 PM - 12:00 AM', 'Tuesday: 3:00 PM - 12:00 AM', 'Wednesday: 3:00 PM - 12:00 AM', 'Thursday: 3:00 PM - 12:00 AM', 'Friday: 2:00 PM - 1:00 AM', 'Saturday: 12:00 PM - 1:00 AM', 'Sunday: 12:00 PM - 10:00 PM']","['Health Score PASS', 'Accepts Credit Cards', 'No Apple Pay', 'Casual, Classy', 'Good for Groups', 'Free Wi-Fi', 'Best nights on Wednesday, Friday, Saturday', 'Full Bar', 'TV', 'Not Good For Dancing', 'No Smoking', 'Bike Parking', 'No Reservations', 'No Android Pay', 'Outdoor Seating', 'Moderate Noise', 'Street Parking', 'DJ', 'Happy Hour Specials', 'Dogs Allowed', 'Covered Outdoor Seating', 'No Pool Table', 'No Heated Outdoor Seating', 'Outside food allowed']"
Feinsteins at the Nikko,https://www.feinsteinssf.com/,San Francisco,"Swanky nightclub offering cabaret & American songbook performances, plus upscale Asian-fusion bites.","222 Mason St San Francisco, CA 94102",(415) 394-1111,feinsteins@hotelnikkosf.com,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 5:30 PM - 9:00 PM', 'Thursday: 6:30 PM - 10:00 PM', 'Friday: 6:30 PM - 10:00 PM', 'Saturday: 5:30 PM - 9:00 PM', 'Sunday: 5:30 PM - 9:00 PM']","['Accepts Credit Cards', 'Moderate Noise', 'Validated Parking', 'Best nights on Thursday, Friday, Saturday', 'TV', 'No Outdoor Seating', 'Bike Parking', 'Classy', 'Good for Groups', 'Live Music', 'Full Bar', 'Heated Outdoor Seating', 'Not Good For Kids']"
Ivy Room,https://www.ivyroom.com,Albany,"Long standing neighborhood bar that's been around since the early 1940's. Weekly themed nights include: live music, pub quiz, weekly jam session, funk, rock, indy, psychedelic rock, soul, indy rock, jam, jazz, latin, brass bands, old school dj music, neo soul, cabaret, sporting events, micro beers, specialty cocktails. To perform at the venue, bands must meet several requirements: they need to consistently attract an audience of 100-200 people or collectively reach that number with other acts on the bill. Active and engaging social media activity is crucial, with frequent posts promoting their shows. The band should have a polished and well-honed sound, showcasing the best talent the Bay Area has to offer. Enthusiasm for playing at the venue and a commitment to supporting the local music community are also important. Additionally, bands must ensure they do not have any performances scheduled in the East Bay or San Francisco two weeks before or after their requested date at the Ivy Room.","860 San Pablo Ave Albany, CA 94706",(510) 526-5888,booking@ivyroom.com,[],"['Health Score PASS', 'Wheelchair accessible', 'Casual', 'Good for Groups', 'Street Parking', 'Best nights on Thursday, Friday, Sunday', 'Smoking Outside Only', 'Latinx-owned', 'Women-owned', 'Open to All', 'No Pool Table', 'No Happy Hour', 'No Heated Outdoor Seating', 'No Bike Parking', 'No Reservations', 'Accepts Credit Cards', 'No Android Pay', 'No Apple Pay', 'No Cryptocurrency', 'Outdoor Seating', 'Loud', 'Good For Dancing', 'DJ, Live Music', 'Full Bar', 'TV', 'LGBTQ-owned', 'Gender-neutral restrooms', 'Not Good For Kids', 'No Wi-Fi', 'Dogs Not Allowed', 'No Covered Outdoor Seating', '21+ only', 'No smoking', 'ATM', 'No dress code']"
Freight & Salvage,http://www.thefreight.org/,Berkeley,"The Freight & Salvage is a nonprofit musical performance venue in Berkeley, California that primarily hosts Americana music and world music acts.","2020 Addison St Berkeley, CA 94704",(510) 644-2020,info@freightandsalvage.org,"['Monday: 12:30 PM - 7:00 PM', 'Tuesday: 12:30 PM - 7:00 PM', 'Wednesday: 12:30 PM - 7:00 PM', 'Thursday: 12:30 PM - 7:00 PM', 'Friday: 12:30 PM - 7:00 PM', 'Saturday: 12:30 PM - 7:00 PM', 'Sunday: 12:30 PM - 7:00 PM']","['Accepts Credit Cards', 'Accepts Apple Pay', 'Casual', 'Moderate Noise', 'Casual Dress', 'Good for Groups', 'Street Parking', 'Live Music', 'Best nights on Thursday, Friday, Saturday', 'Beer & Wine Only', 'No Outdoor Seating', 'Not Good For Dancing', 'Dogs Not Allowed', 'Bike Parking', 'Not Good For Kids', 'No Wi-Fi', 'No TV']"
The Saloon,https://www.sfblues.net/Saloon.html,San Francisco,Circa-1861 bar/blues joint offering daily live music & a relaxed vibe to a diverse crowd.,"1232 Grant Ave San Francisco, CA 94133",(415) 989-7666,N/A,"['Monday: 12:00 PM - 2:00 AM', 'Tuesday: 12:00 PM - 2:00 AM', 'Wednesday: 12:00 PM - 2:00 AM', 'Thursday: 12:00 PM - 2:00 AM', 'Friday: 12:00 PM - 2:00 AM', 'Saturday: 12:00 PM - 2:00 AM', 'Sunday: 12:00 PM - 2:00 AM']","['Health Score Pass', 'Cash only', 'Loud', 'Good for Groups', 'Street Parking', 'Best nights on Friday, Saturday, Sunday', 'No Outdoor Seating', 'No Pool Table', 'No TV', 'No Reservations', 'Divey', 'Casual Dress', 'Good For Dancing', 'Live Music', 'Full Bar', 'Not Good For Kids', 'No Wi-Fi', 'Bike Parking', 'Outside food allowed']"
The Annex Live Music Sessions,https://www.sunjams.org/about-5,El Cerrito,"The Annex Sessions is a live music series sponsored by the Annex Natural Grocery Store in El Cerrito. We proudly occupy their beautiful space every Wednesday from 6 pm to 8:30 pm. We program music from all over the world and partner with local and Bay Area-wide music professionals to bring quality acts to our community. We are committed to paying musicians fair compensation for their performance, and the Annex has pledged to help us do that with an onging donation that covers some of those needs. Our donors and audience members are an essential part of this support. Half of the proceeds we raise will go directly to our network of local musicians, each of whom have been severely impacted by the lack of events during the COVID-19 pandemic. The other half will be donated to Sound Minds, Oaktown Jazz, and other music education programs our foundation supports.","10387 San Pablo Ave, El Cerrito, CA 94530",N/A,TheAnnexSessions@gmail.com,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 6:00 PM - 8:30 PM', 'Thursday: Closed', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",[]
Berkeley Alembic,https://berkeleyalembic.org/,Berkeley,"The Berkeley Alembic is a space for communities of interested humans to meet, grow, synergize, and thrive via meditation, spirituality, movement, dance, art, music, and more. The Berkeley Alembic space also serves as a common ground to foster “gentle bridges” between different groups, cultural sensibilities, and domains of knowledge, including scientific and clinical research, psychotherapy, meditation, spiritual practice, cultural history, and aesthetic exploration. Join us for a class or workshop, in person or online.","2820 Seventh St, Berkeley, CA 94710",(510) 631-2975,hello@berkeleyalembic.org,[],"['Multi-room practice space', 'Meditation center', 'Health retreat', 'Mindfulness', 'Online classes', 'Events']"
SoulFlow Oakland,https://www.soulflowoakland.com/,Oakland,"Soulflow Oakland offers indoor and online classes, workshops, and retreats that center BIPOC, Queer Folks, and accessibility. Private Yoga Therapy.","339 15th St Oakland, CA 94612",(510) 459-0144,info@soulflowoakland.com,"['Monday: Closed', 'Tuesday: 9:00 AM - 8:30 PM', 'Wednesday: 12:00 PM - 8:00 PM', 'Thursday: 12:00 PM - 8:00 PM', 'Friday: 10:00 AM - 7:00 PM', 'Saturday: 9:00 AM - 5:00 PM', 'Sunday: Closed']","['Meditation center', 'Mindfulness', 'Health retreat', 'Wheelchair accessible', 'Street Parking', 'Black-owned', 'Women-owned', 'Gender-neutral restrooms', 'Not Good For Kids', 'Bike Parking', 'Accepts Credit Cards', 'Free Wi-Fi', 'LGBTQ-owned', '1:1 sessions available', 'Open to All', 'Dogs Not Allowed']"
East Bay Meditation Center,https://eastbaymeditation.org/,Oakland,"Located in downtown Oakland, CA, the EBMC offers diversity and social justice-centered contemplative practices. With a strong focus on access and radical inclusion, EBMC provides meditation training and teachings from Buddhism and other wisdom traditions to underrepresented communities. For more than 10 years, EBMC has operated on a gift economics basis, with no set fees or upfront costs. Programs include regular meditation and mindful movement groups, evening classes, and weekend retreats and workshops. Their mission is to foster liberation, personal and interpersonal healing, social action, and inclusivity.","285 17th St, Oakland, CA 94612",(510) 268-0696,admin@eastbaymeditation.org,"['Monday: 10:00 AM - 2:00 PM', 'Tuesday: 10:00 AM - 2:00 PM', 'Wednesday: 10:00 AM - 2:00 PM', 'Thursday: 10:00 AM - 2:00 PM', 'Friday: 10:00 AM - 2:00 PM', 'Saturday: Closed', 'Sunday: Closed']","['Meditation center', 'Mindfulness', 'Health retreat', 'Online classes']"
Inner Sounds Meditation,https://www.innersoundsmeditation.com/soundbath-event-calendar,Bay Area,"A 10yr practitioner, Melissa will guide you into deep rest & an inner calm with immersive sounds. Hosts sound baths and retreats in the SF Bay Area and Portland.","Portland, OR",N/A,help@innersoundsmeditation.com,[],"['Mindfulness', 'Sound baths', 'Sound healing', 'Events', 'Corporate retreat']"
Sound and Soul SF,https://www.soundandsoulsf.com/,San Francisco,"As a lifelong musician, Emma began exploring sound healing as a way to support her personal practice and foster a greater sense of internal ease, creativity, and embodiment. Having experienced the deeply restorative and supportive effects of vibrational healing, she began to weave these offerings into her public yoga classes, as well as expanding her offerings to private and group sessions around the Bay Area. Emma created Sound and Soul in order to support others in their journey towards greater wholeness, aliveness, and connection to self. She provides a range of sound healing offerings, including private sound baths, private sound journeys, small group sound baths, and corporate/large group sound baths. All offerings are outlined in further detail on the Offerings and Events page.",Bay Area,N/A,soundandsoulsf@gmail.com,[],"['Mindfulness', 'Sound baths', 'Sound healing', 'Events', 'Retreat']"
Spirit Rock,https://www.spiritrock.org/,Woodacre,"Spirit Rock Meditation Center, commonly called Spirit Rock, is a meditation center in Woodacre, California. Offering retreats and online programs dedicated to the teachings of the Buddha in the Insight (vipassanā) tradition.","5000 Sir Francis Drake Blvd Box 169, Woodacre, CA 94973",(415) 488-0164,N/A,"['Monday: 9:00 AM - 5:00 PM', 'Tuesday: 9:00 AM - 5:00 PM', 'Wednesday: 9:00 AM - 5:00 PM', 'Thursday: 9:00 AM - 5:00 PM', 'Friday: 9:00 AM - 5:00 PM', 'Saturday: Closed', 'Sunday: Closed']","['Mindfulness', 'Meditation center', 'Accepts Credit Cards', 'Gender-neutral restrooms', 'Dogs Not Allowed', 'Private Lot Parking', 'Not Good For Kids', 'Bike Parking', 'Religious institution', 'Retreat', 'Classes & Workshops']"
Esalen,https://www.esalen.org/,Big Sur,"The Esalen Institute, commonly called Esalen, is a non-profit American retreat center and intentional community in Big Sur, California, which focuses on humanistic alternative education.","55000 CA-1, Big Sur, CA 93920",(831) 667-3000,info@esalen.org,"['Monday: 9:00 AM - 8:00 PM', 'Tuesday: 9:00 AM - 5:00 PM', 'Wednesday: 9:00 AM - 5:00 PM', 'Thursday: 9:00 AM - 5:00 PM', 'Friday: 9:00 AM - 8:00 PM', 'Saturday: 9:00 AM - 5:00 PM', 'Sunday: 9:00 AM - 5:00 PM']","['Mindfulness', 'Retreat', 'Massage', 'Healing arts', 'Workshops', 'Festivals']"
Berkeley Buddhist Monastery,https://www.berkeleymonastery.org/,Berkeley,"The Berkeley Buddhist Monastery is a Chan Buddhist monastery in Berkeley, California affiliated with the City of Ten Thousand Buddhas and led by Heng Sure. It is the site of the Institute for World Religions, founded by Hsuan Hua.","2304 McKinley Ave, Berkeley, CA 94703",(510) 848-3440,webservant@berkeleymonastery.org,[],"['Mindfulness', 'Song circles', 'Classes', 'Events', 'Religious institution']"
Mount Madonna Center,https://www.mountmadonna.org/,Watsonville,"A conference and retreat center located on 355 acres of mountaintop redwoods overlooking the Monterey Bay. Enjoy hiking, vegetarian meals, massage, hot tub and Yoga classes.","445 Summit Rd Watsonville, CA 95076",N/A,reception@mountmadonna.org,"['Monday: 10:00 AM - 5:00 PM', 'Tuesday: 10:00 AM - 5:00 PM', 'Wednesday: 10:00 AM - 5:00 PM', 'Thursday: 10:00 AM - 5:00 PM', 'Friday: 10:00 AM - 5:00 PM', 'Saturday: 11:00 AM - 6:00 PM', 'Sunday: Closed']","['Mindfulness', 'Retreat', 'Yoga', 'Event space', 'Specialty schools', 'Wheelchair accessible', 'No Android Pay', 'Good For Kids', 'Free Wi-Fi', 'Bike Parking', 'Accepts Credit Cards', 'No Apple Pay', 'Private Lot Parking', 'Gender-neutral restrooms', 'Online classes']"
1440 Multiversity,https://www.1440.org/,Scotts Valley,"Our 75-acre luxury retreat in the redwoods of Scotts Valley offers cozy accommodations and inspired learning programs for relaxation, renewal and growth. 1440 Multiversity reopened in April 2021 with the intention of creating hope for living well. We are currently accepting private events, gatherings and individual reservations for weekend Rest & Renewal stay packages. Every booking directly supports local advocacy programs such as Healing Our Healthcare Heroes and feeds families in Santa Cruz County through our philanthropic community building efforts.","800 Bethany Dr Scotts Valley, CA 95066",(844) 544-1440,programming@1440.org,[],"['Mindfulness', 'Retreat', 'Free Wi-Fi', 'Workshops', 'Specialty schools', 'Private events', 'Online classes']"
